frame_idx,t_rel
0,0.284
1,0.304
2,0.329
3,0.357
4,0.368
5,0.396
6,0.417
7,0.493
8,0.513
9,0.609
10,0.624
11,0.708
12,0.735
13,0.802
14,0.818
15,0.917
16,0.943
17,1.117
18,1.142
19,1.220
20,1.236
21,1.420
22,1.440
23,1.451
24,1.517
25,1.534
26,1.623
27,1.638
28,1.654
29,1.863
30,1.878
31,1.895
32,1.938
33,2.038
34,2.199
35,2.215
36,2.230
37,2.243
38,2.355
39,2.370
40,2.451
41,2.547
42,2.565
43,2.664
44,2.682
45,2.695
46,2.708
47,8.599
48,8.613
49,8.673
50,8.689
51,8.707
52,8.742
53,8.801
54,8.864
55,8.881
56,8.908
57,8.946
58,8.983
59,9.017
60,9.058
61,9.073
62,9.110
63,9.142
64,9.190
65,9.209
66,9.250
67,9.326
68,9.368
69,9.393
70,9.409
71,9.484
72,9.502
73,9.519
74,9.536
75,9.607
76,9.651
77,9.667
78,9.725
79,9.750
80,9.844
81,9.892
82,9.917
83,9.949
84,10.000
85,10.017
86,10.033
87,10.100
88,10.142
89,10.201
90,10.216
91,10.252
92,10.309
93,10.342
94,10.384
95,10.434
96,10.443
97,10.477
98,10.543
99,10.567
100,10.578
101,10.652
102,10.667
103,10.724
104,10.750
105,10.825
106,10.834
107,10.898
108,10.948
109,11.005
110,11.034
111,11.041
112,11.129
113,11.146
114,11.176
115,11.259
116,11.268
117,11.312
118,11.355
119,11.376
120,11.425
121,11.459
122,11.475
123,11.534
124,11.561
125,11.575
126,11.616
127,11.635
128,11.660
129,11.786
130,11.826
131,11.842
132,11.891
133,11.909
134,11.959
135,11.976
136,12.009
137,12.084
138,12.153
139,12.180
140,12.207
141,12.266
142,12.281
143,12.317
144,12.384
145,12.402
146,12.442
147,12.492
148,12.550
149,12.575
150,12.593
151,12.609
152,12.675
153,12.717
154,12.784
155,12.833
156,12.858
157,12.901
158,12.917
159,12.966
160,12.983
161,13.016
162,13.041
163,13.075
164,13.149
165,13.180
166,13.201
167,13.317
168,13.348
169,13.377
170,13.409
171,13.475
172,13.534
173,13.575
174,13.657
175,13.735
176,13.750
177,13.808
178,13.874
179,13.936
180,13.957
181,13.980
182,14.014
183,14.039
184,14.090
185,14.135
186,14.202
187,14.223
188,14.239
189,14.291
190,14.311
191,14.343
192,14.375
193,14.417
194,14.441
195,14.498
196,14.515
197,14.547
198,14.814
199,14.854
200,14.871
201,14.885
202,14.944
203,15.014
204,15.059
205,15.076
206,15.117
207,15.150
208,15.176
209,15.217
210,15.234
211,15.275
212,15.334
213,15.390
214,15.469
215,15.483
216,15.587
217,15.621
218,15.650
219,15.668
220,15.760
221,15.775
222,15.875
223,15.917
224,15.975
225,16.044
226,16.058
227,16.091
228,16.101
229,16.158
230,16.175
231,16.204
232,16.293
233,16.303
234,16.351
235,16.408
236,16.467
237,16.502
238,16.513
239,16.574
240,16.611
241,16.625
242,16.707
243,16.751
244,16.788
245,16.851
246,16.868
247,16.919
248,16.943
249,16.991
250,17.016
251,17.041
252,17.090
253,17.151
254,17.160
255,17.175
256,17.212
257,17.275
258,17.309
259,17.351
260,17.410
261,17.433
262,17.517
263,17.584
264,17.608
265,17.642
266,17.669
267,17.721
268,17.759
269,17.775
270,17.802
271,17.842
272,17.901
273,17.909
274,17.960
275,17.968
276,18.014
277,18.043
278,18.120
279,18.158
280,18.226
281,18.242
282,18.284
283,18.310
284,18.351
285,18.409
286,18.449
287,18.497
288,18.513
289,18.543
290,18.619
291,18.634
292,18.651
293,18.756
294,18.844
295,18.859
296,18.901
297,18.913
298,18.939
299,18.988
300,19.007
301,19.037
302,19.128
303,19.145
304,19.243
305,19.261
306,19.284
307,19.301
308,19.341
309,19.418
310,19.460
311,19.469
312,19.511
313,19.547
314,19.576
315,19.631
316,19.667
317,19.736
318,19.758
319,19.768
320,19.823
321,19.834
322,19.880
323,19.929
324,19.960
325,19.977
326,20.037
327,20.076
328,20.119
329,20.173
330,20.223
331,20.239
332,20.269
333,20.343
334,20.352
335,20.367
336,20.432
337,20.451
338,20.468
339,20.509
340,20.556
341,20.574
342,20.612
343,20.692
