t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,battery_pct
0.000,0,10,0.0,54,37
0.117,0,10,-1.000000000002,54,37
0.227,0,10,1.0,54,37
0.344,0,10,-2.0,54,37
0.456,0,10,-5.0,54,37
0.567,0,10,-6.0,54,37
0.675,0,10,-9.0,54,37
0.777,0,10,-2.0,54,37
0.885,0,10,-2.0,54,37
0.999,0,10,-3.0,54,37
1.110,0,10,-2.0,54,37
1.214,0,10,0.0,54,37
1.327,0,10,0.0,54,37
1.430,0,10,-1.000000000002,54,37
1.534,0,10,1.0,54,37
1.646,0,10,-6.999999999998,54,37
1.759,0,10,-6.999999999998,54,37
1.870,0,10,3.0,54,37
1.981,0,10,-4.000000000002,54,37
2.093,0,10,-4.000000000002,54,37
2.206,0,10,-4.000000000002,54,37
2.319,0,10,-8.0,54,37
2.431,0,10,-4.000000000002,54,37
2.543,0,10,-6.999999999998,54,37
2.656,0,10,-6.0,54,37
2.766,0,10,-3.0,54,37
2.881,0,10,-6.999999999998,54,37
2.982,0,10,-6.999999999998,54,37
3.093,0,10,-6.999999999998,54,37
3.205,0,10,-6.999999999998,54,37
3.316,0,10,-6.999999999998,54,37
3.428,0,10,-6.999999999998,54,37
3.531,0,10,-6.999999999998,54,37
3.635,0,10,-6.999999999998,54,37
3.747,0,10,-6.999999999998,54,37
3.851,0,13,17.0,54,37
3.963,10,32,56.0,54,37
4.067,10,32,56.0,54,37
4.180,10,32,56.0,54,37
4.292,30,48,76.0,54,37
4.404,40,71,93.000000000002,54,37
4.517,40,71,93.000000000002,54,37
4.628,50,79,101.0,54,37
4.741,50,82,98.999999999998,54,37
4.854,50,84,112.000000000002,54,37
4.965,60,86,110.0,54,37
5.078,60,86,112.000000000002,54,37
5.190,60,86,112.000000000002,54,37
5.302,60,87,111.0,53,37
5.414,60,87,112.000000000002,53,37
5.525,60,87,114.0,53,37
5.637,60,87,111.0,53,37
5.749,60,87,114.0,53,37
5.860,60,87,114.0,53,37
5.972,60,87,107.0,53,37
6.086,60,87,109.000000000002,53,37
6.197,60,86,104.0,53,37
6.308,60,86,100.0,53,37
6.419,60,86,100.0,53,37
6.532,60,87,100.0,53,37
6.644,60,85,107.0,53,37
6.756,60,84,104.0,53,37
6.867,60,84,112.000000000002,53,37
6.979,60,81,110.0,54,37
7.091,60,81,109.000000000002,54,37
7.203,60,81,104.999999999998,54,37
7.315,60,80,104.999999999998,54,37
7.428,60,80,101.999999999998,54,37
7.539,60,79,101.999999999998,54,37
7.652,60,79,98.0,54,37
7.764,50,78,104.999999999998,54,37
7.876,50,78,101.999999999998,54,37
7.988,50,77,93.000000000002,54,37
8.100,50,77,93.000000000002,54,37
8.211,50,77,95.999999999998,54,37
8.324,50,78,100.0,54,37
8.436,50,78,101.0,54,37
8.548,50,78,98.0,53,37
8.661,50,79,100.0,53,37
8.762,50,79,100.0,53,37
8.873,50,79,100.0,54,37
8.979,50,78,98.0,54,37
9.084,50,78,94.0,54,37
9.185,50,78,100.0,54,37
9.299,50,79,101.0,53,37
9.401,50,77,98.999999999998,53,37
9.502,50,77,98.0,53,37
9.605,50,77,103.0,53,37
9.717,50,77,89.0,53,37
9.820,50,77,89.0,53,37
9.924,50,77,98.0,54,37
10.026,50,77,98.999999999998,54,37
10.134,50,77,101.999999999998,54,37
10.244,50,77,94.0,54,37
10.359,50,77,97.0,54,37
10.468,50,76,97.0,54,37
10.575,50,76,95.0,54,37
10.676,50,76,101.0,54,37
10.800,50,77,104.0,54,37
10.915,50,77,100.0,54,37
11.022,50,77,101.999999999998,54,37
11.134,50,77,100.0,54,37
11.241,50,77,100.0,54,37
11.346,50,77,92.0,54,37
11.451,50,77,92.0,54,37
11.559,50,77,92.0,53,37
11.660,50,77,98.0,54,37
11.762,50,77,98.0,54,37
11.867,50,78,98.999999999998,54,37
11.968,50,79,98.999999999998,54,37
12.076,50,79,101.999999999998,54,37
12.192,50,79,98.0,54,37
12.305,50,79,107.0,54,37
12.410,50,80,100.0,54,37
12.511,50,79,101.999999999998,54,37
12.620,50,80,100.0,54,37
12.726,50,79,101.0,54,37
12.842,50,80,98.999999999998,54,37
12.958,50,80,97.0,54,37
13.067,50,79,94.0,54,37
13.174,50,79,95.999999999998,54,37
13.283,50,79,92.0,54,37
13.392,50,79,98.999999999998,54,37
13.500,50,79,98.0,54,37
13.612,50,79,98.0,54,37
13.725,50,80,95.999999999998,54,37
13.833,50,79,98.999999999998,54,37
13.940,50,79,92.0,54,37
14.041,50,79,94.0,54,37
14.145,50,80,90.000000000002,54,37
14.256,50,79,103.0,54,37
14.367,50,79,94.0,54,37
14.474,50,79,98.0,54,37
14.589,50,79,92.0,54,37
14.701,50,79,98.999999999998,54,37
14.814,50,79,95.0,54,37
14.918,50,78,91.0,54,37
15.034,50,77,100.0,54,37
