frame_idx,t_rel
0,0.413
1,0.428
2,0.448
3,0.464
4,0.628
5,0.644
6,0.681
7,0.696
8,0.709
9,0.723
10,0.734
11,0.745
12,0.823
13,0.832
14,0.856
15,0.918
16,0.930
17,0.944
18,1.046
19,1.057
20,1.140
21,1.160
22,1.241
23,1.261
24,1.456
25,1.472
26,1.491
27,1.504
28,1.513
29,1.574
30,1.664
31,1.673
32,1.743
33,1.760
34,1.773
35,1.859
36,1.872
37,1.920
38,1.955
39,2.051
40,2.068
41,2.078
42,2.160
43,2.174
44,2.183
45,2.267
46,2.283
47,2.366
48,2.375
49,2.389
50,2.462
51,2.470
52,2.494
53,2.572
54,2.601
55,2.874
56,2.889
57,2.907
58,2.921
59,2.934
60,2.950
61,4.436
62,4.468
63,4.534
64,4.779
65,4.806
66,4.818
67,4.898
68,4.914
69,5.031
70,5.044
71,5.139
72,5.164
73,5.244
74,5.261
75,5.453
76,5.544
77,5.561
78,5.575
79,5.594
80,5.608
81,5.632
82,5.651
83,5.764
84,5.796
85,5.809
86,5.843
87,5.909
88,5.959
89,6.080
90,6.133
91,6.173
92,6.219
93,6.261
94,6.295
95,6.327
96,6.367
97,6.498
98,6.560
99,6.606
100,6.641
101,6.687
102,6.726
103,6.776
104,6.808
105,6.992
106,7.023
107,7.078
108,7.120
109,7.170
110,7.196
111,7.256
112,7.291
113,13.779
114,15.589
115,15.614
116,15.666
117,15.682
118,15.729
119,15.794
120,15.856
121,15.881
122,15.898
123,15.916
124,15.955
125,15.979
126,16.027
127,16.090
128,16.114
129,16.128
130,16.180
131,16.262
132,16.281
133,16.312
134,16.381
135,16.408
136,16.440
137,16.474
138,16.513
139,16.543
140,16.562
141,16.601
142,16.683
143,16.707
144,16.777
145,16.807
146,16.868
147,16.884
148,16.907
149,16.983
150,16.998
151,17.040
152,17.092
153,17.107
154,17.159
155,17.231
156,17.246
157,17.262
158,17.278
159,17.311
160,17.354
161,17.417
162,17.428
163,17.514
164,17.528
165,17.580
166,17.612
167,17.640
168,17.696
169,17.727
170,17.751
171,17.798
172,17.814
173,17.845
174,17.892
175,17.899
176,17.941
177,18.001
178,18.031
179,18.047
180,18.078
181,18.132
182,18.147
183,18.190
184,18.214
185,18.239
186,18.313
187,18.356
188,18.382
189,18.406
190,18.446
191,18.543
192,18.608
193,18.634
194,18.708
195,18.716
196,18.732
197,18.777
198,18.864
199,18.874
200,18.908
201,18.940
202,18.973
203,19.011
204,19.063
205,19.074
206,19.128
207,19.136
208,19.181
209,19.262
210,19.273
211,19.296
212,19.308
213,19.358
214,19.366
215,19.411
216,19.460
217,19.473
218,19.500
219,19.525
220,19.580
221,19.614
222,19.664
223,19.687
224,19.750
225,19.773
226,19.804
227,19.863
228,19.894
229,19.946
230,19.982
231,20.040
232,20.060
233,20.078
234,20.121
235,20.134
236,20.180
237,20.246
238,20.280
239,20.375
240,20.388
241,20.406
242,20.460
243,20.478
244,20.503
245,20.525
246,20.598
247,20.614
248,20.654
249,20.664
250,20.710
251,20.758
252,20.778
253,20.810
254,20.865
255,20.879
256,20.946
257,20.971
258,20.983
259,21.011
260,21.065
261,21.076
262,21.108
263,21.180
264,21.192
265,21.202
266,21.251
267,21.326
268,21.350
269,21.407
270,21.441
271,21.481
272,21.507
273,21.557
274,21.617
