frame_idx,t_rel
0,0.281
1,0.296
2,0.342
3,0.358
4,0.487
5,0.514
6,0.527
7,0.565
8,0.678
9,0.729
10,0.742
11,0.771
12,0.994
13,1.034
14,1.078
15,1.127
16,1.140
17,1.411
18,1.498
19,1.843
20,2.030
21,2.363
22,2.424
23,2.507
24,2.551
25,2.583
26,2.684
27,2.760
28,2.805
29,2.843
30,2.890
31,2.924
32,2.953
33,3.010
34,3.060
35,3.576
36,3.626
37,3.658
38,4.088
39,4.286
40,4.373
41,4.414
42,4.463
43,4.719
44,4.759
45,4.811
46,4.843
47,4.997
48,5.046
49,5.099
50,5.144
51,5.177
52,5.409
53,8.764
54,9.852
55,9.940
56,9.972
57,10.231
58,10.278
59,10.337
60,10.385
61,10.457
62,10.498
63,10.551
64,10.599
65,10.663
66,10.711
67,10.774
68,10.807
69,10.870
70,10.934
71,10.982
72,11.035
73,11.093
74,11.157
75,11.214
76,11.262
77,11.315
78,11.363
79,11.395
80,11.459
81,11.491
82,11.647
83,11.674
84,11.722
85,11.866
86,12.282
87,12.323
88,12.518
89,12.577
90,12.628
91,12.675
92,12.713
93,12.976
94,13.012
95,13.184
96,13.234
97,13.287
98,13.344
99,13.393
100,13.443
101,13.500
102,13.550
103,13.593
104,13.641
105,13.691
106,13.743
107,13.796
108,13.844
109,13.898
110,13.948
111,14.026
112,14.087
113,14.127
114,14.227
115,14.276
116,14.343
117,14.377
118,14.426
119,14.486
120,14.527
121,14.576
122,14.645
123,14.677
124,14.745
125,14.793
126,14.842
127,14.883
128,14.916
129,15.081
130,15.155
131,15.196
132,15.252
133,15.285
134,15.327
135,15.376
136,15.431
137,15.485
138,15.526
139,15.589
140,15.627
141,15.677
142,15.772
143,15.810
144,15.860
145,15.926
146,15.960
147,16.160
148,16.194
149,16.260
150,16.306
151,16.371
152,16.424
153,16.465
154,16.528
155,16.577
156,16.623
157,16.655
158,16.722
159,16.750
160,16.783
161,16.863
162,16.918
163,16.986
164,17.030
165,17.078
166,17.124
167,17.174
