t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,battery_pct
0.000,0,10,0.0,-17,22
0.109,0,10,-3.0,-17,22
0.224,0,10,-3.0,-17,22
0.325,0,10,-3.0,-17,22
0.430,0,10,-3.0,-17,22
0.541,0,10,0.0,-17,22
0.654,0,10,-0.999999999998,-17,22
0.765,0,10,-1.999999999998,-17,22
0.874,0,10,-1.999999999998,-17,22
0.985,0,10,-1.999999999998,-17,22
1.088,0,10,-1.999999999998,-17,22
1.191,0,10,-7.999999999998,-17,22
1.299,0,10,-7.999999999998,-17,22
1.405,0,10,-7.999999999998,-17,22
1.505,0,10,-7.999999999998,-17,22
1.616,0,10,-7.999999999998,-17,22
1.724,0,10,-7.999999999998,-17,22
1.833,0,10,-7.999999999998,-17,22
1.950,0,10,-7.999999999998,-17,22
2.059,0,10,-7.999999999998,-17,22
2.164,0,10,-7.999999999998,-17,22
2.278,0,10,-7.999999999998,-17,22
2.392,0,10,-7.999999999998,-17,22
2.503,0,10,-7.999999999998,-17,22
2.615,0,10,1.000000000002,-17,22
2.722,0,10,-6.0,-17,22
2.823,0,10,-4.999999999998,-17,22
2.937,0,10,-4.999999999998,-17,22
3.045,0,10,-6.999999999998,-17,22
3.153,0,10,-6.999999999998,-17,22
3.257,0,10,-6.999999999998,-17,22
3.370,0,10,-6.999999999998,-17,22
3.476,0,10,-6.999999999998,-17,22
3.585,0,10,-6.0,-17,22
3.690,0,10,-6.0,-17,22
3.802,0,10,-6.0,-17,22
3.917,0,10,-6.0,-17,22
4.027,0,10,-6.0,-17,22
4.138,0,10,-6.0,-17,22
4.253,0,10,-6.0,-17,22
4.366,0,10,-4.999999999998,-17,22
4.477,0,10,-6.999999999998,-17,22
4.590,0,10,-1.999999999998,-17,22
4.697,0,10,-1.999999999998,-17,22
4.808,0,10,-1.999999999998,-17,22
4.920,0,10,-1.999999999998,-17,22
5.030,0,10,-3.999999999998,-17,22
5.141,0,10,-3.999999999998,-17,22
5.243,0,10,-3.999999999998,-17,22
5.353,0,10,-3.999999999998,-17,22
5.460,0,10,-3.999999999998,-17,22
5.572,0,10,-3.999999999998,-17,22
5.685,0,10,-6.999999999998,-17,22
5.791,0,10,-6.999999999998,-17,22
5.905,0,10,-6.999999999998,-17,22
6.009,0,10,-6.999999999998,-17,22
6.122,0,10,-6.999999999998,-17,22
6.224,0,10,-6.999999999998,-17,22
6.336,0,10,-6.999999999998,-17,22
6.439,0,10,-6.999999999998,-17,22
6.556,0,10,-6.999999999998,-17,22
6.672,0,10,-6.0,-17,22
6.778,0,10,-6.0,-17,22
6.892,0,10,-6.0,-17,22
6.995,0,10,-6.0,-17,22
7.113,0,10,-6.0,-17,22
7.222,0,10,-3.999999999998,-17,22
7.338,0,10,-6.0,-17,22
7.444,0,10,-6.0,-17,22
7.550,0,10,-6.0,-17,22
7.662,0,10,-4.999999999998,-17,22
7.775,0,10,-6.999999999998,-17,22
7.876,0,10,-9.0,-17,22
7.983,0,10,-7.999999999998,-17,22
8.094,0,10,-6.999999999998,-17,22
8.208,0,10,-6.999999999998,-17,22
8.320,0,10,-6.0,-17,22
8.428,0,10,-4.999999999998,-17,22
8.534,0,10,-9.999999999998,-17,22
8.640,0,10,-9.0,-17,22
8.745,0,10,-6.0,-17,22
8.854,0,10,-4.999999999998,-17,22
8.960,0,10,-4.999999999998,-17,22
9.076,0,10,-7.999999999998,-17,22
9.187,0,10,-9.0,-17,22
9.291,0,10,-3.999999999998,-17,22
9.393,0,10,-3.999999999998,-17,22
9.509,0,10,-3.999999999998,-17,22
9.623,0,10,-3.999999999998,-17,22
9.735,0,10,-6.999999999998,-17,22
9.844,0,10,-7.999999999998,-17,22
9.956,0,10,-10.999999999998,-17,22
10.065,0,10,-10.999999999998,-17,22
10.178,0,10,-10.999999999998,-17,22
10.289,0,10,-10.999999999998,-17,22
10.401,0,10,-7.999999999998,-17,22
10.512,0,10,-7.999999999998,-17,22
10.615,0,10,-7.999999999998,-17,22
10.727,0,10,-7.999999999998,-17,22
10.838,0,10,-7.999999999998,-17,22
10.950,0,10,-7.999999999998,-17,22
11.062,0,10,-7.999999999998,-17,22
11.173,0,10,-6.999999999998,-17,22
11.287,0,10,-6.999999999998,-17,22
11.395,0,10,-9.999999999998,-17,22
11.507,0,10,-9.999999999998,-17,22
11.627,0,10,-9.999999999998,-17,22
11.738,0,10,-9.999999999998,-17,22
11.851,0,10,-9.999999999998,-17,22
11.962,0,10,-9.999999999998,-17,22
12.075,0,10,-9.999999999998,-17,22
12.180,0,10,-9.999999999998,-17,22
12.292,0,10,-7.999999999998,-17,22
12.403,0,10,-7.999999999998,-17,22
12.510,0,10,-9.999999999998,-17,22
12.615,0,10,-14.999999999996,-17,22
12.723,0,10,-10.999999999998,-17,22
12.833,0,10,-10.999999999998,-17,22
12.936,0,10,-10.999999999998,-17,22
13.042,0,10,-10.999999999998,-17,22
13.147,0,10,-10.999999999998,-17,22
13.261,0,10,-14.999999999996,-17,22
13.367,0,10,-11.999999999996,-17,22
13.471,0,10,-11.999999999996,-17,22
13.577,0,10,-11.999999999996,-17,22
13.689,0,10,-9.0,-17,22
13.802,0,10,-6.0,-17,22
13.914,0,10,-6.0,-17,22
14.026,0,10,-9.0,-17,22
14.135,0,10,-9.0,-17,22
14.239,0,10,-6.999999999998,-17,22
14.343,0,10,-9.999999999998,-17,22
14.457,0,10,-12.999999999998,-17,22
14.560,0,10,-9.0,-17,22
14.677,0,10,-10.999999999998,-17,22
14.793,0,10,-11.999999999996,-17,22
14.908,0,10,-11.999999999996,-17,22
15.015,0,10,-11.999999999996,-17,22
15.125,0,10,-9.0,-17,22
15.236,0,10,-14.999999999996,-17,22
15.344,0,10,-17.999999999996,-17,22
15.453,0,10,-13.999999999998,-17,22
15.558,0,10,-14.999999999996,-17,22
15.661,0,10,-14.999999999996,-17,22
15.772,0,10,-12.999999999998,-17,22
15.875,0,10,-13.999999999998,-17,22
15.987,0,10,-13.999999999998,-17,22
16.090,0,10,-13.999999999998,-17,22
16.194,0,10,-11.999999999996,-17,22
16.306,0,10,-9.999999999998,-17,22
16.418,0,10,-15.999999999998,-17,22
16.528,0,10,-14.999999999996,-17,22
16.642,0,10,-9.0,-17,22
16.750,0,10,-9.0,-17,22
16.862,0,10,-14.999999999996,-17,22
16.967,0,10,-10.999999999998,-17,22
17.078,0,10,-11.999999999996,-17,22
17.193,0,10,-14.999999999996,-17,22
17.302,0,10,-11.999999999996,-17,22
17.414,0,10,-16.999999999998,-17,22
17.524,0,10,-10.999999999998,-17,22
17.639,0,10,-13.999999999998,-17,22
17.747,0,10,-6.999999999998,-17,22
17.858,0,10,-17.999999999996,-17,22
17.970,0,10,-17.999999999996,-17,22
18.085,0,10,-17.999999999996,-17,22
18.197,0,10,-12.999999999998,-17,22
18.309,0,10,-17.999999999996,-17,22
18.418,0,10,-17.999999999996,-17,22
18.534,0,10,-16.999999999998,-17,22
18.645,0,10,-10.999999999998,-17,22
18.756,0,10,-10.999999999998,-17,22
18.869,0,10,-15.999999999998,-17,22
18.981,0,10,-12.999999999998,-17,22
19.090,0,10,-12.999999999998,-17,22
19.193,0,10,-12.999999999998,-17,22
19.307,0,10,-12.999999999998,-17,22
19.419,0,10,-10.999999999998,-17,22
19.531,0,10,-10.999999999998,-17,22
19.642,0,10,-10.999999999998,-17,22
19.754,0,10,-10.999999999998,-17,22
19.868,0,10,-10.999999999998,-17,22
19.980,0,10,-10.999999999998,-17,22
20.093,0,10,-14.999999999996,-17,22
20.204,0,10,-14.999999999996,-17,22
20.318,0,10,-14.999999999996,-17,22
20.429,0,10,-14.999999999996,-17,22
20.541,0,10,-14.999999999996,-17,22
20.654,0,10,-14.999999999996,-17,22
20.766,0,10,-15.999999999998,-17,22
20.879,0,10,-15.999999999998,-17,22
20.992,0,10,-15.999999999998,-17,22
21.105,0,10,-15.999999999998,-17,22
21.217,0,10,-15.999999999998,-17,22
21.331,0,10,-15.999999999998,-17,22
21.445,0,10,-15.999999999998,-17,22
21.557,0,10,-15.999999999998,-17,22
21.669,0,10,-17.999999999996,-17,22
21.781,0,10,-15.999999999998,-17,22
21.894,0,10,-15.999999999998,-17,22
22.007,0,10,-15.999999999998,-17,22
22.122,0,10,-16.999999999998,-17,22
22.233,0,10,-16.999999999998,-17,22
22.345,0,10,-14.999999999996,-17,22
22.455,0,10,-14.999999999996,-17,22
22.568,0,10,-14.999999999996,-17,22
22.679,0,10,-14.999999999996,-17,22
22.791,0,10,-14.999999999996,-17,22
22.903,0,10,-14.999999999996,-17,22
23.014,0,10,-19.999999999998,-17,22
23.127,0,10,-9.999999999998,-17,22
23.235,0,10,-17.999999999996,-17,22
23.348,0,10,-19.999999999998,-17,22
23.462,0,10,-19.999999999998,-17,22
23.575,0,10,-19.999999999998,-17,22
23.685,0,10,-14.999999999996,-17,22
23.797,0,10,-12.999999999998,-17,22
23.908,0,10,-12.999999999998,-17,22
24.021,0,10,-15.999999999998,-17,22
24.132,0,10,-16.999999999998,-17,22
24.245,0,10,-15.999999999998,-17,22
24.356,0,10,-20.999999999996,-17,22
