frame_idx,t_rel
0,0.077
1,0.215
2,0.234
3,0.250
4,0.266
5,0.286
6,0.298
7,0.314
8,0.336
9,0.345
10,0.366
11,0.377
12,0.413
13,0.441
14,0.521
15,0.539
16,0.630
17,0.646
18,0.710
19,0.728
20,0.743
21,0.809
22,0.826
23,0.916
24,0.927
25,0.943
26,1.026
27,1.044
28,1.130
29,1.145
30,1.228
31,1.435
32,1.450
33,1.464
34,1.483
35,1.527
36,1.542
37,1.629
38,1.644
39,1.754
40,1.767
41,1.840
42,1.850
43,1.947
44,1.962
45,2.262
46,2.277
47,2.291
48,2.300
49,2.351
50,2.373
51,2.450
52,2.558
53,2.595
54,2.605
55,2.769
56,2.782
57,2.801
58,4.516
59,4.599
60,4.614
61,4.715
62,4.811
63,4.826
64,4.903
65,4.919
66,5.020
67,11.626
68,12.575
69,12.604
70,12.613
71,12.634
72,12.661
73,12.688
74,12.705
75,12.754
76,12.803
77,12.818
78,12.880
79,12.902
80,12.917
81,13.005
82,13.029
83,13.078
84,13.104
85,13.219
86,13.236
87,13.267
88,13.344
89,13.380
90,13.410
91,13.433
92,13.455
93,13.483
94,13.515
95,13.561
96,13.584
97,13.617
98,13.676
99,13.690
100,13.711
101,13.787
102,13.811
103,13.939
104,13.959
105,13.976
106,14.023
107,14.041
108,14.094
109,14.132
110,14.147
111,14.211
112,14.251
113,14.281
114,14.348
115,14.392
116,14.462
117,14.513
118,14.556
119,14.615
120,14.648
121,14.692
122,14.740
123,14.750
124,14.786
125,14.844
126,14.913
127,14.931
128,14.946
129,14.987
130,15.032
131,15.044
132,15.101
133,15.111
134,15.150
135,15.210
136,15.259
137,15.300
138,15.309
139,15.351
140,15.385
141,15.433
142,15.444
143,15.496
144,15.529
145,15.545
146,15.616
147,15.633
148,15.642
149,15.677
150,15.736
151,15.768
152,15.812
153,15.845
154,15.889
155,15.972
156,15.983
157,16.034
158,16.046
159,16.101
160,16.135
161,16.147
162,16.184
163,16.264
164,16.278
165,16.327
166,16.345
167,16.378
168,16.401
169,16.448
170,16.477
171,16.569
172,16.584
173,16.671
174,16.681
175,16.714
176,16.752
177,16.782
178,16.807
179,16.854
180,16.883
181,16.917
182,16.950
183,16.983
184,17.017
185,17.083
186,17.116
187,17.178
188,17.194
189,17.210
190,17.287
191,17.315
192,17.406
193,17.420
194,17.483
195,17.510
196,17.577
197,17.618
198,17.647
199,17.676
200,17.706
201,17.779
202,17.793
203,17.826
204,17.865
205,17.931
206,17.950
207,17.985
208,18.026
209,18.101
210,18.117
211,18.211
212,18.262
213,18.342
214,18.354
215,18.421
216,18.437
217,18.469
218,18.486
219,18.527
220,18.664
221,18.784
222,18.827
223,18.850
224,18.912
225,18.932
226,18.956
227,19.009
228,19.031
229,19.048
230,19.128
231,19.155
232,19.244
233,19.316
234,19.333
235,19.350
236,19.412
237,19.431
238,19.456
239,19.478
240,19.529
241,19.544
242,19.577
243,19.666
244,19.711
245,19.727
246,19.768
247,19.781
248,19.834
249,19.850
250,19.883
251,19.934
252,19.949
253,19.981
254,20.038
255,20.080
256,20.094
257,20.159
258,20.191
259,20.243
260,20.280
261,20.334
262,20.384
263,20.403
