t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,battery_pct
0.000,0,10,0.0,-5,76
0.109,0,10,-5.000000000002,-5,76
0.213,0,10,-3.0,-5,76
0.324,0,10,-1.0,-5,76
0.436,0,10,-4.0,-5,76
0.548,0,10,-1.0,-5,76
0.658,0,10,-2.000000000002,-5,76
0.770,0,10,0.0,-5,76
0.873,0,10,0.0,-5,76
0.988,0,10,-4.0,-5,76
1.091,0,10,-1.0,-5,76
1.203,0,10,0.0,-5,76
1.307,0,10,0.0,-5,76
1.415,0,10,-3.0,-5,76
1.522,0,10,-3.0,-5,76
1.635,0,10,-5.000000000002,-5,76
1.744,0,10,-1.0,-5,76
1.849,0,10,-9.0,-5,76
1.954,0,10,-5.000000000002,-5,76
2.059,0,10,-5.000000000002,-5,76
2.171,0,10,-5.000000000002,-5,76
2.282,0,10,-1.0,-5,76
2.394,0,10,-4.0,-5,76
2.507,0,10,-4.0,-5,76
2.616,0,10,-5.000000000002,-5,76
2.730,0,10,-5.000000000002,-5,76
2.840,0,10,-1.0,-5,76
2.952,0,10,-4.0,-5,76
3.062,0,10,-7.999999999998,-5,76
3.173,0,10,-2.000000000002,-5,76
3.285,0,10,-4.0,-5,76
3.396,0,10,0.999999999998,-5,76
3.507,0,10,0.999999999998,-5,76
3.619,0,10,-4.0,-5,76
3.731,0,10,-2.000000000002,-5,76
3.842,0,10,-4.0,-5,76
3.954,0,10,-4.0,-5,76
4.066,0,10,-2.000000000002,-5,76
4.177,0,10,-2.000000000002,-5,76
4.290,0,10,-4.0,-5,76
4.402,0,10,-4.0,-5,76
4.514,0,10,-4.0,-5,76
4.625,0,10,-7.999999999998,-5,76
4.738,0,10,-7.0,-5,76
4.850,0,10,-7.999999999998,-5,76
4.963,0,10,-5.000000000002,-5,76
5.074,0,10,-5.000000000002,-5,76
5.193,0,10,-4.0,-5,76
5.306,0,10,-4.0,-5,76
5.417,0,10,-5.000000000002,-5,76
5.529,0,10,-5.000000000002,-5,76
5.641,0,10,-5.000000000002,-5,76
5.752,0,10,-5.000000000002,-5,76
5.856,0,10,-5.000000000002,-5,76
5.959,0,10,-5.000000000002,-5,76
6.071,0,10,-5.000000000002,-5,76
6.177,0,10,-5.000000000002,-5,76
6.289,30,35,58.000000000002,-5,76
6.392,30,35,58.000000000002,-5,76
6.501,50,50,72.0,-5,76
6.613,50,50,72.0,-5,76
6.725,50,50,72.0,-5,76
6.837,50,50,72.0,-5,76
6.950,50,50,72.0,-5,76
7.062,50,50,72.0,-5,76
7.173,60,70,83.000000000002,-5,76
7.285,60,74,97.999999999998,-5,76
7.396,60,74,96.0,-5,76
7.501,60,74,96.0,-5,76
7.609,70,76,100.0,-5,76
7.717,70,77,105.0,-5,76
7.830,70,78,110.0,-5,76
7.942,70,79,106.0,-5,76
8.054,70,80,97.0,-5,76
8.166,70,82,105.0,-5,76
8.278,70,82,100.0,-5,76
8.390,70,82,102.0,-5,76
8.502,70,82,102.0,-5,76
8.614,70,82,102.0,-5,76
8.726,70,83,103.0,-5,76
8.838,70,83,99.0,-5,76
8.949,70,82,100.999999999998,-5,76
9.060,70,83,108.000000000002,-5,76
9.172,70,82,99.0,-5,76
9.283,70,82,100.0,-5,76
9.395,70,82,100.0,-5,76
9.506,70,82,109.0,-5,76
9.616,70,82,99.0,-5,76
9.728,70,82,106.0,-5,76
9.840,70,81,106.0,-5,76
