frame_idx,t_rel
0,0.373
1,0.431
2,0.447
3,0.466
4,0.488
5,0.498
6,0.537
7,0.566
8,0.615
9,0.627
10,0.660
11,0.692
12,0.708
13,0.725
14,0.775
15,0.807
16,0.835
17,0.870
18,0.905
19,0.920
20,0.944
21,0.980
22,1.011
23,1.044
24,1.074
25,1.099
26,1.127
27,1.147
28,1.178
29,1.210
30,1.241
31,1.279
32,1.310
33,1.347
34,1.391
35,1.425
36,1.513
37,1.544
38,1.592
39,1.625
40,1.645
41,1.678
42,1.714
43,1.728
44,1.806
45,1.840
46,1.848
47,1.886
48,1.917
49,1.949
50,1.983
51,1.998
52,2.078
53,2.110
54,2.143
55,2.157
56,2.190
57,2.221
58,2.253
59,2.350
60,2.381
61,2.476
62,2.511
63,2.540
64,2.635
65,2.671
66,2.716
67,2.765
68,2.843
69,2.874
70,2.890
71,2.922
72,2.954
73,2.985
74,3.017
75,3.033
76,3.065
77,3.081
78,3.113
79,3.193
80,3.227
81,3.261
82,3.276
83,3.326
84,3.339
85,3.544
86,3.720
87,3.962
88,4.141
89,4.156
90,4.347
91,4.379
92,7.181
93,7.232
94,7.266
95,7.296
96,7.327
97,7.346
98,7.376
99,7.407
100,7.423
101,7.439
102,7.471
103,7.488
104,7.502
105,7.520
106,7.550
107,7.566
108,7.587
109,7.598
110,7.619
111,7.647
112,7.663
113,7.742
114,7.758
115,7.839
116,7.856
117,7.870
118,7.890
119,7.918
120,7.969
121,8.002
122,8.018
123,8.029
124,8.047
125,8.077
126,8.095
127,8.127
128,8.141
129,8.159
130,8.172
131,8.204
132,8.220
133,8.236
134,8.252
135,8.271
136,8.287
137,8.348
138,8.364
139,8.396
140,8.412
141,8.477
142,8.494
143,8.508
144,8.560
145,8.573
146,8.880
147,8.909
148,8.957
149,8.973
150,9.007
151,9.041
152,9.069
153,9.263
154,9.277
155,9.296
156,9.309
157,9.340
158,9.355
159,9.371
160,9.387
161,9.403
162,9.419
163,9.499
164,9.517
165,9.531
166,9.549
167,9.579
168,9.597
169,9.643
170,9.675
171,9.707
172,9.739
173,9.774
174,9.803
175,9.838
176,9.884
177,9.903
178,9.931
179,9.999
180,10.011
181,10.045
182,10.077
183,10.107
184,10.208
185,10.218
186,10.234
187,10.270
188,10.297
189,10.394
190,10.409
191,10.424
192,10.490
193,10.504
194,10.520
195,10.552
196,10.568
197,10.811
198,10.840
199,11.129
200,11.146
201,11.179
202,11.196
203,11.212
204,11.227
205,11.241
206,11.274
207,11.289
208,11.305
209,17.576
210,17.597
211,17.612
212,17.668
213,17.679
214,17.723
215,17.746
216,17.772
217,17.816
218,17.849
219,17.881
220,17.954
221,17.978
222,18.009
223,18.082
224,18.098
225,18.129
226,18.198
227,18.242
228,18.278
229,18.297
230,18.312
231,18.333
232,18.355
233,18.368
234,18.409
235,18.436
236,18.479
237,18.535
238,18.559
239,18.576
240,18.614
241,18.682
242,18.699
243,18.712
244,18.748
245,18.789
246,18.813
247,18.903
248,18.927
249,18.960
250,18.971
251,19.008
252,19.077
253,19.101
254,19.187
255,19.208
256,19.243
257,19.276
258,19.317
259,19.350
260,19.423
261,19.441
262,19.510
263,19.553
264,19.594
265,19.611
266,19.647
267,19.665
268,19.678
269,19.706
270,19.738
271,19.787
272,19.849
273,19.866
274,19.881
275,19.915
276,19.944
277,19.994
278,20.010
279,20.049
280,20.108
281,20.156
282,20.261
283,20.292
284,20.315
285,20.347
286,20.381
287,20.413
288,20.438
289,20.456
290,20.482
291,20.563
292,20.574
293,20.591
294,20.603
295,20.628
296,20.646
297,20.662
298,20.691
299,20.712
300,20.748
301,20.777
302,20.805
303,20.849
304,20.895
305,20.914
306,20.960
307,20.994
308,21.013
309,21.038
310,21.108
311,21.124
312,21.149
313,21.178
314,21.247
315,21.282
316,21.315
317,21.341
318,21.417
319,21.449
320,21.482
321,21.506
322,21.562
323,21.576
324,21.602
325,21.643
326,21.669
327,21.719
328,21.780
329,21.799
330,21.814
331,21.880
332,21.906
333,21.943
334,21.986
335,22.013
336,22.080
337,22.107
338,22.177
339,22.194
340,22.219
341,22.250
342,22.314
343,22.332
344,22.348
345,22.377
346,22.395
347,22.466
348,22.482
349,22.512
350,22.600
351,22.615
352,22.638
353,22.698
354,22.715
355,22.739
356,22.796
357,22.811
358,22.837
359,22.889
360,22.906
361,22.963
362,22.977
363,23.046
364,23.066
365,23.077
366,23.106
367,23.151
368,23.209
369,23.265
370,23.332
371,23.380
372,23.434
373,23.448
374,23.488
375,23.540
376,23.553
377,23.589
378,23.606
379,23.622
380,23.643
381,23.678
382,23.708
383,23.736
384,23.824
385,23.899
386,23.915
387,23.947
388,24.004
389,24.025
390,24.045
391,24.072
392,24.125
393,24.141
394,24.176
395,24.216
396,24.249
397,24.315
398,24.353
399,24.382
400,24.447
401,24.479
402,24.523
403,24.547
404,24.593
405,24.611
406,24.676
407,24.699
408,24.717
409,24.739
410,24.782
411,24.816
412,24.846
413,24.905
414,24.934
415,24.947
416,25.006
417,25.030
418,25.046
419,25.113
420,25.128
421,25.149
422,25.174
423,25.226
424,25.243
425,25.282
426,25.315
427,25.366
428,25.450
429,25.463
430,25.524
431,25.566
432,25.580
433,25.600
434,25.645
435,25.696
436,25.713
437,25.744
438,25.764
439,25.815
440,25.866
441,25.916
442,25.959
443,25.978
444,26.030
445,26.047
446,26.080
447,26.132
448,26.151
449,26.161
450,26.207
451,26.258
452,26.279
453,26.313
454,26.345
455,26.362
456,26.452
457,26.475
458,26.496
459,26.562
460,26.585
461,26.597
462,26.675
463,26.733
464,26.780
465,26.845
466,26.882
467,26.984
468,27.016
469,27.093
470,27.110
471,27.138
472,27.193
473,27.210
474,27.265
475,27.283
476,27.300
477,27.394
478,27.452
479,27.576
480,27.595
481,27.612
482,27.676
483,27.710
484,27.799
485,27.815
486,27.859
487,27.882
488,27.916
489,27.949
490,27.982
491,28.015
492,28.039
493,28.081
494,28.110
495,28.153
496,28.175
497,28.209
498,28.250
499,28.274
500,28.317
501,28.347
502,28.394
503,28.413
504,28.439
505,28.520
506,28.544
507,28.611
508,28.643
509,28.710
510,28.729
511,28.747
512,28.782
513,28.832
514,28.851
515,28.885
516,28.932
517,28.964
518,29.008
519,29.032
520,29.079
521,29.099
522,29.146
523,29.180
524,29.232
525,29.246
526,29.275
527,29.299
528,29.340
529,29.420
530,29.435
531,29.451
532,29.468
533,29.564
534,29.581
535,29.605
536,29.650
537,29.748
538,29.765
539,29.812
540,29.845
541,29.877
542,29.933
543,29.946
544,29.981
545,30.018
546,30.065
547,30.082
548,30.125
549,30.149
550,30.191
551,30.215
552,30.263
553,30.281
554,30.314
555,30.339
556,30.434
557,30.450
558,30.482
559,30.514
560,30.543
561,30.584
562,30.608
563,30.642
564,30.682
565,30.714
566,30.781
567,30.807
568,30.862
569,30.881
570,30.930
571,30.948
572,30.973
573,31.033
574,31.050
575,31.178
576,31.219
577,31.243
578,31.283
579,31.310
580,31.377
581,31.400
582,31.429
583,31.477
584,31.533
585,31.543
586,31.593
587,31.612
588,31.683
589,31.708
590,31.748
591,31.815
592,31.854
593,31.947
594,31.973
595,32.000
596,32.046
597,32.091
598,32.108
599,32.167
600,32.178
601,32.203
602,32.278
603,32.297
604,32.305
605,32.336
606,32.350
607,32.406
608,32.478
609,32.497
610,32.599
611,32.616
612,32.696
613,32.708
614,32.740
615,32.810
616,32.880
617,32.891
618,32.907
619,32.948
620,32.978
621,33.022
622,33.038
623,33.096
624,33.114
625,33.138
626,33.178
627,33.205
628,33.241
629,33.276
630,33.349
631,33.359
632,33.370
633,33.388
634,33.445
635,33.501
636,33.517
637,33.546
638,33.599
639,33.614
640,33.641
641,33.714
642,33.742
643,33.814
644,33.831
645,33.847
646,33.916
647,33.930
648,33.983
649,34.060
650,34.077
651,34.162
652,34.179
653,34.212
654,34.249
655,34.282
656,34.329
657,34.349
658,34.442
659,34.465
660,34.481
661,34.586
662,34.619
663,34.661
664,34.697
665,34.743
666,34.771
667,34.862
668,34.925
669,34.938
670,34.976
671,35.027
672,35.045
673,35.080
674,38.201
675,38.221
676,38.247
677,38.333
678,38.347
679,38.380
680,38.449
681,38.500
682,38.514
683,38.550
684,38.582
685,38.677
686,38.718
687,38.783
688,38.854
689,38.870
690,38.908
691,38.947
692,38.980
693,39.021
694,39.046
695,39.079
696,39.111
697,39.153
698,39.177
699,39.202
700,39.279
701,39.299
702,39.351
703,39.363
704,39.413
705,39.465
706,39.498
707,39.550
708,39.566
709,39.598
710,39.623
711,39.639
712,39.682
713,39.711
714,39.747
715,39.796
716,39.804
717,39.877
718,39.950
719,39.991
720,40.015
721,40.058
722,40.101
723,40.130
724,40.167
725,40.182
726,40.199
727,40.275
728,40.298
729,40.366
730,40.383
731,40.412
732,40.496
733,40.517
734,40.536
735,40.569
736,40.600
737,40.645
738,40.673
739,40.715
740,40.747
741,40.778
742,40.811
743,40.875
744,40.890
745,40.914
746,40.947
747,41.015
748,41.043
749,41.127
750,41.144
751,41.160
752,41.175
753,41.213
754,41.246
755,41.301
756,41.325
757,41.349
758,41.429
759,41.450
760,41.482
761,41.509
762,41.546
763,41.598
764,41.622
765,41.639
766,41.697
767,41.714
768,41.749
769,41.826
770,41.843
771,41.877
772,41.932
773,41.947
774,41.995
775,42.010
776,42.034
777,42.152
778,42.177
779,42.228
780,42.242
781,42.296
782,42.313
783,42.336
784,42.425
785,42.442
786,42.471
787,42.536
788,42.549
789,42.591
790,42.612
791,42.648
792,42.679
793,42.711
794,42.750
795,42.783
796,42.800
797,42.867
798,42.914
799,42.962
800,42.982
801,42.999
802,43.063
803,43.076
804,43.149
805,43.165
806,43.200
807,43.270
808,43.296
809,43.339
810,43.380
811,43.402
812,43.459
813,43.475
814,43.527
815,43.545
816,43.580
817,43.611
818,43.634
819,43.692
820,43.710
821,43.755
822,43.765
823,43.810
824,43.867
825,43.880
826,43.954
827,43.968
828,44.012
829,44.134
830,44.157
831,44.173
832,44.229
833,44.248
834,44.294
835,44.310
836,44.350
837,44.392
838,44.408
839,44.465
840,44.484
841,44.517
842,44.549
