t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,0,-1,100
0.106,0,10,12.0,0,0,-1,100
0.208,0,10,10.0,0,0,-1,100
0.320,0,10,5.0,0,0,-1,100
0.424,0,10,8.0,0,0,-1,100
0.527,0,10,10.0,0,0,-1,100
0.638,0,10,5.0,0,0,-1,100
0.750,0,10,3.0,0,0,-1,100
0.863,0,10,2.0,0,0,-1,100
0.971,0,10,6.0,0,0,-1,100
1.074,0,10,10.0,0,0,-1,100
1.186,0,10,6.0,0,0,-1,100
1.289,0,10,2.0,0,0,-1,100
1.402,0,10,8.0,0,0,-1,100
1.504,0,10,14.0,0,0,-1,100
1.616,0,10,7.0,0,0,-1,100
1.720,0,10,11.0,0,0,-1,100
1.833,0,10,11.0,0,0,-1,100
1.945,0,10,5.0,0,0,-1,100
2.057,0,10,11.0,0,0,-1,100
2.169,0,10,10.0,0,0,-1,100
2.279,0,10,12.0,0,0,-1,100
2.391,0,10,9.0,0,0,-1,100
2.502,0,10,10.0,0,0,-1,100
2.614,0,10,11.0,0,0,-1,100
2.726,0,10,11.0,0,0,-1,100
2.837,0,10,9.0,0,0,-1,100
2.949,0,10,11.0,0,0,-1,100
3.060,0,10,5.0,0,0,-1,100
3.172,0,10,5.0,0,0,-1,100
3.283,0,10,11.0,0,0,-1,100
3.394,0,10,4.0,0,0,-1,100
3.507,0,10,4.0,0,0,-1,100
3.619,0,10,4.0,0,0,-1,100
3.731,0,10,4.0,0,0,-1,100
3.847,0,10,4.0,0,0,-1,100
3.956,0,10,4.0,0,0,-1,100
4.070,0,10,4.0,0,0,-1,100
4.180,0,10,4.0,0,0,-1,100
4.293,0,10,4.0,0,0,-1,100
4.404,0,10,4.0,0,0,-1,100
4.517,0,10,4.0,0,0,-1,100
4.628,0,10,4.0,0,0,-1,100
4.740,0,10,4.0,0,0,-1,100
4.851,0,10,4.0,0,0,-1,100
4.963,0,10,4.0,0,0,-1,100
5.075,0,10,4.0,0,0,-1,100
5.187,0,10,4.0,0,0,-1,100
5.298,0,10,4.0,0,0,-1,100
5.408,0,10,10.0,0,0,-1,100
5.519,0,10,10.0,0,0,-1,100
5.631,0,10,11.0,0,0,-1,100
5.743,0,10,11.0,0,0,-1,100
5.854,0,10,11.0,0,0,-1,100
5.967,0,10,11.0,0,0,-1,100
6.078,0,10,11.0,0,0,-1,100
6.190,0,10,11.0,0,0,-1,100
6.301,0,10,11.0,0,0,-1,100
6.413,0,10,11.0,0,0,-1,100
6.524,0,10,6.0,0,0,-1,100
6.636,0,10,6.0,0,0,-1,100
6.747,0,10,6.0,0,0,-1,100
6.859,0,10,6.0,0,0,-1,100
6.971,0,10,6.0,0,0,-1,100
7.083,0,10,6.0,0,0,-1,100
7.195,0,10,6.0,0,0,-1,100
7.307,0,10,2.0,0,0,-1,100
7.418,0,10,5.0,0,0,-1,100
7.530,0,10,6.0,0,0,-1,100
7.642,0,10,4.0,0,0,-1,100
7.754,0,10,6.0,0,0,-1,100
7.866,0,10,6.0,0,0,-1,100
7.977,0,10,6.0,0,0,-1,100
8.088,0,10,8.0,0,0,-1,100
8.199,0,10,4.0,0,0,-1,100
8.311,0,10,3.0,0,0,-1,100
8.423,0,10,7.0,0,0,-1,100
8.536,0,10,6.0,0,0,-1,100
8.650,0,10,6.0,0,0,-1,100
8.761,0,10,6.0,0,0,-1,100
8.873,0,10,4.0,0,0,-1,100
8.984,0,10,8.0,0,0,-1,100
9.096,0,10,5.0,0,0,-1,100
9.208,0,10,5.0,0,0,-1,100
9.320,0,10,2.0,0,0,-1,100
9.430,0,10,4.0,0,0,-1,100
9.542,0,10,10.0,0,0,-1,100
9.655,0,10,5.0,0,0,-1,100
9.766,0,10,7.0,0,0,-1,100
9.879,0,10,7.0,0,0,-1,100
9.990,0,10,8.0,0,0,-1,100
10.101,0,10,10.0,0,0,-1,100
10.213,0,10,8.0,0,0,-1,100
10.325,0,10,10.0,0,0,-1,100
10.435,0,10,6.0,0,0,-1,100
10.547,0,10,14.0,0,0,-1,100
10.660,0,10,9.0,0,0,-1,100
10.771,0,10,8.0,0,0,-1,100
10.883,0,10,7.0,0,0,-1,100
10.998,0,10,7.0,0,0,-1,100
11.109,0,10,7.0,0,0,-1,100
11.221,0,10,10.0,0,0,-1,100
11.332,0,10,9.0,0,0,-1,100
11.436,0,10,9.0,0,0,-1,100
11.540,0,10,9.0,0,0,-1,100
11.651,0,10,9.0,0,0,-1,100
11.761,0,10,9.0,0,0,-1,100
11.873,0,10,9.0,0,0,0,100
11.985,0,10,9.0,0,0,0,100
12.089,0,10,9.0,0,0,0,100
12.200,10,14,42.0,0,2,0,100
12.304,10,14,42.0,0,2,0,100
12.407,10,23,57.0,0,3,0,100
12.520,20,30,68.0,0,3,0,100
12.626,30,48,82.0,0,4,0,100
12.735,30,48,82.0,0,4,0,100
12.846,40,61,95.0,0,3,0,100
12.958,40,67,103.0,0,3,0,100
13.070,40,73,108.0,0,4,0,100
13.182,50,77,96.0,0,4,-1,100
13.294,50,80,103.0,0,4,-1,100
13.406,50,82,112.0,0,5,-1,100
13.519,50,85,120.0,0,5,0,100
13.631,60,90,123.0,0,5,0,100
13.744,60,90,123.0,0,5,0,100
13.856,60,90,115.0,0,5,0,100
13.968,60,92,115.0,0,5,0,100
14.080,60,94,116.0,0,5,0,100
14.192,60,94,125.0,0,4,0,100
14.305,60,94,125.0,0,4,0,100
14.417,60,94,125.0,0,4,0,100
14.528,60,93,120.0,0,4,0,100
14.640,60,93,122.0,0,5,0,100
14.752,60,93,122.0,0,5,0,100
14.865,60,91,118.0,0,5,0,100
14.977,60,89,120.0,0,5,0,100
15.090,60,89,114.0,0,5,0,100
15.202,60,88,108.0,0,6,0,100
15.314,60,87,106.0,0,6,0,100
15.426,60,85,108.0,0,6,0,100
15.541,60,84,108.0,0,6,0,100
15.650,60,82,109.0,0,6,0,100
15.763,60,82,109.0,0,6,0,100
15.875,50,81,100.0,0,5,0,100
15.986,50,80,99.0,0,5,0,100
16.099,50,80,99.0,0,5,0,100
16.212,50,80,99.0,0,5,0,100
16.324,50,80,99.0,0,5,0,100
16.435,50,77,94.0,0,5,0,100
16.546,50,77,100.0,0,5,0,100
16.658,50,77,106.0,0,5,0,100
16.769,50,76,87.0,0,5,0,100
16.882,50,76,87.0,0,5,0,100
16.994,50,76,87.0,0,5,0,100
17.107,50,76,87.0,0,5,0,100
17.220,50,77,89.0,0,5,0,100
17.332,50,78,96.0,0,5,0,100
17.444,50,78,96.0,0,5,0,100
17.555,50,78,98.0,0,5,0,100
17.656,50,79,92.0,0,6,0,100
17.764,50,79,90.0,0,5,0,100
17.873,50,79,91.0,0,6,0,100
17.985,50,79,89.0,0,6,0,100
18.089,50,79,98.0,0,5,0,100
18.192,50,80,103.0,0,5,0,100
18.301,50,80,86.0,0,6,0,100
18.404,50,79,87.0,0,6,0,100
18.511,50,81,81.0,0,6,0,100
18.623,50,80,97.0,0,6,-1,100
18.724,50,80,85.0,0,6,-1,100
18.829,50,80,86.0,0,6,-1,100
18.931,50,80,86.0,0,5,-1,100
19.038,50,79,86.0,0,5,-1,100
19.142,50,79,83.0,0,5,-1,100
19.252,50,80,85.0,0,5,0,100
19.359,50,80,89.0,0,5,0,100
19.472,50,80,85.0,0,6,-1,100
19.585,50,80,88.0,0,5,0,100
19.689,50,80,86.0,0,5,0,100
19.796,50,80,86.0,0,5,0,100
19.906,50,81,87.0,0,5,0,100
20.026,50,81,89.0,0,4,0,100
20.140,50,81,83.0,0,4,0,100
20.253,50,81,83.0,0,4,0,100
20.356,50,80,87.0,0,3,1,100
20.458,50,81,90.0,0,4,0,100
20.567,50,81,87.0,0,4,0,100
20.683,50,81,89.0,0,3,1,100
20.788,50,81,93.0,0,2,0,100
20.890,50,80,91.0,0,2,1,100
21.005,50,80,97.0,0,2,0,100
21.116,50,80,87.0,0,2,1,100
21.219,50,80,97.0,0,2,1,100
21.323,50,80,96.0,0,2,1,100
21.425,50,80,92.0,0,1,1,100
21.538,50,80,94.0,0,1,1,100
21.653,50,80,99.0,0,1,0,100
21.758,50,80,96.0,0,2,1,100
21.871,50,81,104.0,0,2,1,100
21.979,50,80,93.0,0,2,0,100
22.091,50,79,98.0,0,2,0,100
22.198,50,79,98.0,0,2,0,100
22.308,50,80,96.0,0,2,0,100
22.414,50,80,103.0,0,2,0,100
22.523,50,79,99.0,0,2,0,100
22.631,50,79,103.0,0,2,0,100
22.732,50,79,105.0,0,2,0,100
22.852,50,79,106.0,0,2,0,100
22.956,50,79,109.0,0,2,0,100
23.058,50,79,101.0,0,3,0,100
23.168,50,80,97.0,0,4,-1,100
23.274,50,80,97.0,0,4,-1,100
23.387,50,80,107.0,0,4,-1,100
23.506,50,80,107.0,0,4,-1,100
23.614,50,81,105.0,0,4,-1,100
23.728,50,81,112.0,0,5,-1,100
23.840,50,81,116.0,0,4,-2,100
23.942,50,82,107.0,0,4,-2,100
24.056,50,82,100.0,0,4,-2,100
24.167,50,81,98.0,0,4,-1,100
24.282,50,82,101.0,0,4,-1,100
24.390,50,82,100.0,0,5,-1,100
24.507,60,83,102.0,0,5,-1,100
24.619,60,83,104.0,0,5,-1,100
24.723,60,82,94.0,0,5,-1,100
24.825,60,82,109.0,0,5,-1,100
24.932,50,82,99.0,0,5,-1,100
25.038,50,82,96.0,0,5,-1,100
