frame_idx,t_rel
0,0.304
1,0.340
2,0.353
3,0.375
4,0.533
5,0.568
6,0.600
7,0.678
8,0.708
9,0.723
10,0.773
11,0.990
12,1.006
13,1.069
14,1.084
15,1.118
16,1.134
17,1.389
18,1.402
19,1.452
20,1.467
21,1.478
22,1.492
23,1.502
24,1.585
25,1.622
26,1.638
27,1.663
28,1.699
29,1.795
30,1.810
31,1.819
32,1.880
33,1.896
34,1.992
35,2.008
36,2.039
37,2.103
38,2.332
39,8.478
40,8.503
41,8.563
42,8.574
43,8.606
44,8.655
45,8.718
46,8.736
47,8.771
48,8.837
49,8.855
50,8.886
51,8.902
52,8.972
53,8.988
54,9.029
55,9.039
56,9.062
57,9.105
58,9.167
59,9.182
60,9.202
61,9.236
62,9.276
63,9.308
64,9.358
65,9.372
66,9.440
67,9.457
68,9.471
69,9.513
70,9.534
71,9.571
72,9.625
73,9.639
74,9.689
75,9.704
76,9.735
77,9.773
78,9.853
79,9.874
80,9.900
81,9.933
82,10.008
83,10.041
84,10.083
85,10.105
86,10.155
87,10.168
88,10.211
89,10.235
90,10.276
91,10.306
92,10.334
93,10.385
94,10.409
95,10.502
96,10.517
97,10.527
98,10.539
99,10.605
100,10.618
101,10.639
102,10.707
103,10.718
104,10.741
105,10.773
106,10.799
107,10.815
108,10.887
109,10.906
110,10.974
111,11.027
112,11.036
113,11.113
114,11.137
115,11.219
116,11.239
117,11.294
118,11.302
119,11.357
120,11.381
121,11.421
122,11.452
123,11.503
124,11.518
125,11.536
126,11.575
127,11.624
128,11.635
129,11.689
130,11.700
131,11.737
132,11.770
133,11.797
134,11.813
135,11.875
136,11.895
137,11.929
138,11.976
139,12.008
140,12.033
141,12.105
142,12.119
143,12.137
144,12.169
145,12.250
146,12.274
147,12.358
148,12.369
149,12.415
150,12.436
151,12.490
152,12.556
153,12.588
154,12.671
155,12.688
156,12.698
157,12.744
158,12.772
159,12.857
160,12.888
161,12.907
162,12.917
163,12.946
164,12.987
165,13.058
166,13.069
167,13.092
168,13.117
169,13.157
170,13.168
171,13.256
172,13.280
173,13.296
174,13.345
175,13.372
176,13.434
177,13.441
178,13.474
179,13.536
180,13.546
181,13.595
182,13.604
183,13.701
184,13.712
185,13.775
186,13.786
187,13.808
188,13.873
189,13.898
190,13.982
191,13.995
192,14.006
193,14.037
194,14.075
195,14.104
196,14.153
197,14.187
198,14.198
199,14.264
200,14.272
201,14.304
202,14.381
203,14.396
204,14.406
205,14.435
206,14.503
207,14.576
208,14.661
209,14.670
210,14.686
211,14.708
212,14.825
213,14.836
214,14.850
215,14.890
216,14.901
217,14.956
218,14.967
219,15.000
220,15.086
221,15.105
222,15.134
223,15.188
224,15.201
225,15.236
226,15.275
227,15.307
228,15.351
229,15.367
230,15.405
231,15.440
232,15.519
233,15.530
234,15.576
235,15.617
236,15.636
237,15.714
238,15.770
239,15.785
240,15.803
241,15.820
242,15.921
243,15.941
244,16.029
245,16.053
246,16.070
247,16.126
248,16.142
249,16.224
250,16.237
251,16.271
252,16.302
253,16.335
254,16.392
255,16.436
256,16.443
257,16.467
258,16.504
259,16.532
260,16.563
261,16.642
262,16.667
263,16.809
264,16.824
265,16.857
266,16.934
267,16.969
268,17.051
269,17.067
270,17.157
271,17.174
272,17.222
273,17.241
274,17.323
275,17.369
276,17.412
277,17.459
278,17.474
279,17.541
280,17.556
281,17.572
282,17.607
283,17.642
284,17.676
285,17.722
286,17.755
287,17.787
288,17.836
289,17.855
290,17.872
291,17.951
292,17.972
293,18.018
294,18.039
295,18.071
296,18.145
297,18.167
298,18.209
299,18.329
300,18.352
301,18.396
302,18.411
303,18.435
304,18.484
305,18.508
306,18.556
307,18.573
308,18.608
309,18.637
310,18.673
311,18.700
312,18.758
313,18.783
314,18.791
315,18.823
316,18.913
317,18.936
318,18.977
319,19.001
320,19.041
321,19.075
322,19.107
323,19.154
324,19.166
325,19.208
326,19.269
327,19.302
328,19.386
329,19.399
330,19.456
331,19.505
332,19.541
333,19.609
334,19.667
335,19.717
336,19.767
337,19.788
338,19.820
339,19.918
340,19.929
341,19.941
342,20.005
343,20.029
344,20.105
345,20.134
346,20.195
347,20.234
348,20.306
349,20.317
350,20.329
351,20.367
352,20.438
353,20.527
354,20.535
355,20.588
356,20.607
357,20.640
358,20.706
359,20.740
360,20.770
361,20.805
362,20.839
363,20.910
364,20.926
365,20.950
366,21.007
367,21.214
368,21.226
369,21.239
370,21.253
371,21.310
372,21.321
373,21.352
374,21.368
375,21.422
376,21.438
377,21.463
378,21.497
379,21.536
380,21.575
381,21.669
382,21.708
383,21.773
384,21.841
385,21.945
386,22.003
387,22.190
388,22.232
389,22.242
390,22.264
391,22.281
392,22.305
393,22.315
394,22.330
395,22.370
396,22.447
397,22.459
398,22.471
399,22.503
400,22.576
401,22.599
402,22.680
403,22.735
404,22.751
405,22.769
406,22.809
407,22.885
408,22.903
409,22.975
410,22.987
411,23.006
412,23.055
413,23.096
414,23.103
415,23.152
416,23.194
417,23.203
418,23.259
419,23.269
420,23.295
421,23.374
422,23.389
423,23.399
424,23.426
425,23.485
426,23.495
427,23.559
428,23.610
429,23.627
430,23.637
431,23.717
432,23.725
433,23.752
434,23.767
435,23.839
436,23.893
437,23.903
438,23.935
439,23.991
440,24.001
441,24.042
442,24.067
443,24.120
444,24.136
445,24.177
446,24.203
447,24.244
448,24.306
449,24.341
450,24.422
451,24.442
452,24.517
453,24.530
454,24.585
455,24.651
456,24.673
457,24.733
458,24.817
459,24.827
460,24.889
461,24.924
462,24.940
463,24.989
464,25.008
465,25.034
466,25.092
467,25.122
468,25.151
469,25.210
470,25.242
471,25.326
472,25.339
473,25.384
474,25.406
475,25.441
476,25.508
477,25.522
478,25.555
479,25.567
480,25.625
481,25.640
482,25.667
483,25.760
484,25.774
485,25.823
486,25.835
487,25.875
488,25.969
489,25.991
490,26.060
491,26.084
492,26.105
493,26.173
494,26.226
495,26.238
496,26.273
497,26.294
498,26.342
499,26.375
500,26.408
501,26.457
502,26.467
503,26.502
504,26.553
505,26.568
506,26.606
507,26.685
508,26.728
509,26.737
510,26.775
511,26.857
512,26.875
513,26.908
514,26.960
515,26.984
516,27.000
517,27.108
518,27.209
519,27.272
520,27.310
521,27.375
522,27.403
523,27.468
524,27.504
525,27.599
526,27.634
527,27.648
528,27.705
529,27.725
530,27.741
531,27.791
532,27.824
533,27.857
534,27.882
535,27.894
536,27.970
537,27.979
538,28.003
539,28.078
540,28.089
541,28.110
542,28.190
543,28.218
544,28.249
545,28.311
546,28.324
547,28.346
548,28.365
549,28.411
550,28.486
551,28.510
552,28.539
553,28.590
554,28.623
555,28.672
556,28.739
557,28.767
558,28.778
559,28.803
560,28.820
561,28.957
562,28.996
563,29.035
564,29.102
565,29.122
566,29.134
567,29.228
568,29.239
569,29.353
570,29.367
571,29.408
572,29.451
573,29.472
574,29.536
575,29.573
576,29.626
577,29.636
578,29.661
579,29.697
580,29.741
581,29.773
582,29.807
583,29.820
584,29.864
585,29.905
586,29.948
587,29.973
588,30.044
589,30.126
590,30.175
591,30.217
592,30.249
593,30.273
594,30.342
595,30.368
596,30.445
597,30.469
598,30.503
599,30.571
600,30.623
601,30.640
602,30.684
603,30.718
604,30.735
605,30.774
606,30.855
607,30.894
608,30.930
609,30.941
610,30.975
611,31.021
612,31.079
613,31.134
614,31.144
615,31.174
616,31.207
617,31.240
618,31.278
619,31.301
620,31.354
621,31.382
622,31.422
623,31.441
624,31.492
625,31.517
626,31.558
627,31.574
628,31.610
629,31.640
630,31.701
631,31.770
632,31.791
633,31.812
634,31.866
635,31.891
636,31.990
637,32.003
638,32.029
639,32.096
640,32.104
641,32.137
642,32.201
643,32.225
644,32.238
645,32.272
646,32.296
647,32.391
648,32.414
649,32.484
650,32.507
651,32.585
652,32.591
653,32.607
654,32.642
655,32.707
656,32.719
657,32.785
658,32.793
659,32.825
660,32.889
661,32.911
662,32.995
663,33.042
664,33.120
665,33.142
666,33.173
667,33.226
668,33.235
669,33.266
670,33.320
671,33.336
672,33.379
673,33.437
674,33.496
675,33.552
676,33.621
677,33.642
678,33.672
679,33.723
680,33.740
681,33.852
682,33.865
683,33.874
684,33.905
685,33.941
686,34.012
687,34.027
688,34.043
689,34.070
690,34.141
691,34.152
692,34.168
693,34.212
694,34.259
695,34.269
696,34.341
697,34.374
698,34.453
699,34.463
700,34.484
701,34.574
702,34.623
703,34.659
704,34.668
705,34.743
706,34.765
707,34.838
708,34.852
709,34.868
710,34.928
711,34.944
712,34.971
713,35.044
714,35.054
715,35.068
716,35.108
717,35.158
718,35.175
719,35.232
720,35.292
721,35.327
722,35.358
723,35.375
724,35.417
725,35.469
726,35.488
727,35.501
728,35.557
729,35.579
730,35.598
731,35.668
732,35.703
733,35.738
734,35.809
735,35.824
736,35.906
737,35.956
738,35.970
739,36.008
740,36.037
741,36.103
742,36.130
743,36.209
744,36.275
745,36.289
746,36.336
747,36.408
748,36.450
749,36.475
750,36.568
751,36.634
752,36.650
753,36.686
754,36.709
755,36.753
756,36.813
757,36.825
758,36.922
759,36.934
760,37.003
761,37.032
762,37.093
763,37.105
764,37.143
765,37.174
766,37.215
767,37.252
768,37.276
769,37.308
770,37.341
771,37.434
772,37.497
773,37.524
774,37.592
775,37.627
776,37.636
777,37.718
778,37.729
779,37.778
780,37.842
781,37.853
782,37.889
783,37.901
784,37.960
785,37.975
786,38.023
787,38.042
788,38.084
789,38.108
790,38.152
791,38.209
792,38.236
793,38.276
794,38.324
795,38.338
796,38.373
797,38.407
798,38.426
799,38.536
800,38.571
801,38.610
802,38.642
803,38.675
804,38.723
805,38.742
806,38.775
807,38.858
808,38.868
809,38.906
810,38.973
811,39.014
812,39.087
813,39.095
814,39.126
815,39.174
816,39.195
817,39.237
818,39.268
819,39.301
820,39.361
821,39.379
822,39.412
823,39.474
824,39.540
825,39.605
826,39.630
827,39.679
828,39.742
829,39.792
830,39.874
831,39.899
832,39.993
833,40.025
834,40.044
835,40.085
836,40.111
837,40.176
838,40.190
839,40.201
840,40.238
841,40.285
842,40.310
843,40.341
844,40.375
845,40.407
846,40.443
847,40.467
848,40.510
849,40.559
850,40.569
851,40.609
852,40.640
853,40.679
854,40.700
855,40.741
856,40.812
857,40.824
858,40.869
859,40.924
860,40.936
861,41.002
862,41.009
863,41.028
864,41.105
865,41.114
866,41.170
867,41.179
868,41.211
869,41.224
870,41.308
871,41.333
872,41.374
873,41.423
874,41.437
875,41.478
876,41.539
877,41.564
878,41.603
879,41.637
880,41.673
881,41.742
882,41.774
883,41.837
884,41.852
885,41.863
886,41.934
887,41.984
888,42.061
889,42.075
890,42.106
891,42.135
892,42.164
893,42.201
894,42.239
895,42.273
896,42.375
897,42.426
898,42.475
899,42.514
900,42.547
901,42.566
902,42.630
903,42.643
904,42.676
