t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,5,0,0,56
0.123,0,10,9.0,5,0,0,56
0.235,0,10,5.0,5,0,0,56
0.350,0,10,6.0,5,0,0,56
0.463,0,10,-2.0,5,0,0,56
0.575,0,10,6.0,5,0,0,56
0.687,0,10,2.0,5,0,0,56
0.798,0,10,7.0,5,0,0,56
0.910,0,10,7.0,5,0,0,56
1.014,0,10,7.0,5,0,0,56
1.126,0,10,2.0,5,0,0,56
1.231,0,10,2.0,5,0,0,56
1.335,0,10,2.0,5,0,0,56
1.444,0,10,1.0,5,0,0,56
1.548,0,10,-2.0,5,0,0,56
1.653,0,10,2.0,5,0,0,56
1.755,0,10,2.0,5,0,0,56
1.859,0,10,1.0,5,0,0,56
1.971,0,10,1.0,5,0,0,56
2.082,0,10,7.0,5,0,0,56
2.194,0,10,0.0,5,0,0,56
2.306,0,10,0.0,5,0,0,56
2.420,0,10,0.0,5,0,0,56
2.531,0,10,5.0,5,0,0,56
2.633,0,10,2.0,5,0,0,56
2.745,0,10,2.0,5,0,0,56
2.858,0,10,2.0,5,0,0,56
2.969,0,10,2.0,5,0,0,56
3.080,0,10,2.0,5,0,0,56
3.184,0,10,2.0,5,0,0,56
3.296,0,10,2.0,4,0,0,56
3.399,0,10,2.0,4,0,0,56
3.511,0,10,2.0,4,0,0,56
3.614,20,29,63.0,4,0,-1,56
3.727,20,29,63.0,4,0,-1,56
3.833,30,32,67.0,4,0,-1,56
3.945,30,42,65.0,4,0,-2,56
4.058,30,42,65.0,4,0,-2,56
4.170,30,42,65.0,4,0,-2,56
4.282,40,50,77.0,4,0,-2,56
4.393,60,73,103.0,4,0,-1,56
4.505,60,73,103.0,4,0,-1,56
4.618,60,77,99.0,4,0,-1,56
4.729,60,78,109.0,4,0,-1,56
4.841,60,79,107.0,4,0,-1,56
4.953,60,79,107.0,4,0,-1,56
5.064,60,79,107.0,4,0,-1,56
5.175,70,83,120.0,5,0,-1,56
5.288,70,83,116.0,5,0,-1,56
5.401,70,83,116.0,5,0,-1,56
5.512,70,85,114.0,5,0,-1,56
5.625,70,84,113.0,5,0,-1,56
5.735,70,84,113.0,5,0,-1,56
5.847,70,84,111.0,5,0,-1,56
5.959,70,84,112.0,5,0,-1,56
6.071,70,84,109.0,5,0,-1,56
6.184,70,83,110.0,5,0,-1,56
6.300,70,83,105.0,4,0,-1,56
6.406,70,83,105.0,4,0,-1,56
6.518,70,82,111.0,4,0,-2,56
6.630,70,82,107.0,4,0,-2,56
6.742,70,82,108.0,4,0,-1,56
6.854,70,82,114.0,4,0,-2,56
6.966,70,82,115.0,4,0,-2,56
7.078,70,82,113.0,4,0,-1,56
7.191,70,82,113.0,4,0,-1,56
7.301,70,81,102.0,4,0,-1,56
7.413,70,82,113.0,4,0,-1,56
7.526,70,82,113.0,4,0,-1,56
7.638,70,82,113.0,4,1,-1,56
7.750,70,82,112.0,4,0,-1,56
7.861,70,82,114.0,4,0,-1,56
7.973,70,82,112.0,4,0,-1,56
8.084,70,81,111.0,4,0,-1,56
8.197,70,81,111.0,4,0,-1,56
8.310,70,81,106.0,4,0,-1,56
8.421,70,81,106.0,4,0,-1,56
8.533,70,81,108.0,4,0,-1,56
8.647,70,81,113.0,4,0,-1,56
8.753,70,81,110.0,4,0,-1,56
8.862,70,81,112.0,4,0,-1,56
8.963,70,80,105.0,4,0,-1,56
9.070,70,81,100.0,4,0,-1,56
9.173,70,80,102.0,4,0,-1,56
9.287,70,80,106.0,4,0,-1,56
9.398,70,80,106.0,4,0,-1,56
