t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,-28,0,0,34
0.115,0,10,0.0,-28,0,0,34
0.226,0,10,0.0,-28,0,0,34
0.330,0,10,0.0,-28,0,0,34
0.432,0,10,0.0,-28,0,0,34
0.536,0,10,0.0,-28,0,0,34
0.638,0,10,0.0,-28,0,0,34
0.752,0,10,0.0,-28,0,0,34
0.856,0,10,0.0,-28,0,0,34
0.968,0,10,0.0,-28,0,0,34
1.075,0,10,0.0,-28,0,0,34
1.187,0,10,0.0,-28,0,0,34
1.292,0,10,0.0,-28,0,0,34
1.404,0,10,0.0,-28,0,0,34
1.508,0,10,0.0,-28,0,0,34
1.620,0,10,0.0,-28,0,0,34
1.725,0,10,0.0,-28,0,0,34
1.831,0,10,0.0,-28,0,0,34
1.941,0,10,0.0,-28,0,0,34
2.052,0,10,0.0,-28,0,0,34
2.163,0,10,0.0,-28,0,0,34
2.275,0,10,0.0,-28,0,0,34
2.387,0,10,0.0,-28,0,0,34
2.500,0,10,0.0,-28,0,0,34
2.612,0,10,0.0,-28,0,0,34
2.723,0,10,0.0,-28,0,0,34
2.836,0,10,0.0,-28,0,0,34
2.947,0,10,0.0,-28,0,0,34
3.062,0,10,0.0,-28,0,0,34
3.174,0,10,0.0,-28,0,0,34
3.286,0,10,0.0,-28,0,0,34
3.392,0,10,0.0,-28,0,0,34
3.496,0,10,0.0,-28,0,0,34
3.604,0,10,0.0,-28,0,0,34
3.706,0,10,0.0,-28,0,0,34
3.811,0,10,0.0,-28,0,0,34
3.925,0,10,0.0,-28,0,0,34
4.038,0,10,0.0,-28,0,0,34
4.150,0,10,0.0,-28,0,0,34
4.264,0,10,0.0,-28,0,0,34
4.374,0,10,0.0,-28,0,0,34
4.487,0,10,0.0,-28,0,0,34
4.602,0,10,0.0,-28,0,0,34
4.713,0,10,0.0,-28,0,0,34
4.825,0,10,0.0,-28,0,0,34
4.928,0,10,0.0,-28,0,0,34
5.040,0,10,0.0,-28,0,0,34
5.152,0,10,0.0,-28,0,0,34
5.265,0,10,0.0,-28,0,0,34
5.374,0,10,0.0,-28,0,0,34
5.477,0,10,0.0,-28,0,0,34
5.588,0,10,0.0,-28,0,0,34
5.692,0,10,0.0,-28,0,0,34
5.805,0,10,0.0,-28,0,0,34
5.909,0,10,0.0,-28,0,0,34
6.022,0,10,0.0,-28,0,0,34
6.124,0,10,0.0,-28,0,0,34
6.236,0,10,0.0,-28,0,0,34
6.347,0,10,0.0,-28,0,0,34
6.458,0,10,0.0,-28,0,0,34
6.569,0,10,0.0,-28,0,0,34
6.682,0,10,0.0,-28,0,0,34
6.793,0,10,0.0,-28,0,0,34
6.905,0,10,0.0,-28,0,0,34
7.017,0,10,0.0,-28,0,0,34
7.130,0,10,0.0,-28,0,0,34
7.242,0,10,0.0,-28,0,0,34
7.355,0,10,0.0,-28,0,0,34
7.467,0,10,0.0,-28,0,0,34
7.579,0,10,0.0,-28,0,0,34
7.691,0,10,0.0,-28,0,0,34
7.804,0,10,0.0,-28,0,0,34
7.916,0,10,0.0,-28,0,0,34
8.028,0,10,0.0,-28,0,0,34
8.140,0,10,0.0,-28,0,0,34
8.252,0,10,0.0,-28,0,0,34
8.365,0,10,0.0,-28,0,0,34
8.477,0,10,0.0,-28,0,0,34
8.589,0,10,0.0,-28,0,0,34
8.701,0,10,0.0,-28,0,0,34
8.813,0,10,0.0,-28,0,0,34
8.926,0,10,0.0,-28,0,0,34
9.038,0,10,0.0,-28,0,0,34
9.150,0,10,0.0,-28,0,0,34
9.262,0,10,0.0,-28,0,0,34
9.374,0,10,0.0,-28,0,0,34
9.486,0,10,0.0,-28,0,0,34
9.598,0,10,0.0,-28,0,0,34
9.711,0,10,0.0,-28,0,0,34
9.823,0,10,0.0,-28,0,0,34
9.936,0,10,0.0,-28,0,0,34
10.047,0,10,0.0,-28,0,0,34
10.159,0,10,0.0,-28,0,0,34
10.271,0,10,0.0,-28,0,0,34
10.383,0,10,0.0,-28,0,0,34
10.494,0,10,0.0,-28,0,0,34
10.606,0,10,0.0,-28,0,0,34
10.718,0,10,0.0,-28,0,0,34
10.830,0,10,0.0,-28,0,0,34
10.963,0,10,0.0,-28,0,0,34
11.068,0,10,0.0,-28,0,0,34
11.179,0,10,0.0,-28,0,0,34
11.289,0,10,0.0,-28,0,0,34
11.399,0,10,0.0,-28,0,0,34
11.510,0,10,0.0,-28,0,0,34
11.621,0,10,0.0,-28,0,0,34
11.733,0,10,0.0,-28,0,0,34
11.844,0,10,0.0,-28,0,0,34
11.957,0,10,0.0,-28,0,0,34
12.068,0,10,0.0,-28,0,0,34
12.178,0,10,0.0,-28,0,0,34
12.290,0,10,0.0,-28,0,0,34
12.402,0,10,0.0,-28,0,0,34
12.514,0,10,0.0,-28,0,0,34
12.626,0,10,0.0,-28,0,0,34
12.737,0,10,0.0,-28,0,0,34
12.849,0,10,0.0,-28,0,0,34
12.960,0,10,0.0,-28,0,0,34
13.073,0,10,0.0,-28,0,0,34
13.185,0,10,0.0,-28,0,0,34
