frame_idx,t_rel
0,0.218
1,0.250
2,0.272
3,0.297
4,0.314
5,0.344
6,0.375
7,0.387
8,0.404
9,0.419
10,0.435
11,0.550
12,0.582
13,0.609
14,0.637
15,0.679
16,0.710
17,0.743
18,0.774
19,0.807
20,0.839
21,1.506
22,1.517
23,2.224
24,2.284
25,2.315
26,2.348
27,2.669
28,2.704
29,2.731
30,2.973
31,2.986
32,3.071
33,3.087
34,3.102
35,3.114
36,3.178
37,3.210
38,3.482
39,3.516
40,3.533
41,3.551
42,3.562
43,3.582
44,3.598
45,3.608
46,3.642
47,3.805
48,3.821
49,3.835
50,3.853
51,3.870
52,4.009
53,4.029
54,4.045
55,4.057
56,4.073
57,4.108
58,4.306
59,4.330
60,4.380
61,4.397
62,4.409
63,4.604
64,4.621
65,4.636
66,4.654
67,4.670
68,4.681
69,4.715
70,4.779
71,4.808
72,4.840
73,4.873
74,4.906
75,5.113
76,5.128
77,5.160
78,5.174
79,5.208
80,5.220
81,5.355
82,5.370
83,5.382
84,5.403
85,5.436
86,5.469
87,5.538
88,5.553
89,5.602
90,5.618
91,5.639
92,5.722
93,5.738
94,5.764
95,5.814
96,5.830
97,5.864
98,5.931
99,5.945
100,6.003
101,6.020
102,6.111
103,6.131
104,6.155
105,6.214
106,6.229
107,6.320
108,6.347
109,6.359
110,6.387
111,6.424
112,6.459
113,6.494
114,6.543
115,6.555
116,6.595
117,6.630
118,6.658
119,6.705
120,6.720
121,6.761
122,6.811
123,6.829
124,6.853
125,6.886
126,6.926
127,6.947
128,6.979
129,7.009
130,7.054
131,7.131
132,7.147
133,7.163
134,7.231
135,7.246
136,7.367
137,7.383
138,7.422
139,7.474
140,7.486
141,7.520
142,7.572
143,7.589
144,7.630
145,7.647
146,7.680
147,7.731
148,7.763
149,7.776
150,7.829
151,7.861
152,7.874
153,7.947
154,8.005
155,8.020
156,8.085
157,8.099
158,8.122
159,8.147
160,8.216
161,8.231
162,8.244
163,8.288
164,8.346
165,8.386
166,8.422
167,8.481
168,8.531
169,8.546
170,8.581
171,8.609
172,8.695
173,8.728
174,8.752
175,8.793
176,8.826
177,8.864
178,8.912
179,9.010
180,9.018
181,9.032
182,9.049
183,9.139
184,9.154
185,9.164
186,9.183
187,9.217
188,9.231
189,9.355
190,9.365
191,9.379
192,9.389
193,9.415
194,9.479
195,9.519
196,9.608
197,9.624
198,9.658
199,9.680
200,9.721
201,9.813
202,9.826
203,9.838
204,9.938
205,9.966
206,9.980
207,10.029
208,10.067
209,10.123
210,10.142
211,10.151
212,10.186
213,10.256
214,10.330
215,11.264
216,11.288
217,11.321
218,11.372
219,11.397
220,11.455
221,11.464
222,11.496
223,11.524
224,11.564
225,11.587
226,11.628
227,11.653
228,11.694
229,11.764
230,11.779
231,11.789
