frame_idx,t_rel
0,0.241
1,0.274
2,0.290
3,0.304
4,0.324
5,0.336
6,0.353
7,0.402
8,0.415
9,0.466
10,0.496
11,0.527
12,0.559
13,0.610
14,0.625
15,0.656
16,0.703
17,0.737
18,0.752
19,0.794
20,0.926
21,0.939
22,0.956
23,1.010
24,1.028
25,1.123
26,1.140
27,1.156
28,1.226
29,1.425
30,1.446
31,1.492
32,1.506
33,1.523
34,1.541
35,1.561
36,1.622
37,1.639
38,1.670
39,1.735
40,1.752
41,1.783
42,1.835
43,1.864
44,2.044
45,2.056
46,2.170
47,2.184
48,2.202
49,2.234
50,2.267
51,2.552
52,2.570
53,3.303
54,3.397
55,3.477
56,3.495
57,3.610
58,3.689
59,3.702
60,3.783
61,3.802
62,3.992
63,4.007
64,4.024
65,4.088
66,4.188
67,4.197
68,4.213
69,4.294
70,4.311
71,4.524
72,4.532
73,4.550
74,4.599
75,4.700
76,4.714
77,4.728
78,4.805
79,4.822
80,5.001
81,5.015
82,5.029
83,5.110
84,5.125
85,5.222
86,5.333
87,5.515
88,5.529
89,6.358
90,6.375
91,6.382
92,6.450
93,6.485
94,6.549
95,6.562
96,6.643
97,6.662
98,6.759
99,6.859
100,6.872
101,7.161
102,7.175
103,7.192
104,7.204
105,7.216
106,7.257
107,7.270
108,7.475
109,7.492
110,7.504
111,7.573
112,7.679
113,7.695
114,7.707
115,7.778
116,7.873
117,7.889
118,7.985
119,8.084
120,8.099
121,8.193
122,8.290
123,8.307
124,8.598
125,8.608
126,8.628
127,8.640
128,8.704
129,8.736
130,8.901
131,8.933
132,9.004
133,9.105
134,9.125
135,9.320
136,9.350
137,9.411
138,9.429
139,9.522
140,9.721
141,9.753
142,9.832
143,9.926
144,9.940
145,10.020
146,10.037
147,10.053
148,10.344
149,10.363
150,10.378
151,10.392
152,10.435
153,10.467
154,10.551
155,10.741
156,10.757
157,10.774
158,10.787
159,10.851
160,10.947
161,10.966
162,11.064
163,11.153
164,11.165
165,11.254
166,11.272
167,11.365
168,11.379
169,11.408
170,11.456
171,11.468
172,11.573
173,11.669
174,11.681
175,11.781
176,11.893
177,11.902
178,11.970
179,11.983
180,11.996
181,12.082
182,12.098
183,12.276
184,12.293
185,12.311
186,12.321
187,12.425
188,12.440
189,12.484
190,12.495
191,12.596
192,12.692
193,12.789
194,12.798
195,12.885
196,12.895
197,12.995
198,13.008
199,13.218
200,13.303
201,13.311
202,13.325
203,13.338
204,13.363
205,13.413
206,13.426
207,13.623
208,13.637
209,13.645
210,13.714
211,13.860
212,13.922
213,14.021
214,14.030
215,14.129
216,14.327
217,14.341
218,14.352
219,14.435
220,14.532
221,14.548
222,14.643
223,14.657
224,14.737
225,14.746
226,14.757
227,14.783
228,14.832
229,15.058
230,15.089
231,15.149
232,15.244
233,15.257
234,15.357
235,15.390
236,15.419
237,15.453
238,16.890
239,16.904
240,16.986
241,17.000
242,17.097
243,17.114
244,17.132
245,17.196
246,17.309
247,17.417
248,17.433
249,17.451
250,17.497
251,17.515
252,17.609
253,17.627
254,17.916
255,17.930
256,17.949
257,18.011
258,18.025
259,18.125
260,18.154
261,18.219
262,18.321
263,18.344
264,18.361
265,18.428
266,18.522
267,18.537
268,18.735
269,18.767
270,18.780
271,18.846
272,18.861
273,18.938
274,18.951
275,19.147
276,19.160
277,19.343
278,19.369
279,19.404
280,19.546
281,19.561
282,19.576
283,19.659
284,19.934
285,19.963
286,19.977
287,20.057
288,20.074
289,20.089
290,24.449
291,24.546
292,24.563
293,24.580
294,24.596
295,24.609
296,24.681
297,24.718
298,24.731
299,24.765
300,24.831
301,24.848
302,24.861
303,24.894
304,24.949
305,24.998
306,25.064
307,25.075
308,25.097
309,25.135
310,25.197
311,25.212
312,25.248
313,25.262
314,25.296
315,25.312
316,25.383
317,25.394
318,25.444
319,25.512
320,25.578
321,25.606
322,25.681
323,25.695
324,25.739
325,25.796
326,25.868
327,25.900
328,25.979
329,25.996
330,26.065
331,26.102
332,26.173
333,26.197
334,26.228
335,26.294
336,26.311
337,26.376
338,26.407
339,26.432
340,26.514
341,26.529
342,26.580
343,26.612
344,26.631
345,26.675
346,26.745
347,26.764
348,26.794
349,26.829
350,26.863
351,26.908
352,26.929
353,26.978
354,27.029
355,27.040
356,27.058
357,27.093
358,27.134
359,27.235
360,27.243
361,27.293
362,27.306
363,27.409
364,27.458
365,27.497
366,27.578
367,27.591
368,27.648
369,27.680
370,27.697
371,27.738
372,27.797
373,27.814
374,27.862
375,27.909
376,27.927
377,27.965
378,28.028
379,28.048
380,28.091
381,28.115
382,28.132
383,28.218
384,28.231
385,28.258
386,28.265
387,28.364
388,28.396
389,28.445
390,28.472
391,28.491
392,28.564
393,28.606
394,28.633
395,28.660
396,28.725
397,28.740
398,28.765
399,28.845
400,28.856
401,28.908
402,28.945
403,28.965
404,29.006
405,29.060
406,29.075
407,29.118
408,29.134
409,29.180
410,29.197
411,29.245
412,29.263
413,29.298
414,29.346
415,29.364
416,29.428
417,29.446
418,29.488
419,29.512
420,29.563
421,29.583
422,29.605
423,29.638
424,29.695
425,29.736
426,29.761
427,29.794
428,29.846
429,29.864
430,29.916
431,29.956
432,29.980
433,29.997
434,30.028
435,30.080
436,30.105
437,30.191
438,30.233
439,30.297
440,30.322
441,30.364
442,30.408
443,30.474
444,30.508
445,30.541
446,30.556
447,30.614
448,30.631
449,30.714
450,30.748
451,30.805
452,30.829
453,30.853
454,30.879
455,30.942
456,30.991
457,31.012
458,31.037
459,31.058
460,31.107
461,31.128
462,31.163
463,31.246
464,31.303
465,31.327
466,31.369
467,31.426
468,31.442
469,31.497
470,31.537
471,31.581
472,31.647
473,31.697
474,31.714
475,31.730
476,31.801
477,31.834
478,31.932
479,31.942
480,31.997
481,32.050
482,32.064
483,32.095
484,32.164
485,32.232
486,32.263
487,32.312
488,32.331
489,32.364
490,32.397
491,32.433
492,32.468
493,32.497
494,32.531
495,32.564
496,32.664
497,32.713
498,32.729
499,32.765
500,32.814
501,32.828
502,32.864
503,32.929
504,32.973
505,33.014
506,33.049
507,33.080
508,33.112
509,33.128
510,33.162
511,33.241
512,33.267
513,33.362
514,33.377
515,33.398
516,33.427
517,33.495
518,33.611
519,33.644
520,33.663
521,33.696
522,33.758
523,33.774
524,33.815
525,33.873
526,33.897
527,33.969
528,33.986
529,34.009
530,34.051
531,34.076
532,34.091
533,34.150
534,34.174
535,34.210
536,34.231
537,34.314
538,34.380
539,34.397
540,34.430
541,34.459
542,34.525
543,34.550
544,34.563
545,34.597
546,34.645
547,34.664
548,34.695
549,34.759
550,34.814
551,34.856
552,34.873
553,34.905
554,34.995
555,35.017
556,35.040
557,35.096
558,35.114
559,35.156
560,35.180
561,35.230
562,35.279
563,35.299
564,35.311
565,35.398
566,35.448
567,35.494
568,35.523
569,35.614
570,35.630
571,35.664
572,35.727
573,35.746
574,35.814
575,35.836
576,35.943
577,35.991
578,36.033
579,36.175
580,36.200
581,36.228
582,36.282
583,36.296
584,36.315
585,36.364
586,36.400
587,36.439
588,36.560
589,36.576
590,36.620
591,36.643
592,36.660
593,36.710
594,36.745
595,36.775
596,36.793
597,36.885
598,36.912
599,36.969
600,37.003
601,37.059
602,37.130
603,37.161
604,37.203
605,37.265
606,37.278
607,37.330
608,37.365
609,37.449
610,37.464
611,37.498
612,37.563
613,37.615
614,37.630
615,37.677
616,37.692
617,37.741
618,37.766
619,37.861
620,37.877
621,37.895
622,37.946
623,37.982
624,37.995
625,38.044
626,38.063
627,38.105
628,38.167
629,38.191
630,38.201
631,38.250
632,38.321
633,38.338
634,38.362
635,38.396
636,38.448
637,38.477
638,38.513
639,38.579
640,38.599
641,38.614
642,38.712
643,38.731
644,38.764
645,38.798
646,38.831
647,38.870
648,38.925
649,38.949
650,38.981
651,38.996
652,39.063
653,39.105
654,39.184
655,39.208
656,39.250
657,39.264
658,39.326
659,39.343
660,39.395
661,39.414
662,39.447
663,39.472
664,39.513
665,39.579
666,39.597
667,39.650
668,39.700
669,39.731
670,39.818
671,39.842
672,39.895
673,39.944
674,39.958
675,40.009
676,40.048
677,40.065
678,40.147
679,40.164
680,40.197
681,40.262
682,40.303
683,40.331
684,40.357
685,40.423
686,40.444
687,40.482
688,40.498
689,40.531
690,40.562
691,40.646
692,40.663
693,40.697
694,40.710
695,40.780
696,40.846
697,40.863
698,40.879
699,40.896
700,40.946
701,40.973
702,42.836
703,42.898
704,42.931
705,42.962
706,42.995
707,43.025
708,43.090
709,43.108
710,43.129
711,43.162
712,43.210
713,43.237
714,43.278
715,43.301
716,43.317
717,43.392
718,43.412
719,43.425
720,43.496
721,43.531
722,43.611
723,43.632
724,43.655
725,43.671
726,43.712
727,43.725
728,43.812
729,43.882
730,43.929
731,43.944
732,43.963
733,44.069
734,44.090
735,44.118
736,44.134
737,44.192
738,44.202
739,44.250
740,44.299
741,44.313
742,44.448
743,44.464
744,44.497
745,44.563
746,44.608
747,44.628
748,44.680
749,44.693
750,44.764
751,44.808
752,44.824
753,44.840
754,44.863
755,44.912
756,44.945
757,44.978
758,45.042
759,45.061
760,45.104
761,45.159
762,45.183
763,45.227
764,45.265
765,45.298
766,45.314
767,45.425
768,45.444
769,45.474
770,45.536
771,45.550
772,45.564
773,45.646
774,45.664
775,45.766
776,45.781
777,45.813
778,45.863
779,45.875
780,45.928
781,45.993
782,46.007
783,46.034
784,46.228
785,46.243
786,48.390
787,48.414
788,48.426
789,48.441
790,48.460
791,48.479
792,48.514
793,48.527
794,48.564
795,48.626
796,48.642
797,48.685
798,48.708
799,48.765
800,48.846
801,48.919
802,48.942
803,48.981
804,48.998
805,49.047
806,49.068
807,49.098
808,49.131
809,49.164
810,49.197
811,49.238
812,49.274
813,49.365
814,49.396
815,49.455
816,49.471
817,49.508
818,49.562
819,49.580
820,49.596
821,49.660
822,49.746
823,49.764
824,49.841
825,49.860
826,49.908
827,49.949
828,49.962
829,50.029
830,50.040
831,50.064
832,50.132
833,50.159
834,50.169
835,50.200
836,50.266
837,50.277
838,50.310
839,50.407
840,50.429
841,50.455
842,50.493
843,50.530
844,50.565
845,50.594
846,50.640
847,50.681
848,50.712
849,50.728
850,50.776
851,50.824
852,50.841
853,50.896
854,50.931
855,50.996
856,51.015
857,51.031
858,51.064
859,51.117
860,51.132
861,51.175
862,51.193
863,51.242
864,51.279
865,51.307
866,51.324
867,51.382
868,51.416
869,51.496
870,51.515
871,51.536
872,51.611
873,51.625
874,51.647
875,51.677
876,51.749
877,51.759
878,51.798
879,51.831
880,51.900
881,51.942
882,52.025
883,52.095
884,52.141
885,52.159
886,52.176
887,52.208
888,52.232
889,52.330
890,52.350
891,52.378
892,52.415
893,52.463
894,52.495
895,52.514
896,52.546
897,52.593
898,52.631
899,52.659
900,52.718
901,52.743
902,52.768
903,54.095
904,54.164
905,54.179
906,54.256
907,54.283
908,54.298
909,54.326
910,54.416
911,54.429
912,54.482
913,54.496
914,54.547
915,54.562
916,54.613
917,54.658
918,54.690
919,54.714
920,54.749
921,54.799
922,54.830
923,54.863
924,54.890
925,54.935
926,55.013
927,55.039
928,55.090
929,55.130
930,55.146
931,55.176
932,55.195
933,55.267
934,55.278
935,55.295
936,55.364
937,55.415
938,55.440
939,55.456
940,55.498
941,55.593
942,55.615
943,55.631
944,55.714
945,55.745
946,55.829
947,55.922
948,55.946
949,56.013
950,56.079
951,56.095
952,56.193
953,56.231
954,56.297
955,56.360
956,56.379
957,56.404
958,56.440
959,56.495
960,56.527
961,56.594
962,56.609
963,56.627
964,56.693
965,56.704
966,56.732
967,56.816
968,56.832
969,56.892
970,56.928
971,57.008
972,57.035
973,57.112
974,57.133
975,57.161
976,57.213
977,57.231
978,57.281
979,57.294
980,57.322
981,57.398
982,57.463
983,57.494
984,57.541
985,57.559
986,57.629
987,57.677
988,57.696
989,57.730
990,57.765
991,57.790
992,57.855
993,57.877
994,58.914
995,58.932
996,58.962
997,58.997
998,59.048
999,59.066
1000,59.108
1001,59.147
1002,59.165
1003,59.413
1004,59.428
1005,59.490
1006,59.514
1007,59.557
1008,59.576
1009,59.605
1010,59.633
1011,59.683
1012,59.697
1013,59.730
1014,59.760
1015,59.797
1016,59.867
1017,59.901
1018,59.925
1019,59.983
1020,59.995
1021,60.041
1022,60.092
1023,60.108
1024,60.124
1025,60.226
1026,60.243
1027,60.258
1028,60.299
1029,60.331
1030,60.361
1031,60.396
1032,60.448
1033,60.513
1034,60.553
1035,60.579
1036,60.628
1037,60.693
1038,60.726
1039,60.801
1040,60.826
1041,60.874
1042,60.907
1043,60.929
1044,60.980
1045,61.100
1046,61.147
1047,61.158
1048,61.192
1049,61.213
1050,61.247
1051,61.262
1052,61.339
1053,61.354
1054,61.398
1055,61.415
1056,61.428
1057,61.466
1058,61.492
1059,61.530
1060,61.596
1061,61.638
1062,61.656
1063,61.709
1064,61.736
1065,61.759
1066,61.815
1067,61.832
1068,61.897
1069,61.914
1070,61.930
1071,61.965
1072,62.078
1073,62.097
1074,62.106
1075,62.139
1076,62.160
1077,62.208
1078,62.232
1079,62.281
1080,62.308
1081,62.328
1082,62.371
1083,62.450
1084,62.465
1085,62.512
1086,62.566
1087,62.582
1088,62.607
1089,62.631
1090,62.674
1091,62.742
1092,62.759
1093,62.776
1094,62.808
1095,62.880
1096,62.899
1097,62.984
1098,63.001
1099,63.049
1100,63.065
1101,63.107
1102,63.177
1103,63.205
1104,63.243
1105,63.270
1106,63.295
1107,63.320
1108,63.391
1109,63.412
1110,63.462
1111,63.482
1112,63.497
1113,63.530
1114,63.596
1115,63.710
1116,63.727
1117,63.736
