t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,7,0,-1,66
0.107,0,10,-1.0,7,0,-1,66
0.218,0,10,-1.0,7,0,-1,66
0.331,0,10,-2.0,7,0,-1,66
0.443,0,10,-1.0,7,0,-1,66
0.554,0,10,2.0,7,0,-1,66
0.666,0,10,-2.0,7,0,-1,66
0.774,0,10,3.0,7,0,-1,66
0.885,0,10,3.0,7,0,-1,66
0.988,0,10,4.0,7,0,-1,66
1.100,0,10,4.0,7,0,-1,66
1.204,0,10,2.0,7,0,-1,66
1.316,0,10,2.0,7,0,-1,66
1.421,0,10,1.0,7,0,-1,66
1.532,0,10,3.0,7,0,-1,66
1.635,0,10,4.0,7,0,-1,66
1.746,0,10,0.0,7,0,-1,66
1.858,0,10,1.0,7,0,-1,66
1.971,0,10,1.0,7,0,-1,66
2.083,0,10,1.0,7,0,-1,66
2.196,0,10,1.0,7,0,-1,66
2.308,0,10,0.0,7,0,-1,66
2.420,0,10,0.0,7,0,-1,66
2.531,0,10,0.0,7,0,-1,66
2.642,0,10,3.0,7,0,-1,66
2.754,0,10,3.0,7,0,-1,66
2.864,0,10,3.0,7,0,-1,66
2.976,0,10,0.0,7,0,-1,66
3.088,0,10,2.0,7,0,-1,66
3.201,0,10,-1.0,7,0,-1,66
3.312,0,10,4.0,7,0,-1,66
3.425,0,10,4.0,7,0,-1,66
3.538,0,10,-1.0,7,0,-1,66
3.650,0,10,-1.0,7,0,-1,66
3.763,0,10,0.0,7,0,-1,66
3.873,0,10,-2.0,7,0,-1,66
3.986,0,10,0.0,7,0,-1,66
4.097,0,10,0.0,7,0,-1,66
4.209,0,10,2.0,7,0,-1,66
4.321,0,10,3.0,7,0,-1,66
4.434,0,10,3.0,7,0,-1,66
4.545,0,10,-6.0,7,0,-1,66
4.659,0,10,1.0,7,0,-1,66
4.769,0,10,2.0,7,0,-1,66
4.882,0,10,3.0,7,0,-1,66
4.993,0,10,-2.0,7,0,-1,66
5.106,0,10,-1.0,7,0,-1,66
5.217,0,10,3.0,7,0,-1,66
5.328,0,10,3.0,7,0,-1,66
5.443,0,10,3.0,7,0,-1,66
5.553,0,10,-3.0,7,0,-1,66
5.663,0,10,-3.0,7,0,-1,66
5.773,0,10,-3.0,7,0,-1,66
5.886,0,10,0.0,7,0,-1,66
5.999,0,10,0.0,7,0,-1,66
6.112,0,10,-2.0,7,0,-1,66
6.222,0,10,-2.0,7,0,-1,66
6.335,0,10,-2.0,7,0,-1,66
6.445,0,10,-2.0,7,0,-1,66
6.557,0,10,-2.0,7,0,-1,66
6.670,0,10,2.0,7,0,-1,66
6.784,0,10,4.0,7,0,-1,66
6.896,0,10,3.0,7,0,-1,66
7.010,0,10,3.0,7,0,-1,66
7.122,0,10,3.0,7,0,-1,66
7.232,0,10,-2.0,-31,-5,-3,66
7.345,0,10,-2.0,-31,-5,-3,66
7.456,0,10,1.0,-25,-7,-1,66
7.566,0,10,-5.0,-25,0,-1,66
7.677,0,10,-7.0,-25,0,-1,66
7.789,0,10,-2.0,-25,0,-1,66
7.900,0,10,-1.0,-25,0,-1,66
8.013,0,10,-8.0,-25,0,-1,66
8.124,0,10,-7.0,-25,0,-1,66
8.236,0,10,6.0,-25,0,-1,66
8.347,0,10,-4.0,-25,0,-1,66
8.460,0,10,-4.0,-25,0,-1,66
8.572,0,10,-4.0,-25,0,-1,66
8.684,0,10,-3.0,-25,0,-1,66
8.797,0,10,-3.0,-25,0,-1,66
8.908,0,10,1.0,-25,0,-1,66
9.021,0,10,-5.0,-25,0,-1,66
9.132,0,10,-3.0,-25,0,-1,66
9.247,0,10,-3.0,-25,0,-1,66
9.357,0,10,-1.0,-25,0,-1,66
9.469,0,10,2.0,-25,0,-1,66
9.583,0,10,-3.0,-25,0,-1,66
9.694,0,10,-3.0,-25,0,-1,66
9.807,0,10,0.0,-25,0,-1,66
9.920,0,10,2.0,-25,0,-1,66
10.030,0,10,-2.0,-27,0,-1,66
10.145,0,10,-2.0,-27,0,-1,66
10.257,0,10,-2.0,-27,0,-1,66
10.367,0,10,-1.0,-41,0,-1,66
10.478,0,10,-3.0,-34,0,-1,66
10.592,0,10,1.0,-34,0,-1,66
10.703,0,10,1.0,-34,0,-1,66
10.814,0,10,1.0,-34,0,-1,66
10.926,0,10,0.0,-34,0,-1,66
11.037,0,10,-3.0,-34,0,-1,66
11.149,0,10,-3.0,-34,0,-1,66
11.259,0,10,-2.0,-34,0,-1,66
11.371,0,10,-2.0,-34,0,-1,66
11.484,0,10,-4.0,-34,0,-1,66
11.596,0,10,-2.0,-34,0,-1,66
11.708,0,10,1.0,-34,0,-1,66
11.821,0,10,-3.0,-34,0,-1,66
11.933,0,10,-3.0,-34,0,-1,66
12.044,0,10,-1.0,-34,0,-1,66
12.157,0,10,-4.0,-34,0,-1,66
12.269,0,10,-3.0,-34,0,-1,66
12.373,0,10,-8.0,-34,0,-1,66
12.484,0,10,0.0,-34,0,-1,66
12.589,0,10,-4.0,-34,0,-1,66
12.701,0,10,-5.0,-34,0,-1,66
12.813,0,10,-3.0,-34,0,-1,66
12.926,0,10,-6.0,-34,0,-1,66
13.038,0,10,-1.0,-34,0,-1,66
13.149,0,10,-1.0,-34,0,-1,66
13.262,0,10,-1.0,-34,0,-1,66
13.373,0,10,-7.0,-34,0,-1,66
13.487,0,10,-3.0,-34,0,-1,66
13.599,0,10,-3.0,-34,0,-1,66
13.709,0,10,-9.0,-34,0,-1,66
