frame_idx,t_rel
0,0.969
1,1.144
2,1.195
3,1.226
4,1.258
5,1.305
6,1.369
7,1.419
8,1.465
9,1.508
10,1.554
11,1.587
12,1.637
13,1.671
14,1.721
15,1.770
16,1.813
17,1.858
18,1.886
19,1.944
20,1.988
21,2.020
22,2.070
23,2.120
24,2.170
25,2.218
26,2.254
27,2.303
28,2.351
29,2.382
30,2.429
31,2.479
32,2.524
33,2.558
34,2.604
35,2.651
36,2.699
37,2.744
38,2.789
39,2.831
40,2.876
41,2.923
42,2.971
43,3.019
44,3.051
45,3.085
46,3.131
47,3.178
48,3.225
49,3.275
50,3.322
51,3.367
52,3.413
53,3.452
54,3.494
55,3.525
56,3.573
57,3.605
58,3.653
59,3.686
60,3.742
61,3.786
62,3.828
63,3.876
64,3.908
65,3.955
66,4.003
67,4.050
68,4.082
69,4.130
70,4.178
71,4.209
72,4.257
73,4.305
74,4.337
75,4.385
76,4.433
77,4.479
78,4.513
79,4.563
80,4.596
81,4.652
82,4.688
83,4.743
84,4.784
85,4.833
86,4.879
87,4.910
88,4.973
89,5.017
90,5.052
91,5.104
92,5.148
93,5.197
94,5.227
95,5.275
96,5.306
97,5.354
98,5.393
99,5.441
100,5.489
101,5.530
102,5.560
103,5.620
104,5.667
105,5.709
106,5.754
107,5.798
108,5.836
109,10.340
110,10.372
111,10.390
112,10.474
113,10.488
114,10.565
115,10.582
116,10.596
117,10.677
118,10.692
119,10.771
120,10.792
121,10.803
122,10.900
123,10.978
124,10.995
125,11.077
126,11.093
127,11.187
128,11.203
129,11.288
130,11.297
131,11.314
132,11.396
133,11.491
134,11.507
135,11.592
136,11.603
137,11.700
138,11.802
139,11.814
140,11.909
141,12.007
142,12.022
143,13.588
144,13.630
145,13.649
146,13.664
147,13.761
148,13.776
149,13.872
150,13.888
151,13.964
152,14.060
153,14.158
154,14.170
155,14.252
156,14.268
157,14.364
158,14.379
159,14.464
160,14.480
161,14.716
162,14.767
163,14.782
164,14.877
165,14.909
166,14.974
167,14.988
168,15.072
169,15.090
170,15.180
171,15.211
172,15.288
173,15.305
174,15.378
175,15.395
176,15.420
177,15.486
178,15.513
179,15.585
180,15.611
181,15.698
182,15.709
183,15.794
184,15.804
185,15.828
186,15.903
187,15.918
188,15.927
189,16.007
190,16.023
191,16.111
192,16.125
193,16.225
194,16.320
195,16.335
196,16.355
197,16.428
198,16.442
199,16.455
200,16.544
201,16.560
202,16.577
203,16.641
204,16.661
205,16.752
206,16.775
207,16.856
208,16.880
209,16.971
210,16.990
211,17.015
212,17.082
213,17.104
214,17.171
215,17.199
216,17.221
217,17.294
218,17.310
219,17.391
220,17.410
221,17.501
222,17.524
223,17.605
224,17.625
225,17.643
226,17.721
227,17.734
228,17.829
229,17.845
230,17.942
231,17.953
232,18.044
233,18.057
234,18.074
235,18.161
236,18.178
237,18.259
238,18.284
239,18.348
240,18.372
241,18.454
242,18.475
243,18.565
244,18.579
245,18.660
246,18.685
247,18.756
248,18.775
249,18.868
250,18.883
251,18.988
252,18.995
253,19.074
254,19.103
255,19.194
256,19.213
257,19.229
258,19.328
259,19.408
260,19.429
261,19.509
