t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,0,0,100
0.102,0,10,3.0,0,0,0,100
0.205,0,10,3.0,0,0,0,100
0.316,0,10,-1.0,0,0,0,100
0.426,0,10,-2.0,0,0,0,100
0.536,0,10,0.0,0,0,0,100
0.645,0,10,6.0,0,0,0,100
0.757,0,10,4.0,0,0,0,100
0.862,0,10,-3.0,0,0,0,100
0.966,0,10,-3.0,0,0,0,100
1.067,0,10,1.0,0,0,0,100
1.179,0,10,-3.0,0,0,0,100
1.292,0,10,1.0,0,0,0,100
1.401,0,10,-3.0,0,0,0,100
1.502,0,10,0.0,0,0,0,100
1.614,0,10,6.0,0,0,0,100
1.721,0,10,7.0,0,0,0,100
1.828,0,10,2.0,0,0,0,100
1.932,0,10,1.0,0,0,0,100
2.038,0,10,2.0,0,0,0,100
2.146,0,10,1.0,0,0,0,100
2.250,0,10,0.0,0,0,0,100
2.350,0,10,2.0,0,0,0,100
2.461,0,10,0.0,0,0,0,100
2.572,0,10,1.0,0,0,0,100
2.683,0,10,4.0,0,0,0,100
2.796,0,10,0.0,0,0,0,100
2.907,0,10,1.0,0,0,0,100
3.019,0,10,3.0,0,0,0,100
3.131,0,10,3.0,0,0,0,100
3.241,0,10,-1.0,0,0,0,100
3.351,0,10,-1.0,0,0,0,100
3.465,0,10,1.0,0,0,0,100
3.573,0,10,1.0,0,0,0,100
3.686,0,10,7.0,0,0,0,100
3.797,0,10,4.0,0,0,0,100
3.908,0,10,4.0,0,0,0,100
4.019,0,10,3.0,0,0,0,100
4.130,0,10,5.0,0,0,0,100
4.241,0,10,3.0,0,0,0,100
4.353,0,10,-1.0,0,0,0,100
4.465,0,10,-1.0,0,0,0,100
4.577,0,10,0.0,0,0,0,100
4.688,0,10,3.0,0,0,0,100
4.800,0,10,5.0,0,0,0,100
4.910,0,10,1.0,0,0,0,100
5.021,0,10,2.0,0,0,0,100
5.132,0,10,0.0,0,0,0,100
5.243,0,10,6.0,0,0,0,100
5.354,0,10,7.0,0,0,0,100
5.464,0,10,10.0,0,0,0,100
5.576,0,10,2.0,0,0,0,100
5.689,0,10,2.0,0,0,0,100
5.798,0,10,1.0,0,0,0,100
5.913,0,10,7.0,0,0,0,100
6.025,0,10,5.0,0,0,0,100
6.136,0,10,1.0,0,0,0,100
6.248,0,10,4.0,0,0,0,100
6.359,0,10,4.0,0,0,0,100
6.471,0,10,3.0,0,0,0,100
6.582,0,10,0.0,0,0,0,100
6.694,0,10,6.0,0,0,0,100
6.806,0,10,5.0,0,0,0,100
6.919,0,10,6.0,0,0,0,100
7.030,0,10,8.0,0,0,0,100
7.143,0,10,7.0,0,0,0,100
7.254,0,10,4.0,0,0,0,100
7.365,0,10,3.0,0,0,0,100
7.477,0,10,8.0,0,0,0,100
7.589,0,10,6.0,0,0,0,100
7.701,0,10,2.0,0,0,0,100
7.813,0,10,2.0,0,0,0,100
7.925,0,10,4.0,0,0,0,100
8.037,0,10,4.0,0,0,0,100
8.149,0,10,4.0,0,0,0,100
8.260,0,10,4.0,0,0,0,100
8.373,0,10,8.0,0,0,0,100
8.484,0,10,4.0,0,0,0,100
8.596,0,10,5.0,0,0,0,100
8.707,0,10,5.0,0,0,0,100
8.819,0,10,3.0,0,0,0,100
8.931,0,10,11.0,0,0,0,100
9.043,0,10,8.0,0,0,0,100
9.154,0,10,11.0,0,0,0,100
9.265,0,10,6.0,0,0,0,100
9.377,0,10,4.0,0,0,0,100
9.489,0,10,4.0,0,0,0,100
9.600,0,10,8.0,0,0,0,100
9.713,0,10,10.0,0,0,0,100
9.826,0,10,6.0,0,0,0,100
9.936,0,10,6.0,0,0,0,100
10.049,0,10,4.0,0,0,0,100
10.161,0,10,8.0,0,0,0,100
10.272,0,10,5.0,0,0,0,100
10.383,0,10,6.0,0,0,0,100
10.495,0,10,3.0,0,0,0,100
10.608,0,10,8.0,0,0,0,100
10.719,0,10,6.0,0,0,0,100
10.831,0,10,6.0,0,0,0,100
10.942,0,10,6.0,0,0,0,100
11.054,0,10,6.0,0,0,0,100
11.166,0,10,12.0,0,0,0,100
11.278,0,10,12.0,0,0,0,100
11.390,0,10,9.0,0,0,0,100
11.503,0,10,10.0,0,0,0,100
11.615,0,10,13.0,0,0,0,100
11.727,0,10,11.0,0,0,0,100
11.840,0,10,13.0,0,0,0,100
11.952,0,10,11.0,0,0,0,100
12.064,0,10,10.0,0,0,0,100
12.176,0,10,8.0,0,0,0,100
12.288,0,10,11.0,0,0,0,100
12.399,0,10,7.0,0,0,0,100
12.509,0,10,4.0,0,0,0,100
12.621,0,10,8.0,0,0,0,100
12.733,0,10,8.0,0,0,0,100
12.845,0,10,8.0,0,0,0,100
12.957,0,10,9.0,0,0,0,100
13.068,0,10,11.0,0,0,0,100
13.179,0,10,11.0,0,0,0,100
13.291,0,10,6.0,0,0,0,100
13.402,0,10,16.0,0,0,0,100
13.514,0,10,6.0,0,0,0,100
13.625,0,10,11.0,0,0,0,100
13.737,0,10,15.0,0,0,0,100
13.848,0,10,9.0,0,0,0,100
13.960,0,10,10.0,0,0,0,100
14.071,0,10,15.0,0,0,0,100
14.183,0,10,15.0,0,0,0,100
14.294,0,10,11.0,0,0,0,100
14.407,0,10,11.0,0,0,0,100
14.519,0,10,12.0,0,0,0,100
14.631,0,10,14.0,0,0,0,100
14.743,0,10,10.0,0,0,0,100
14.853,0,10,10.0,0,0,0,100
14.967,0,10,13.0,0,0,0,100
15.083,0,10,10.0,0,0,0,100
15.203,0,10,9.0,0,0,0,100
15.315,0,10,9.0,0,0,0,100
15.429,0,10,9.0,0,0,0,100
15.534,0,10,9.0,0,0,0,100
15.636,0,10,9.0,0,0,0,100
15.738,0,10,9.0,0,0,0,100
15.845,0,10,9.0,0,0,0,100
15.950,0,14,53.0,0,1,1,100
16.055,0,23,67.0,0,1,1,100
16.164,10,41,88.0,0,1,1,100
16.267,10,41,88.0,0,1,1,100
16.372,20,58,96.0,0,0,2,100
16.479,30,65,109.0,0,0,2,100
16.586,30,70,109.0,0,0,0,100
16.703,30,70,109.0,0,0,0,100
16.816,30,70,109.0,0,0,0,100
16.920,40,85,125.0,0,0,1,100
17.022,40,85,125.0,0,0,1,100
17.133,40,92,132.0,0,0,1,100
17.236,40,95,135.0,0,0,1,100
17.345,50,98,127.0,0,0,1,100
17.453,50,98,133.0,-1,0,1,100
17.564,50,101,135.0,-1,0,1,100
17.677,50,103,134.0,-1,0,1,100
17.787,50,103,135.0,0,0,1,100
17.891,50,103,136.0,0,0,1,100
18.000,50,100,133.0,0,1,1,100
18.112,50,100,131.0,0,1,1,100
