t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,0,0,56
0.108,0,10,0.0,0,0,0,56
0.220,0,10,3.0,0,0,0,56
0.332,0,10,3.0,0,0,0,56
0.446,0,10,1.0,0,0,0,56
0.559,0,10,1.0,0,0,0,56
0.671,0,10,0.0,0,0,0,56
0.787,0,10,3.0,0,0,0,56
0.896,0,10,1.0,0,0,0,56
1.001,0,10,2.0,0,0,0,56
1.105,0,10,2.0,0,0,0,56
1.215,0,10,3.0,0,0,0,56
1.319,0,10,3.0,0,0,0,56
1.431,0,10,-1.0,0,0,0,56
1.535,0,10,6.0,0,0,0,56
1.651,0,10,0.0,0,0,0,56
1.761,0,10,3.0,0,0,0,56
1.873,0,10,5.0,0,0,0,56
1.984,0,10,3.0,0,0,0,56
2.095,0,10,8.0,0,0,0,56
2.206,0,10,-2.0,0,0,0,56
2.318,0,10,8.0,0,0,0,56
2.429,0,10,12.0,0,0,0,56
2.541,0,10,3.0,0,0,0,56
2.642,0,10,4.0,0,0,0,56
2.755,0,10,8.0,0,0,0,56
2.865,0,10,2.0,0,0,0,56
2.978,0,10,2.0,0,0,0,56
3.090,0,10,3.0,0,0,0,56
3.203,0,10,6.0,0,0,0,56
3.314,0,10,2.0,0,0,0,56
3.426,0,10,6.0,0,0,0,56
3.541,0,10,6.0,0,0,0,56
3.651,0,10,6.0,0,0,0,56
3.763,0,10,4.0,0,0,0,56
3.872,0,10,5.0,0,0,0,56
3.984,0,10,5.0,0,0,0,56
4.096,0,10,14.0,0,0,0,56
4.207,0,10,6.0,0,0,0,56
4.319,0,10,7.0,0,0,0,56
4.430,0,10,8.0,0,0,0,56
4.544,0,10,3.0,0,0,0,56
4.656,0,10,6.0,0,0,0,56
4.771,0,10,6.0,0,0,0,56
4.881,0,10,6.0,0,0,0,56
4.984,0,10,10.0,0,0,0,55
5.094,0,10,7.0,0,0,0,55
5.201,0,10,7.0,0,0,0,55
5.311,0,10,4.0,0,0,0,55
5.422,0,10,6.0,0,0,0,55
5.532,0,10,10.0,0,0,0,55
5.637,0,10,4.0,0,0,0,55
5.741,0,10,4.0,0,0,0,55
5.855,0,10,5.0,0,0,0,55
5.960,0,10,14.0,0,0,0,55
6.067,0,10,6.0,0,0,0,55
6.176,0,10,6.0,0,0,0,55
6.287,0,10,10.0,0,0,0,55
6.394,0,10,4.0,0,0,0,55
6.504,0,10,4.0,0,0,0,55
6.616,0,10,5.0,0,0,0,55
6.727,0,10,2.0,0,0,0,55
6.838,0,10,2.0,0,0,0,55
6.942,0,10,2.0,0,0,0,55
7.052,0,10,7.0,0,0,0,55
7.165,0,10,13.0,0,0,0,55
7.270,0,10,0.0,0,0,0,55
7.374,0,10,-1.0,0,0,0,55
7.486,0,10,4.0,0,0,0,55
7.597,0,10,10.0,0,0,0,55
7.709,0,10,10.0,0,0,0,55
7.820,0,10,8.0,0,0,0,55
7.931,0,10,6.0,0,0,0,55
8.044,0,10,6.0,0,0,0,55
8.154,0,10,7.0,0,0,0,55
8.266,0,10,5.0,0,0,0,55
8.377,0,10,5.0,0,0,0,55
8.492,0,10,5.0,0,0,0,55
8.601,0,10,4.0,0,0,0,55
8.713,0,10,11.0,0,0,0,55
8.824,0,10,12.0,0,0,0,55
8.936,0,10,9.0,0,0,0,55
9.048,0,10,7.0,0,0,0,55
9.160,0,10,11.0,0,0,0,55
9.273,0,10,9.0,0,0,0,55
9.383,0,10,8.0,0,0,0,55
9.495,0,10,7.0,0,0,0,55
9.608,0,10,2.0,0,0,0,55
9.718,0,10,7.0,0,0,0,55
9.830,0,10,8.0,0,0,0,55
9.943,0,10,5.0,0,0,0,55
10.054,0,10,12.0,0,0,0,55
10.166,0,10,5.0,0,0,0,55
10.279,0,10,12.0,0,0,0,55
10.391,0,10,9.0,0,0,0,55
10.501,0,10,16.0,0,0,0,55
10.612,0,10,11.0,0,0,0,55
10.723,0,10,11.0,0,0,0,55
10.835,0,10,5.0,0,0,0,55
10.946,0,10,11.0,0,0,0,55
11.058,0,10,2.0,0,0,0,55
11.171,0,10,15.0,0,0,0,55
11.275,0,10,8.0,0,0,0,55
11.386,0,10,7.0,0,0,0,55
11.497,0,10,10.0,0,0,0,55
11.608,0,10,4.0,0,0,0,55
11.720,0,10,12.0,0,0,0,55
11.832,0,10,7.0,0,0,0,55
11.943,0,10,7.0,0,0,0,55
12.055,0,10,10.0,0,0,0,55
12.166,0,10,5.0,0,0,0,55
12.277,0,10,7.0,0,0,0,55
12.388,0,10,8.0,0,0,0,55
12.499,0,10,13.0,0,0,0,55
12.610,0,10,13.0,0,0,0,55
12.722,0,10,5.0,0,0,0,55
12.834,0,10,8.0,0,0,0,55
12.943,0,10,9.0,0,0,0,55
13.056,0,10,18.0,0,0,0,55
13.166,0,10,6.0,0,0,0,55
13.277,0,10,7.0,0,0,0,55
13.390,0,10,9.0,0,0,0,55
13.499,0,10,3.0,0,0,0,55
13.609,0,10,7.0,0,0,0,55
13.720,0,10,12.0,0,0,0,55
13.826,0,10,3.0,0,0,0,55
13.938,0,10,13.0,0,0,0,55
14.050,0,10,13.0,0,0,0,55
14.162,0,10,14.0,0,0,0,55
14.275,0,10,14.0,0,0,0,55
14.386,0,10,9.0,0,0,0,55
14.498,0,10,3.0,0,0,0,55
14.610,0,10,8.0,0,0,0,55
14.722,0,10,8.0,0,0,0,54
14.833,0,10,8.0,0,0,0,54
14.944,0,10,8.0,0,0,0,54
15.056,0,10,17.0,0,0,0,54
15.168,0,10,14.0,0,0,0,54
15.279,0,10,7.0,0,0,0,54
15.388,0,10,10.0,0,0,0,54
15.489,0,10,8.0,0,0,0,54
15.599,0,10,6.0,0,0,0,54
15.712,0,10,12.0,0,0,0,54
15.816,0,10,6.0,0,0,0,54
15.923,0,10,8.0,0,0,0,54
16.034,0,10,11.0,0,0,0,54
16.136,0,10,9.0,0,0,0,54
16.249,0,10,8.0,0,0,0,54
16.351,0,10,7.0,0,0,0,54
16.456,0,10,7.0,0,0,0,54
16.571,0,10,12.0,0,0,0,54
16.679,0,10,8.0,0,0,0,54
16.781,0,10,12.0,0,0,0,54
16.882,0,10,12.0,0,0,0,54
16.983,0,10,12.0,0,0,0,54
17.089,0,10,8.0,0,0,0,54
17.195,0,10,9.0,0,0,0,54
17.306,0,10,10.0,0,0,0,54
17.418,0,10,4.0,0,0,0,54
17.529,0,10,4.0,0,0,0,54
17.642,0,10,4.0,0,0,0,54
17.753,0,10,9.0,0,0,0,54
17.865,0,10,10.0,0,0,0,54
17.978,0,10,9.0,0,0,0,54
18.090,0,10,9.0,0,0,0,54
18.199,0,10,11.0,0,0,0,54
18.313,0,10,11.0,0,0,0,54
18.420,0,10,13.0,0,0,0,54
18.522,0,10,12.0,0,0,0,54
18.634,0,10,12.0,0,0,0,54
18.746,0,10,12.0,0,0,0,54
18.858,0,10,12.0,0,0,0,54
18.969,0,10,12.0,0,0,0,54
19.081,0,10,12.0,0,0,-1,54
19.185,0,10,12.0,0,-1,0,54
19.288,0,10,12.0,0,-1,0,54
19.400,0,14,37.0,0,2,1,54
19.504,10,22,58.0,0,3,0,54
19.616,10,28,72.0,0,2,1,54
19.719,20,36,71.0,0,1,1,54
19.832,20,36,71.0,0,1,1,54
19.944,30,50,84.0,0,1,0,54
20.057,30,55,88.0,0,0,0,54
20.168,40,65,95.0,0,0,0,54
20.279,40,69,94.0,0,0,0,54
20.390,50,72,102.0,0,0,0,54
20.502,50,72,102.0,0,0,0,54
20.616,50,72,102.0,0,0,0,54
20.728,50,72,102.0,0,0,0,54
20.840,50,72,102.0,0,0,0,54
20.952,60,84,115.0,0,1,-1,53
21.065,60,84,115.0,0,1,-1,53
21.177,60,86,123.0,0,1,0,53
21.289,60,86,118.0,0,1,0,53
21.400,70,87,124.0,0,1,0,53
21.513,70,87,123.0,0,1,0,53
21.625,70,87,117.0,0,1,0,53
21.737,70,87,117.0,0,1,0,53
21.849,70,87,122.0,0,1,0,53
21.961,70,86,113.0,0,1,0,53
22.074,70,87,116.0,0,0,0,53
22.186,70,85,114.0,0,0,0,53
22.298,70,85,111.0,0,1,0,53
22.411,70,85,111.0,0,1,0,53
22.523,60,83,112.0,0,0,0,53
22.635,60,82,113.0,0,0,0,53
22.748,60,81,115.0,0,0,0,53
22.860,60,82,119.0,-1,0,0,53
22.973,60,81,115.0,0,0,0,53
23.085,60,81,115.0,0,0,1,53
23.196,60,80,108.0,0,0,1,53
23.308,60,81,110.0,0,0,1,53
23.419,60,80,115.0,0,0,1,53
23.532,60,81,110.0,0,0,0,53
23.643,60,80,116.0,0,0,0,53
23.748,60,80,119.0,0,0,0,52
23.861,60,80,114.0,0,0,0,52
23.972,60,80,111.0,0,0,1,52
24.084,60,81,112.0,0,0,1,52
24.195,60,80,121.0,0,0,1,52
24.307,60,80,121.0,0,0,1,52
24.419,60,80,110.0,0,0,1,52
24.535,60,80,110.0,0,0,1,52
24.638,60,80,112.0,0,0,0,52
24.745,60,81,111.0,0,0,0,52
24.848,60,81,114.0,0,1,0,52
24.955,60,82,114.0,0,0,0,52
25.063,60,82,115.0,0,0,0,52
25.170,60,82,115.0,0,0,0,52
25.283,60,81,116.0,0,0,0,52
25.387,60,81,112.0,0,0,0,52
25.489,60,82,118.0,0,0,0,52
25.602,60,82,114.0,0,0,0,52
25.716,60,84,113.0,0,0,0,51
25.823,60,82,116.0,0,0,0,51
25.938,60,84,113.0,0,0,0,51
26.054,60,84,113.0,0,0,0,51
26.155,60,83,110.0,0,0,0,51
26.272,60,82,115.0,0,0,0,51
26.383,60,84,120.0,0,0,0,51
26.489,60,82,121.0,0,0,0,51
26.603,60,84,120.0,0,0,0,51
26.705,60,83,113.0,0,0,0,51
26.816,60,83,116.0,0,1,0,51
26.922,60,83,118.0,0,0,0,51
27.031,60,83,114.0,0,0,0,51
27.137,60,82,107.0,0,0,0,51
27.240,60,84,119.0,0,0,0,51
27.355,60,84,119.0,0,0,0,51
27.470,60,85,121.0,0,0,0,51
27.573,70,85,123.0,0,0,0,51
27.678,70,87,118.0,0,0,0,51
27.787,70,90,123.0,0,0,0,50
27.893,70,92,125.0,0,0,0,50
27.996,70,95,126.0,0,0,0,50
28.105,80,98,136.0,0,0,0,50
28.219,80,101,130.0,0,0,0,50
28.322,80,105,138.0,0,0,0,50
28.431,90,110,144.0,0,0,0,50
28.538,90,114,138.0,0,0,0,50
28.653,100,117,140.0,0,0,0,50
28.755,100,121,138.0,0,0,0,50
28.862,100,124,145.0,0,0,0,50
28.971,110,128,151.0,0,0,0,50
29.073,110,130,155.0,0,0,0,50
29.188,110,133,155.0,0,0,0,50
29.302,110,137,165.0,0,0,0,50
29.411,120,140,156.0,0,0,0,50
29.519,120,146,170.0,0,0,0,50
29.622,130,150,171.0,0,0,0,49
29.730,130,153,172.0,0,0,0,49
29.834,130,156,171.0,0,0,0,49
29.936,140,160,180.0,0,-1,0,49
30.049,140,160,170.0,0,-1,0,49
30.157,140,167,168.0,0,0,0,49
30.263,150,167,174.0,0,-1,0,49
30.368,150,172,174.0,0,-1,0,49
30.470,150,172,186.0,0,-1,0,49
30.572,150,172,186.0,0,-1,0,49
30.686,160,181,193.0,0,-1,0,49
30.793,160,184,196.0,0,-1,0,49
30.896,160,187,189.0,0,-1,0,49
31.001,170,189,192.0,0,-1,0,49
31.109,170,196,190.0,0,-1,0,49
31.212,170,189,192.0,0,-1,0,49
31.312,180,200,191.0,0,-1,0,49
31.415,180,200,197.0,0,-1,0,49
31.521,180,205,207.0,0,-1,0,49
31.636,190,206,210.0,0,-1,-1,49
31.744,190,211,209.0,0,-1,-1,48
31.845,190,211,209.0,0,-1,-1,48
31.955,200,219,214.0,0,-1,0,48
32.063,200,218,217.0,0,-1,-1,48
32.179,200,221,216.0,0,-1,-1,48
32.285,200,224,211.0,0,-2,-1,48
32.389,210,227,216.0,0,-2,-1,48
32.494,210,224,215.0,0,-2,-1,48
32.594,210,224,216.0,0,-2,-1,48
32.700,210,234,210.0,0,-2,-1,48
32.809,210,227,217.0,0,-2,-1,48
32.920,210,230,218.0,0,-2,-1,48
33.039,210,221,218.0,0,-2,-1,48
33.145,210,225,221.0,0,-2,0,48
33.251,210,219,213.0,0,-2,-1,48
33.366,210,218,214.0,0,-2,-1,48
33.468,210,217,226.0,0,-2,-1,48
33.583,200,215,211.0,0,-2,-1,48
33.699,200,218,212.0,0,-2,0,47
33.805,200,218,214.0,0,-2,0,47
33.914,200,213,220.0,0,-2,0,47
34.026,200,216,221.0,0,-2,0,47
34.130,200,213,223.0,0,-1,0,47
34.238,200,216,220.0,0,-1,0,47
34.353,200,225,227.0,0,-1,0,47
34.458,200,225,227.0,0,-1,0,47
34.561,200,225,216.0,0,-1,-1,47
34.671,200,226,216.0,0,-1,-1,47
34.777,210,231,219.0,0,-1,-1,47
34.883,210,231,224.0,0,-1,-1,47
34.988,210,228,224.0,0,-1,-1,47
35.089,210,232,221.0,0,-2,-1,47
35.201,210,234,217.0,0,-2,-1,47
35.302,210,227,227.0,0,-2,-1,47
35.403,210,233,218.0,0,-2,-1,47
35.504,210,232,226.0,0,-2,-1,47
35.617,210,235,218.0,0,-2,-1,47
35.720,210,236,221.0,0,-3,-1,46
35.831,210,238,224.0,0,-2,-1,46
35.935,210,236,232.0,0,-2,-1,46
36.038,220,230,226.0,0,-2,-1,46
36.151,220,231,227.0,0,-2,-1,46
36.255,210,237,232.0,0,-2,-1,46
36.366,210,234,229.0,0,-2,0,46
36.471,220,234,228.0,0,-1,0,46
36.583,210,232,226.0,0,-2,-1,46
36.686,210,235,225.0,0,-2,-1,46
36.789,210,229,222.0,0,-2,-1,46
36.897,210,237,218.0,-1,-1,0,46
37.002,210,234,203.0,-1,-1,-1,46
37.116,210,230,201.0,-1,-1,-1,46
37.218,210,223,205.0,-1,-1,0,46
37.324,210,233,209.0,-1,-1,0,46
37.425,210,231,208.0,-1,-1,0,46
37.537,210,231,211.0,-1,-2,1,46
37.646,210,232,208.0,0,-1,1,46
37.755,210,232,207.0,0,-1,1,45
37.867,210,228,203.0,0,-1,1,45
37.974,210,223,194.0,0,-1,1,45
38.088,200,225,203.0,0,-1,1,45
38.205,200,215,201.0,0,-1,1,45
38.315,190,206,189.0,0,-1,1,45
38.418,180,195,195.0,0,-1,1,45
38.519,170,187,188.0,0,-1,1,45
38.633,150,159,165.0,0,-2,2,45
38.738,140,149,152.0,0,-2,2,45
38.844,130,136,141.0,0,-2,1,45
38.948,110,125,134.0,0,-2,0,45
39.059,100,115,140.0,0,-1,1,45
39.171,90,103,129.0,0,-1,0,45
39.287,80,95,115.0,0,-1,0,45
39.390,70,85,110.0,0,-1,0,45
39.494,50,72,109.0,0,0,0,45
39.598,50,72,109.0,0,0,0,45
39.714,50,68,103.0,0,0,0,45
39.814,40,64,98.0,0,0,0,44
39.918,30,58,91.0,0,0,0,44
40.021,30,56,90.0,-1,0,0,44
40.125,30,53,88.0,-1,0,0,44
40.239,30,51,89.0,-1,0,0,44
40.349,20,49,82.0,0,0,0,44
40.456,20,46,93.0,0,0,0,44
40.561,20,44,85.0,0,0,0,44
40.673,20,40,76.0,0,0,0,44
40.784,10,38,75.0,0,0,0,44
40.889,10,32,72.0,0,0,0,44
40.991,10,29,66.0,0,0,0,44
41.102,0,26,61.0,0,0,0,44
41.204,0,23,74.0,0,0,0,44
41.317,0,19,63.0,0,0,0,44
41.421,0,15,46.0,0,0,0,44
41.529,0,16,42.0,0,0,0,44
41.632,0,11,0.0,0,0,0,44
41.739,-10,10,-38.0,0,0,0,43
41.853,-10,10,-124.0,0,0,0,43
41.955,-10,10,-187.0,0,0,0,43
42.070,-20,10,-280.0,0,0,0,43
42.185,-20,10,-271.0,0,0,0,43
42.289,-20,10,-217.0,0,0,0,43
42.392,-20,10,-251.0,0,0,0,43
42.502,-20,10,-227.0,0,0,0,43
42.604,-20,10,-190.0,0,0,0,43
42.708,-20,10,-129.0,0,0,0,43
42.821,-20,10,-102.0,0,0,0,43
42.935,-20,10,-72.0,0,0,0,43
43.047,-30,10,-61.0,0,0,0,43
43.150,-30,10,-50.0,0,0,0,43
43.254,-30,10,-50.0,0,0,0,43
43.370,-30,10,-35.0,0,0,0,43
43.486,-20,10,-20.0,0,0,0,43
43.589,0,10,-21.0,0,0,0,43
43.695,0,10,11.0,0,0,0,42
43.800,0,10,2.0,0,0,0,42
43.906,0,10,19.0,0,0,0,42
44.012,0,10,12.0,0,0,0,42
44.118,0,10,14.0,0,0,0,42
44.222,0,10,26.0,0,0,0,42
44.338,0,10,26.0,0,0,0,42
44.440,0,10,23.0,0,0,0,42
44.552,0,10,23.0,0,0,0,42
44.654,0,10,23.0,0,0,0,42
44.767,0,10,22.0,0,0,0,42
44.871,0,10,24.0,0,0,0,42
44.972,0,10,24.0,0,0,0,42
45.084,0,10,19.0,0,0,0,42
45.198,0,10,19.0,0,0,0,42
45.305,0,10,23.0,0,0,0,42
45.409,0,10,25.0,0,0,0,42
45.514,0,10,20.0,0,0,0,42
45.615,0,10,23.0,0,0,0,42
45.719,0,10,23.0,0,0,0,42
45.833,0,10,21.0,0,0,0,41
45.939,0,10,21.0,0,0,0,41
46.046,0,10,19.0,0,0,0,41
46.151,0,10,19.0,0,0,0,41
46.256,0,10,23.0,0,0,0,41
46.372,0,10,23.0,0,0,0,41
46.482,0,10,21.0,0,0,0,41
46.591,0,10,18.0,0,0,0,41
46.702,0,10,18.0,0,0,0,41
46.805,0,10,23.0,0,0,0,41
46.920,0,10,24.0,0,0,0,41
47.022,0,10,24.0,0,0,0,41
47.123,0,10,21.0,0,0,0,41
47.236,0,10,21.0,0,0,0,41
47.342,0,10,21.0,0,0,0,41
47.453,0,10,21.0,0,0,0,41
47.561,0,10,18.0,0,0,0,41
47.669,0,10,18.0,0,0,0,41
47.777,0,10,26.0,0,0,0,40
47.884,0,10,26.0,0,0,0,40
47.990,0,10,21.0,0,0,0,40
48.104,0,10,19.0,0,0,0,40
48.212,0,10,23.0,0,0,0,40
48.322,0,10,16.0,0,0,0,40
48.430,0,10,22.0,0,0,0,40
48.535,0,10,22.0,0,0,0,40
48.646,0,10,18.0,0,0,0,40
48.757,0,10,21.0,0,0,0,40
48.872,0,10,20.0,0,0,0,40
48.985,0,10,15.0,0,0,0,40
49.090,0,10,19.0,0,0,0,40
49.206,0,10,18.0,0,0,0,40
49.317,0,10,23.0,0,0,0,40
49.424,0,10,19.0,0,0,0,40
49.526,0,10,18.0,0,0,0,40
49.633,0,10,18.0,0,0,0,40
49.745,0,10,19.0,0,0,0,39
49.846,0,10,22.0,0,0,0,39
49.950,0,10,17.0,0,0,0,39
50.054,0,10,18.0,0,0,0,39
50.155,0,10,22.0,0,0,0,39
50.262,0,10,26.0,0,0,0,39
50.368,0,10,22.0,0,0,0,39
50.479,0,10,18.0,0,0,0,39
50.592,0,10,21.0,0,0,0,39
50.703,0,10,18.0,1,0,0,39
50.814,0,10,21.0,1,0,0,39
50.926,0,10,16.0,1,0,0,39
51.037,0,10,16.0,1,0,0,39
51.150,0,10,18.0,1,0,0,39
51.253,0,10,22.0,1,0,0,39
51.365,0,10,17.0,1,0,0,39
51.486,0,10,13.0,1,0,0,39
51.598,0,10,13.0,1,0,0,39
51.702,0,10,15.0,1,0,0,38
51.815,0,10,21.0,1,0,0,38
51.927,0,10,21.0,1,0,0,38
52.038,0,10,16.0,1,0,0,38
52.150,0,10,19.0,1,0,0,38
52.261,0,10,19.0,1,0,0,38
52.373,0,10,13.0,1,0,0,38
52.484,0,10,14.0,1,0,0,38
52.587,0,10,16.0,1,0,0,38
52.691,0,10,12.0,1,0,0,38
52.804,0,10,19.0,1,0,0,38
52.919,0,10,13.0,1,0,0,38
53.036,0,10,18.0,1,0,0,38
53.141,0,10,20.0,1,0,0,38
53.254,0,10,19.0,1,0,0,38
53.366,0,10,18.0,1,0,0,38
53.470,0,10,20.0,1,0,0,38
53.571,0,10,17.0,1,0,0,38
53.682,0,10,24.0,1,0,0,38
53.795,0,10,17.0,1,0,0,37
53.897,0,10,24.0,1,0,0,37
54.001,0,10,17.0,1,0,0,37
54.116,0,10,16.0,1,0,0,37
54.221,0,10,21.0,1,0,0,37
54.337,0,10,20.0,1,0,0,37
54.441,0,10,24.0,1,0,0,37
54.548,0,10,21.0,1,0,0,37
54.655,0,10,17.0,1,0,0,37
54.762,0,10,22.0,1,0,0,37
54.868,0,10,23.0,1,0,0,37
54.972,0,10,23.0,1,0,0,37
55.086,0,10,26.0,1,0,0,37
55.201,0,10,21.0,1,0,0,37
55.306,0,10,21.0,1,0,0,37
55.419,0,10,25.0,1,0,0,37
