frame_idx,t_rel
0,0.230
1,0.268
2,0.302
3,0.318
4,0.336
5,0.349
6,0.362
7,0.381
8,0.415
9,0.431
10,0.446
11,0.523
12,0.539
13,0.632
14,0.647
15,0.726
16,0.743
17,0.830
18,0.928
19,0.946
20,1.034
21,1.050
22,1.219
23,1.230
24,1.265
25,1.429
26,1.447
27,1.465
28,1.635
29,1.652
30,1.674
31,1.833
32,1.848
33,1.863
34,1.881
35,2.066
36,2.079
37,2.094
38,2.107
39,2.517
40,2.581
41,2.597
42,2.613
43,2.640
44,2.819
45,2.852
46,2.862
47,2.883
48,11.847
49,11.902
50,11.920
51,12.001
52,12.016
53,12.098
54,12.113
55,12.203
56,12.227
57,12.303
58,12.317
59,12.403
60,12.418
61,12.506
62,12.516
63,12.606
64,12.621
65,12.712
66,12.725
67,12.807
68,12.818
69,12.909
70,12.918
71,13.012
72,13.028
73,13.117
74,13.128
75,13.142
76,13.231
77,13.239
78,13.319
79,13.348
80,13.425
81,13.441
82,13.520
83,13.537
84,13.631
85,13.640
86,13.730
87,13.742
88,13.831
89,13.840
90,13.930
91,13.941
92,14.050
93,14.137
94,14.147
95,14.252
96,14.359
97,14.369
98,14.386
99,14.465
100,14.479
101,14.565
102,14.586
103,14.656
104,14.678
105,14.754
106,14.764
107,14.861
108,14.871
109,14.960
110,14.969
111,15.080
112,15.178
113,15.268
114,15.296
115,15.374
116,15.383
117,15.478
118,15.487
119,15.584
120,15.595
121,15.687
122,15.699
123,15.714
124,15.787
125,15.799
126,15.885
127,15.916
128,15.983
129,15.998
130,16.012
131,16.087
132,16.104
133,16.195
134,16.205
135,16.301
136,16.401
137,16.413
138,16.500
139,16.599
140,16.697
141,16.710
142,16.804
143,16.813
144,16.903
145,16.918
146,17.010
147,17.021
148,17.112
149,17.123
150,17.209
151,17.234
152,17.311
153,17.330
154,17.340
155,17.420
156,17.436
157,17.522
158,17.530
159,17.546
160,17.624
161,17.635
162,17.662
163,17.722
164,17.733
165,17.823
166,17.847
167,17.922
168,17.938
169,18.029
170,18.051
171,18.128
172,18.164
173,18.238
174,18.254
175,18.330
176,18.349
177,18.445
178,18.468
179,18.545
180,18.564
181,18.653
182,18.669
183,18.758
184,18.781
185,18.851
186,18.865
187,18.955
188,18.986
189,19.052
190,19.077
191,19.163
192,19.173
193,19.264
194,19.272
195,19.372
196,19.379
197,19.469
198,19.501
199,19.568
200,19.580
201,19.598
202,19.680
203,19.769
204,19.786
205,19.869
206,19.880
207,19.971
208,19.983
209,20.077
210,20.113
211,20.183
212,20.201
213,20.228
214,20.289
215,20.323
216,20.404
217,20.503
218,20.604
219,20.702
220,20.713
221,20.796
222,20.806
223,20.909
224,21.003
225,21.107
226,21.123
227,21.203
228,21.221
229,21.303
230,21.328
231,21.417
232,21.516
233,21.531
234,21.620
235,21.634
236,21.715
237,21.741
238,21.830
239,21.854
240,21.921
241,21.935
242,22.019
243,22.037
244,22.122
245,22.137
246,22.233
247,22.250
248,22.329
249,22.340
250,22.434
251,22.552
252,22.636
253,22.665
254,22.731
255,22.749
256,22.853
257,22.938
