frame_idx,t_rel
0,0.122
1,0.333
2,0.350
3,0.366
4,0.399
5,0.417
6,0.427
7,0.445
8,0.465
9,0.480
10,0.497
11,0.514
12,0.531
13,0.544
14,0.559
15,0.576
16,0.598
17,0.616
18,0.628
19,0.647
20,0.662
21,0.676
22,0.696
23,0.709
24,0.726
25,0.739
26,0.811
27,0.826
28,0.846
29,1.233
30,1.243
31,1.265
32,1.278
33,1.300
34,1.312
35,1.326
36,1.468
37,1.483
38,1.501
39,1.516
40,1.532
41,1.723
42,1.731
43,1.743
44,1.763
45,1.790
46,1.953
47,1.966
48,1.983
49,1.997
50,2.018
51,2.214
52,2.226
53,2.238
54,2.249
55,2.439
56,2.452
57,2.690
58,2.709
59,2.719
60,2.737
61,2.911
62,2.926
63,2.946
64,2.957
65,2.970
66,3.102
67,3.121
68,3.135
69,3.310
70,3.327
71,3.554
72,3.707
73,3.728
74,3.743
75,3.757
76,3.901
77,3.913
78,3.933
79,3.964
80,4.139
81,4.150
82,4.170
83,4.246
84,4.261
85,4.344
86,4.358
87,4.438
88,4.452
89,4.472
90,4.531
91,4.564
92,4.630
93,4.646
94,4.723
95,4.741
96,4.821
97,4.834
98,4.918
99,4.930
100,5.010
101,5.028
102,10.930
103,10.942
104,11.020
105,11.029
106,11.117
107,11.140
108,11.230
109,11.315
110,11.338
111,11.421
112,11.435
113,11.515
114,11.528
115,11.609
116,11.633
117,11.715
118,11.731
119,11.810
120,11.827
121,11.909
122,11.926
123,11.984
124,11.994
125,12.074
126,12.093
127,12.177
128,12.199
129,12.280
130,12.293
131,12.370
132,12.461
133,12.477
134,12.487
135,12.582
136,12.653
137,12.667
138,12.684
139,12.755
140,12.782
141,12.852
142,12.861
143,12.887
144,12.947
145,12.963
146,13.052
147,13.066
148,13.147
149,13.165
150,13.182
151,13.250
152,13.279
153,13.347
154,13.380
155,13.453
156,13.469
157,13.533
158,13.614
159,13.633
160,13.715
161,13.728
162,13.800
163,13.812
164,13.831
165,13.912
166,13.920
167,13.998
168,14.012
169,14.106
170,14.114
171,14.201
172,14.213
173,14.303
174,14.313
175,14.398
176,14.477
177,14.517
178,14.598
179,14.609
180,14.701
181,14.714
182,14.814
183,14.829
184,14.923
185,14.935
186,15.007
187,15.048
188,15.109
189,15.119
190,15.203
191,15.218
192,15.294
193,15.314
194,15.400
195,15.410
196,15.496
197,15.509
198,15.601
199,15.616
200,15.683
201,15.708
202,15.775
203,15.783
204,15.794
205,15.888
206,15.901
207,15.977
208,15.985
209,16.001
210,16.083
211,16.094
212,16.187
213,16.197
214,16.269
215,16.277
216,16.309
217,16.366
218,16.467
219,16.489
220,16.561
221,16.577
222,16.659
223,16.685
224,16.754
225,16.771
226,16.851
227,16.868
228,16.946
229,16.961
230,16.973
231,17.047
232,17.059
233,17.144
234,17.161
235,17.235
236,17.248
237,17.265
238,17.345
239,17.434
240,17.444
241,17.530
242,17.628
243,17.640
244,17.719
245,17.733
246,17.799
247,17.812
248,17.827
249,17.900
250,17.999
251,18.015
252,18.120
253,18.135
254,18.205
255,18.215
256,18.321
257,18.393
258,18.402
259,18.483
260,18.495
261,18.600
262,18.611
263,18.692
264,18.700
265,18.783
266,18.798
267,18.884
268,18.901
269,18.977
270,19.001
271,19.078
272,19.100
273,19.176
274,19.191
275,19.269
276,19.284
277,19.366
278,19.448
279,19.469
280,19.477
281,19.598
282,19.648
283,19.665
284,19.738
285,19.762
286,19.836
287,19.848
288,19.927
289,19.946
290,20.033
291,20.045
292,20.128
293,20.153
294,20.217
295,20.231
296,20.326
297,20.335
298,20.418
299,20.434
300,20.524
301,20.548
302,20.613
303,20.629
304,20.714
305,20.731
306,20.797
307,20.815
308,20.889
309,20.914
310,20.989
311,20.998
312,21.084
313,21.101
314,21.176
315,21.197
316,21.284
317,21.293
318,21.366
319,21.387
320,21.479
321,21.487
322,21.564
323,21.584
324,21.683
325,21.761
326,21.769
327,21.850
328,21.867
329,21.963
330,22.061
331,22.146
332,22.161
333,22.268
334,22.365
335,22.378
336,22.463
337,22.477
338,22.494
339,22.578
340,22.588
341,22.598
342,22.685
343,22.695
344,22.717
345,22.802
346,22.810
347,22.895
348,22.915
349,23.018
350,23.034
351,23.043
352,23.111
353,23.126
354,23.221
355,23.231
356,23.326
357,23.344
358,23.430
359,23.530
360,23.547
361,23.558
362,23.644
363,23.670
364,23.738
365,23.754
366,23.763
367,23.843
368,23.849
369,23.864
370,23.946
371,23.962
372,24.047
373,24.066
374,24.149
375,24.167
376,24.245
377,24.259
378,24.282
379,24.357
380,24.369
381,24.462
382,24.477
383,24.564
384,24.654
385,24.677
386,24.785
387,24.865
388,24.962
389,24.976
390,25.064
391,25.078
392,25.171
393,25.179
394,25.274
395,25.283
396,25.300
397,25.380
398,25.393
399,25.481
400,25.498
401,25.583
402,25.595
403,25.679
404,25.689
405,25.703
406,25.783
407,25.799
408,25.900
409,25.991
410,26.015
411,26.089
412,26.099
413,26.198
414,26.212
415,26.310
416,26.323
417,26.400
418,26.423
419,26.500
420,26.512
421,26.604
422,26.616
423,26.641
424,26.714
425,26.732
426,26.811
427,26.828
428,26.917
429,26.933
430,27.015
431,27.034
432,27.113
433,27.132
434,27.217
435,27.230
436,27.315
437,27.326
438,27.429
439,27.453
440,27.527
441,27.538
442,27.630
443,27.656
444,27.728
445,27.749
446,27.849
447,27.860
448,27.938
449,27.954
450,28.038
451,28.056
452,28.070
453,28.136
454,28.148
455,28.161
456,28.244
457,28.266
458,28.343
459,28.352
460,28.363
461,28.448
462,28.465
463,28.550
464,28.567
465,28.650
466,28.665
467,28.767
468,28.863
469,28.884
470,28.964
471,28.979
472,29.068
473,29.082
474,29.167
475,29.184
476,29.266
477,29.288
478,29.366
479,29.380
480,29.483
481,29.500
482,29.594
483,29.603
484,29.677
485,29.690
486,29.700
487,29.784
488,29.798
489,29.888
490,29.904
491,29.977
492,29.991
493,30.001
494,30.086
495,30.101
496,30.202
497,30.293
498,30.316
499,30.394
500,30.410
501,30.509
502,30.610
503,30.625
504,30.712
505,30.801
506,30.816
507,30.914
508,30.926
509,30.942
510,31.025
511,31.033
512,31.117
513,31.129
514,31.216
515,31.233
516,31.317
517,31.332
518,31.427
519,31.443
520,31.515
521,31.534
522,31.616
523,31.629
524,31.728
525,31.745
526,31.834
527,31.934
528,31.949
529,32.039
530,32.144
531,32.233
532,32.266
533,32.349
534,32.364
535,32.377
536,32.451
537,32.483
538,32.553
539,32.576
540,32.653
541,32.663
542,32.761
543,32.853
544,32.869
545,32.969
546,33.050
547,33.067
548,33.164
549,33.265
550,33.278
551,33.363
552,33.388
553,33.464
554,33.477
555,33.576
556,33.600
557,33.681
558,33.693
559,33.773
560,33.794
561,33.886
562,33.910
563,33.983
564,33.995
565,34.087
566,34.103
567,34.184
568,34.196
569,34.284
570,34.301
571,34.386
572,34.394
573,34.490
574,34.515
575,34.596
576,34.703
577,34.801
578,34.893
579,34.905
580,34.913
