t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,-1,0,68
0.107,0,10,-1.0,0,-1,0,68
0.208,0,10,-1.0,0,-1,0,68
0.311,0,10,-4.0,0,-1,0,68
0.423,0,10,-4.0,0,-1,0,68
0.531,0,10,-4.0,0,-1,0,68
0.636,0,10,-2.0,0,-1,0,68
0.737,0,10,-2.0,0,-1,0,68
0.840,0,10,-3.0,0,-1,0,68
0.945,0,10,-3.0,0,-1,0,68
1.055,0,10,-3.0,0,-1,0,68
1.158,0,10,-3.0,0,-1,0,68
1.269,0,10,4.0,0,-1,0,68
1.372,0,10,4.0,0,-1,0,68
1.476,0,10,-3.0,0,-1,0,68
1.579,0,10,-3.0,0,-1,0,68
1.682,0,10,-3.0,0,-1,0,68
1.785,0,10,3.0,0,-1,0,68
1.897,0,10,3.0,0,-1,0,68
2.009,0,10,-3.0,0,-1,0,68
2.119,0,10,-3.0,0,-1,0,68
2.222,0,10,-3.0,0,-1,0,68
2.335,0,10,-3.0,0,-1,0,68
2.446,0,10,-2.0,0,-1,0,68
2.557,0,10,-2.0,0,-1,0,68
2.668,0,10,-2.0,0,-1,0,68
2.780,0,10,-4.0,0,-1,0,68
2.891,0,10,-4.0,0,-1,0,68
3.001,0,10,2.0,0,-1,0,68
3.113,0,10,2.0,0,-1,0,68
3.225,0,10,2.0,0,-1,0,68
3.337,0,10,0.0,0,-1,0,68
3.448,0,10,0.0,0,-1,0,68
3.560,0,10,0.0,0,-1,0,68
3.671,0,10,0.0,0,-1,0,68
3.781,0,10,-3.0,0,-1,0,68
3.892,0,10,2.0,0,-1,0,68
4.004,0,10,2.0,0,-1,0,68
4.114,0,10,2.0,0,-1,0,68
4.225,0,10,-2.0,0,-1,0,68
4.336,0,10,-3.0,0,-1,0,68
4.447,0,10,5.0,0,-1,0,68
4.560,0,10,-3.0,0,-1,0,68
4.670,0,10,-1.0,0,-1,0,68
4.782,0,10,2.0,0,-1,0,68
4.893,0,10,-1.0,0,-1,0,68
5.005,0,10,-1.0,0,-1,0,68
5.109,0,10,3.0,0,-1,-1,68
5.220,0,10,-1.0,0,-1,-1,68
5.324,0,10,-1.0,0,-1,0,68
5.434,0,10,-1.0,0,0,0,68
5.546,0,10,-1.0,0,0,0,68
5.658,0,10,-1.0,0,0,0,68
5.769,0,10,-1.0,0,0,0,68
5.873,0,10,-1.0,-1,0,0,68
5.985,0,14,20.0,-1,2,0,68
6.089,10,23,48.0,-1,1,0,68
6.193,20,29,60.0,-1,0,1,68
6.305,30,38,65.0,-1,0,0,68
6.413,30,47,73.0,-1,0,0,68
6.522,30,47,73.0,-1,0,0,68
6.634,50,61,84.0,-1,0,0,68
6.746,50,67,85.0,-1,0,0,68
6.858,50,71,92.0,-1,1,0,68
6.969,60,75,94.0,-1,1,0,68
7.081,60,77,96.0,-1,1,0,68
7.193,60,79,108.0,-1,0,1,68
7.304,60,80,101.0,-1,0,0,68
7.416,60,81,111.0,-1,0,1,68
7.528,60,82,105.0,-1,0,1,68
7.640,70,84,106.0,-1,0,1,68
7.752,70,84,107.0,-1,0,0,68
7.863,70,85,104.0,-1,0,0,68
7.975,70,85,111.0,-1,0,0,68
8.086,70,86,112.0,-1,0,0,68
8.197,70,85,110.0,-1,0,0,68
8.308,70,86,106.0,-1,0,0,68
8.419,70,84,106.0,-1,0,0,68
8.532,70,85,107.0,-1,0,0,68
8.644,70,85,107.0,-1,0,0,68
8.755,70,85,102.0,-1,0,0,68
8.866,70,84,108.0,-1,0,0,68
8.977,70,82,111.0,-1,0,0,68
9.088,70,81,112.0,-1,0,0,68
9.199,70,81,112.0,-1,0,0,68
9.311,70,81,106.0,-1,0,0,68
9.422,70,82,107.0,-1,0,0,68
9.534,70,80,110.0,-1,0,0,68
9.646,70,81,97.0,-1,0,0,68
9.758,70,80,106.0,-1,0,0,68
9.870,70,81,105.0,-1,0,0,68
9.982,70,80,99.0,-1,0,0,68
10.093,70,81,109.0,-1,0,0,68
10.204,70,81,100.0,-1,0,0,68
10.316,70,82,104.0,-1,0,0,68
10.427,70,82,108.0,-1,0,0,68
10.538,70,82,112.0,-1,0,0,68
10.650,70,83,111.0,-1,0,0,68
10.762,70,83,115.0,-1,0,0,68
10.873,70,82,114.0,-1,0,0,68
10.977,70,82,120.0,-1,1,0,68
11.091,70,83,116.0,-1,1,0,68
11.192,70,82,104.0,-1,1,0,68
11.307,70,82,106.0,-1,1,0,68
11.413,70,82,110.0,-1,1,0,68
11.519,70,83,103.0,-1,1,0,68
11.624,70,83,103.0,-1,1,0,68
11.731,70,82,103.0,-1,1,0,68
11.836,70,83,103.0,-1,1,0,68
11.942,70,82,102.0,-1,1,0,68
12.050,70,81,105.0,-1,1,0,68
12.159,70,81,105.0,-1,1,0,68
12.272,70,82,104.0,-1,1,0,68
12.386,70,82,105.0,-1,1,0,68
12.495,70,82,102.0,-1,1,0,68
12.610,70,83,108.0,-1,0,0,68
12.724,70,84,104.0,-1,0,0,68
12.825,70,85,94.0,-1,1,0,68
12.934,70,87,106.0,0,1,0,68
13.042,80,93,106.0,0,1,0,68
13.157,80,97,113.0,0,0,0,68
13.258,80,99,120.0,-1,0,0,68
13.371,80,102,126.0,-1,0,0,68
13.475,90,105,126.0,-1,0,0,68
13.590,90,108,128.0,0,0,0,68
13.691,90,111,126.0,0,0,0,68
13.792,100,114,133.0,0,0,0,68
13.893,100,118,128.0,0,0,0,68
14.008,110,123,137.0,-1,0,0,68
14.113,110,125,135.0,-1,0,0,68
14.226,110,129,142.0,-1,0,0,68
14.341,110,131,140.0,-1,0,0,68
14.444,120,133,146.0,-1,0,0,68
14.556,120,136,146.0,-1,1,0,68
14.670,120,140,152.0,-1,1,0,68
14.775,130,144,151.0,-1,1,0,68
14.876,130,147,159.0,-1,1,0,68
14.982,130,149,151.0,-1,1,0,68
15.095,130,150,166.0,-1,0,0,68
15.209,140,156,162.0,-1,1,0,68
15.322,140,159,166.0,-1,0,0,68
15.424,140,159,167.0,-1,0,0,68
15.529,140,159,167.0,-1,0,0,68
15.634,150,164,171.0,-1,0,0,68
15.742,150,168,171.0,-1,0,0,68
15.850,150,172,173.0,-1,0,0,68
15.955,160,171,175.0,-1,0,0,68
16.059,160,177,178.0,-1,0,0,68
16.162,160,177,181.0,-1,0,0,68
16.275,170,182,177.0,-1,0,0,68
16.376,170,186,182.0,-1,0,0,68
16.480,170,187,185.0,-1,0,0,68
16.585,170,189,189.0,-1,0,0,68
16.690,180,192,187.0,-1,0,0,68
16.803,180,192,194.0,-1,0,0,68
16.908,180,201,192.0,-1,0,0,68
17.023,180,196,190.0,-1,0,0,68
17.136,190,205,193.0,-1,0,0,68
17.240,190,205,190.0,-1,0,0,68
17.354,200,210,205.0,-1,0,0,68
17.460,200,210,205.0,-1,0,0,68
17.567,200,217,205.0,-1,0,0,68
17.676,200,215,207.0,-1,0,0,68
17.792,210,220,210.0,-1,0,0,68
17.900,210,230,212.0,-1,0,0,68
18.009,210,233,209.0,-1,0,0,68
18.121,220,239,223.0,-1,0,0,68
18.229,220,239,223.0,-1,0,0,68
18.335,220,242,217.0,-1,1,0,68
18.442,220,246,223.0,-1,1,0,68
18.557,230,252,219.0,-1,1,0,68
18.675,230,251,223.0,-1,0,0,68
18.783,240,257,222.0,-1,1,0,68
18.893,240,260,225.0,-1,1,0,68
19.001,240,259,231.0,-1,1,0,68
19.108,250,257,225.0,-1,1,0,68
19.223,250,261,227.0,-1,0,0,68
19.325,250,260,232.0,-1,0,0,68
19.443,250,260,232.0,-1,0,0,68
19.557,250,260,232.0,-1,0,0,68
19.665,250,256,221.0,0,0,0,68
19.771,250,256,221.0,0,0,0,68
19.875,240,255,223.0,1,0,0,68
19.990,240,258,225.0,4,0,0,68
20.097,240,250,228.0,6,0,0,68
20.211,240,254,224.0,8,0,0,68
20.316,240,253,226.0,9,0,0,68
20.425,240,248,228.0,9,0,0,68
20.539,240,245,221.0,9,0,0,68
20.653,240,252,225.0,9,0,0,68
20.758,240,260,230.0,9,0,0,68
20.864,240,255,230.0,9,0,0,68
20.971,240,253,227.0,9,0,0,68
21.076,240,267,229.0,9,0,0,68
21.184,240,259,225.0,9,0,0,68
21.290,240,264,228.0,9,0,0,68
21.396,240,259,228.0,9,0,0,68
21.502,240,259,228.0,9,0,0,68
21.608,250,267,227.0,9,0,-1,68
21.710,250,265,226.0,9,0,-3,68
21.826,250,263,230.0,9,0,-5,68
21.934,250,271,228.0,9,0,-5,68
22.039,250,268,233.0,9,0,-5,68
22.146,250,266,232.0,9,0,-4,68
22.260,250,265,235.0,9,0,-3,68
22.371,250,267,234.0,9,0,-2,68
22.472,250,258,236.0,9,0,-2,68
22.578,250,259,234.0,9,0,-2,68
22.684,250,254,228.0,9,0,-1,68
22.792,250,254,228.0,9,0,-1,68
22.907,240,253,230.0,9,0,-1,68
23.011,240,254,230.0,9,0,-2,68
23.122,240,254,232.0,9,0,-1,68
23.231,240,254,231.0,9,0,-1,68
23.334,240,249,229.0,9,0,-1,68
23.441,240,252,231.0,9,0,-1,68
23.557,240,254,230.0,9,0,-1,68
23.662,240,256,237.0,9,0,-1,68
23.767,240,261,233.0,9,0,-1,68
23.873,240,266,235.0,9,0,-1,68
23.979,240,264,237.0,9,0,-1,68
24.084,250,266,238.0,9,0,-1,68
24.192,250,271,241.0,9,0,-1,68
24.307,250,271,241.0,9,0,-1,68
24.421,250,269,244.0,9,0,-1,68
24.538,250,273,235.0,9,0,-1,68
24.646,250,275,241.0,9,0,-1,68
24.755,250,271,234.0,9,0,-1,68
24.860,250,266,236.0,9,0,-1,68
24.973,250,268,234.0,9,0,-1,68
25.097,250,269,230.0,9,0,-1,68
25.203,250,262,235.0,9,0,-1,68
25.310,250,261,232.0,9,0,-1,68
25.424,250,259,236.0,9,0,-1,68
25.540,250,255,240.0,9,0,-1,68
25.655,250,254,230.0,9,0,-1,68
25.758,250,261,232.0,9,0,-1,68
25.859,250,256,232.0,9,0,0,68
25.974,240,259,237.0,9,0,2,68
26.081,250,261,238.0,9,0,2,68
26.187,250,267,240.0,12,0,2,68
26.293,250,267,240.0,12,0,2,68
26.399,250,267,230.0,17,0,1,68
26.500,250,269,231.0,22,0,1,68
26.608,250,262,232.0,24,0,1,68
26.722,250,264,234.0,27,0,1,68
26.828,250,266,239.0,27,0,1,68
26.940,250,271,241.0,28,0,1,68
27.045,250,266,236.0,28,0,0,68
27.156,250,267,239.0,28,0,0,68
27.257,250,267,239.0,28,0,0,68
27.373,250,267,239.0,28,0,0,68
27.478,250,270,239.0,27,0,-4,68
27.582,250,274,235.0,27,0,-5,68
