frame_idx,t_rel
0,0.276
1,0.317
2,0.330
3,0.350
4,0.365
5,0.384
6,0.399
7,0.415
8,0.437
9,0.453
10,0.473
11,0.492
12,0.508
13,0.523
14,0.541
15,0.558
16,0.575
17,0.585
18,0.603
19,0.647
20,0.663
21,0.679
22,0.742
23,0.829
24,0.840
25,0.921
26,0.935
27,0.952
28,1.008
29,1.040
30,1.109
31,1.119
32,1.130
33,1.203
34,1.215
35,1.292
36,1.302
37,1.314
38,1.393
39,1.407
40,1.423
41,1.493
42,1.503
43,1.520
44,1.594
45,1.822
46,1.880
47,1.899
48,1.977
49,1.987
50,2.002
51,2.082
52,2.095
53,2.176
54,2.208
55,2.277
56,2.372
57,2.387
58,2.403
59,2.464
60,2.478
61,2.578
62,2.639
63,2.657
64,2.669
65,2.735
66,2.767
67,2.849
68,2.863
69,2.943
70,2.958
71,3.039
72,3.059
73,3.072
74,3.155
75,3.169
76,3.251
77,3.260
78,3.345
79,3.362
80,3.377
81,3.443
82,3.454
83,3.472
84,3.533
85,3.553
86,3.581
87,3.633
88,3.643
89,3.739
90,3.759
91,3.772
92,3.838
93,3.855
94,3.930
95,3.946
96,4.028
97,4.045
98,4.125
99,4.134
100,4.154
101,4.236
102,4.248
103,4.260
104,4.344
105,4.364
106,4.380
107,4.457
108,4.470
109,4.483
110,4.572
111,4.584
112,4.668
113,4.687
114,4.699
115,4.794
116,4.809
117,4.895
118,4.908
119,4.987
120,4.998
121,5.010
122,5.130
123,5.163
124,5.208
125,5.260
126,5.302
127,5.337
128,5.386
129,5.437
130,5.484
131,5.513
132,5.570
133,5.609
134,5.641
135,5.689
136,5.744
137,5.792
138,5.841
139,5.895
140,5.925
141,5.989
142,6.041
143,6.091
144,6.131
145,6.189
146,6.227
147,6.287
148,6.322
149,6.373
150,6.412
151,6.465
152,6.512
153,6.566
154,6.612
155,6.658
156,6.704
157,6.752
158,6.799
159,6.847
160,6.890
161,6.926
162,6.991
163,7.039
164,7.086
165,7.135
166,7.185
167,7.230
168,7.280
169,7.322
170,7.370
171,7.417
172,7.473
173,7.514
174,7.567
175,7.608
176,7.659
177,7.705
178,7.734
179,7.799
180,7.841
181,7.880
182,7.940
183,7.972
184,8.035
185,8.076
186,8.115
187,8.145
188,8.205
189,8.249
190,8.293
191,8.341
192,8.382
193,8.426
194,8.462
195,8.507
196,9.418
197,9.466
198,9.479
199,9.558
200,9.577
201,9.655
202,9.673
203,9.759
204,9.790
205,9.876
206,9.890
207,9.903
208,9.993
209,10.009
210,10.088
211,10.108
212,10.191
213,10.207
214,10.223
215,10.305
216,10.337
217,10.426
218,10.440
219,10.515
220,10.530
221,10.547
222,10.627
223,10.644
224,10.726
225,10.742
226,10.826
227,10.838
228,10.922
229,10.954
230,11.023
231,11.045
232,11.125
233,11.143
234,11.216
235,11.233
236,11.306
237,11.324
238,11.335
239,11.415
240,11.431
241,11.531
242,11.542
243,11.638
244,11.654
245,11.669
246,11.749
247,11.767
248,12.009
249,12.040
250,12.053
251,12.069
252,12.151
253,17.598
254,17.677
255,17.692
256,17.787
257,17.885
258,17.904
259,17.927
260,17.994
261,18.012
262,18.117
263,18.138
264,18.193
265,18.207
266,18.227
267,18.305
268,18.327
269,18.403
270,18.426
271,18.522
272,18.543
273,18.627
274,18.645
275,18.716
276,18.737
277,18.823
278,18.844
279,18.946
280,18.959
281,19.037
282,19.052
283,19.139
284,19.153
285,19.169
286,19.244
287,19.263
288,19.361
289,19.377
290,19.460
291,19.477
292,19.774
293,19.798
294,19.869
295,19.885
296,19.976
297,19.991
298,20.068
299,20.086
300,20.172
301,20.190
302,20.272
303,20.286
304,20.302
305,20.377
306,20.393
307,20.410
308,20.495
309,20.511
310,20.525
311,20.597
312,20.608
313,20.691
314,20.707
315,20.733
316,20.794
317,20.811
318,20.827
319,20.906
320,20.925
321,20.942
322,21.021
323,21.046
324,21.141
325,21.161
326,21.245
327,21.259
328,21.342
329,21.375
330,21.461
331,21.470
332,21.491
333,21.566
334,21.573
335,21.592
336,21.670
337,21.689
338,21.795
339,21.886
340,21.910
341,22.012
342,22.020
343,22.120
344,22.143
345,22.226
346,22.251
347,22.324
348,22.344
349,22.431
350,22.451
351,22.542
352,22.554
353,22.638
354,22.649
355,22.686
356,22.739
357,22.752
358,22.769
359,22.843
360,22.859
361,22.877
362,22.888
363,22.959
364,22.975
365,23.061
366,23.078
367,23.086
368,23.185
369,23.203
370,23.286
371,23.304
372,23.316
373,23.394
374,23.409
375,23.427
376,23.438
377,23.513
378,23.527
379,23.620
380,23.637
381,23.649
382,23.728
383,23.738
384,23.839
385,23.853
386,23.933
387,23.948
388,23.961
389,24.039
390,24.053
391,24.074
392,24.136
393,24.160
394,24.244
395,24.263
396,24.272
397,24.346
398,24.366
399,24.382
400,24.460
401,24.474
402,24.584
403,24.594
404,24.652
405,24.676
406,24.693
407,24.777
408,24.804
409,24.877
410,24.980
411,25.005
412,25.092
413,25.196
414,25.212
415,25.223
416,25.303
417,26.160
418,26.178
419,26.192
420,26.208
421,26.294
422,26.318
423,26.391
424,26.410
425,26.503
426,26.514
427,26.602
428,26.624
429,26.649
430,26.854
431,26.874
432,26.891
433,26.912
434,27.069
435,27.086
436,27.103
437,27.315
438,27.489
439,27.508
440,27.539
441,27.682
442,27.708
443,27.935
444,27.960
445,28.169
446,28.201
447,28.226
448,28.244
449,28.637
450,28.661
451,28.893
452,28.916
453,28.926
454,29.083
455,29.310
456,29.336
457,29.352
458,29.377
459,29.513
460,29.528
461,29.546
462,29.569
463,29.719
464,29.740
465,29.775
466,29.920
467,29.944
468,29.966
469,29.986
470,30.146
471,30.177
472,30.320
473,30.353
474,30.437
475,30.460
476,30.551
477,30.572
478,30.661
479,30.677
480,30.751
481,30.769
482,30.871
483,30.890
484,30.992
485,31.021
486,31.113
487,31.127
488,31.213
489,31.333
490,31.348
491,31.362
492,31.380
493,31.436
494,31.456
495,31.533
496,31.557
497,31.646
498,31.669
499,31.735
500,31.753
501,31.773
502,31.844
503,31.861
504,31.938
505,31.955
506,32.045
507,32.061
508,32.136
509,32.161
510,32.260
511,32.340
512,32.354
513,32.439
514,32.458
515,32.543
516,32.561
517,32.649
518,32.672
519,32.747
520,32.777
521,32.846
522,32.861
523,32.960
524,33.044
525,33.063
526,33.155
527,33.168
528,33.254
529,33.271
530,33.361
531,33.377
532,33.453
533,33.478
534,33.560
535,33.661
536,33.675
537,33.777
538,33.803
539,33.872
540,33.888
541,33.911
542,33.977
543,33.992
544,34.076
545,34.094
546,34.111
547,34.307
548,34.327
549,34.402
550,34.422
551,34.444
552,34.518
553,34.621
554,34.638
555,34.660
556,34.727
557,34.743
558,34.821
559,34.843
560,34.871
561,34.943
562,35.027
563,35.040
564,35.136
565,35.159
566,35.227
567,35.245
568,35.256
569,35.337
570,35.360
571,35.594
572,35.644
573,35.661
574,35.753
575,35.769
576,35.841
577,35.861
578,35.961
579,36.055
580,36.077
581,36.161
582,36.177
583,36.250
584,36.271
585,36.361
586,36.444
587,36.458
588,36.548
589,36.570
590,36.673
591,36.769
592,36.790
593,36.857
594,36.877
595,36.971
596,37.063
597,37.079
598,37.162
599,37.283
600,37.310
601,37.377
602,37.474
603,37.490
604,37.508
605,37.570
606,37.595
607,37.667
608,37.684
609,37.699
610,37.778
611,37.796
612,37.878
613,37.894
614,37.911
615,37.980
616,37.994
617,38.080
618,38.094
619,38.202
620,38.293
621,38.310
622,38.332
623,38.413
624,38.428
625,38.513
626,38.524
627,38.546
628,38.612
629,38.625
630,38.711
631,38.738
632,38.815
633,38.829
634,38.909
635,38.924
636,39.011
637,39.027
638,39.117
639,39.136
640,39.227
641,39.240
642,39.320
643,39.336
644,39.412
645,39.445
646,39.525
647,39.537
648,39.618
649,39.637
650,39.720
651,39.744
652,39.828
653,39.923
654,39.943
655,39.959
656,40.055
657,40.140
658,40.161
659,40.245
660,40.263
661,40.278
662,40.353
663,40.374
664,40.446
665,40.469
666,40.553
667,40.657
668,40.682
669,40.778
670,40.795
671,40.867
672,40.885
673,40.900
674,40.981
675,41.001
676,41.070
677,41.086
678,41.103
679,41.195
680,41.211
681,41.290
682,41.305
683,41.406
684,41.419
685,41.511
686,41.534
687,41.613
688,41.627
689,41.728
690,41.745
691,41.826
692,41.841
693,41.929
694,41.953
695,42.049
696,42.078
697,42.152
698,42.169
699,42.246
700,42.262
701,42.361
702,42.378
703,42.470
704,42.486
705,42.575
706,42.601
707,42.675
708,42.693
709,42.773
710,42.816
711,43.024
712,43.111
713,43.128
714,43.144
715,43.211
716,43.227
717,43.250
718,44.750
719,44.828
720,44.838
721,44.860
722,44.941
723,44.959
724,45.036
725,45.053
726,45.142
727,45.159
728,45.246
729,45.271
730,45.345
731,45.360
732,45.453
733,45.544
734,45.558
735,45.647
736,45.661
737,45.758
738,45.791
739,45.853
740,45.970
741,46.097
742,46.106
743,46.185
744,46.203
745,46.215
746,46.297
747,46.320
748,46.395
749,46.419
750,46.503
751,46.511
752,46.528
753,46.627
754,46.724
755,46.743
756,46.829
757,46.860
758,46.946
759,46.959
760,47.045
761,47.061
762,47.144
763,47.161
764,47.178
765,47.258
766,47.275
767,47.380
768,47.394
769,47.469
770,47.494
771,47.521
772,47.583
773,47.606
774,47.686
775,47.703
776,47.793
777,47.809
778,47.891
779,47.911
780,47.996
781,48.006
782,48.095
783,48.104
784,48.128
785,48.230
786,48.244
787,48.327
788,48.336
789,48.422
790,48.445
791,48.530
792,48.623
793,48.649
794,48.725
795,48.744
796,48.820
797,48.841
798,48.927
799,48.944
800,49.032
801,49.045
802,49.128
803,49.144
804,49.253
805,49.260
806,49.345
807,49.364
808,49.481
809,49.565
810,49.578
811,49.586
812,49.655
813,49.670
814,49.776
815,49.790
816,49.862
817,49.876
818,49.886
819,49.970
820,50.063
821,50.077
822,50.178
823,50.263
824,50.277
825,50.363
826,50.377
827,50.476
828,50.487
829,50.584
830,50.593
831,50.671
832,50.693
833,50.780
834,50.795
835,50.879
836,50.890
837,50.980
838,51.008
839,51.094
840,51.106
841,51.184
842,51.195
843,51.286
844,51.308
845,51.380
846,51.412
847,51.492
848,51.504
849,51.588
850,51.598
851,51.685
852,51.703
853,51.793
854,51.810
855,51.886
856,51.904
857,51.987
858,52.010
859,52.114
860,52.124
861,52.227
862,52.311
863,52.321
864,52.405
865,52.420
866,52.505
867,52.521
868,52.619
869,52.631
870,52.730
871,52.826
872,52.837
873,52.920
874,52.936
875,53.027
876,53.036
877,53.120
878,53.130
879,53.226
880,53.318
881,53.328
882,53.429
883,53.441
884,53.530
885,53.544
886,53.628
887,53.645
888,53.730
889,53.763
890,53.845
891,53.939
892,53.954
893,53.976
894,54.042
895,54.059
896,54.149
897,54.170
898,54.245
899,54.262
900,54.278
901,54.354
902,54.379
903,54.452
904,54.462
905,54.565
906,54.658
907,54.680
908,54.770
909,54.790
910,54.865
911,54.878
912,54.895
913,54.993
914,55.077
915,55.197
916,55.211
917,55.285
918,55.295
919,55.312
920,55.391
921,55.407
922,55.508
923,55.520
924,55.600
925,55.620
926,55.633
927,55.703
928,55.720
929,55.728
930,55.808
931,55.828
932,55.911
933,55.923
934,56.018
935,56.028
936,56.113
937,56.128
938,56.229
939,56.328
940,56.340
941,56.409
942,56.429
943,56.513
944,56.521
945,56.629
946,56.722
947,56.815
948,56.823
949,56.840
950,56.926
951,56.950
952,57.014
953,57.026
954,57.127
955,57.135
956,57.228
957,57.245
958,57.329
959,57.339
960,57.426
961,57.448
962,57.537
963,57.629
964,57.644
965,57.728
966,57.747
967,57.827
968,57.845
969,57.928
970,57.940
971,58.047
972,58.060
973,58.157
974,58.177
975,58.262
976,58.280
977,58.361
978,58.378
979,58.462
980,58.477
981,58.563
982,58.587
983,58.661
984,58.675
985,58.762
986,58.776
987,58.785
988,58.865
989,58.880
990,58.979
991,59.076
992,59.087
993,59.174
994,59.181
995,59.193
996,59.270
997,59.278
998,59.290
999,59.378
1000,59.388
1001,59.505
1002,59.520
1003,59.596
1004,59.617
1005,59.699
1006,59.719
1007,59.735
1008,59.816
1009,59.829
1010,59.904
1011,59.924
1012,60.021
1013,60.040
1014,60.111
1015,60.132
1016,60.222
1017,60.235
1018,60.336
1019,60.429
1020,60.529
1021,60.561
1022,60.637
1023,60.648
1024,60.739
1025,60.761
1026,60.862
1027,60.937
1028,60.963
1029,61.047
1030,61.071
1031,61.153
1032,61.170
1033,61.187
1034,61.265
1035,61.372
1036,61.391
1037,61.408
1038,61.488
1039,61.512
1040,61.626
1041,61.722
1042,61.744
1043,61.827
1044,61.869
1045,61.926
1046,62.037
1047,62.060
1048,62.071
1049,62.147
1050,62.170
1051,62.251
1052,62.268
1053,62.346
1054,62.370
1055,62.457
1056,62.554
1057,62.578
1058,62.658
1059,62.757
1060,62.771
1061,62.781
1062,62.855
1063,62.878
1064,62.960
1065,62.976
1066,63.063
1067,63.094
1068,63.158
1069,63.179
1070,63.269
1071,63.286
1072,63.295
1073,63.370
1074,63.387
1075,63.465
1076,63.484
1077,63.572
1078,63.595
1079,63.668
1080,63.676
1081,63.696
1082,63.778
1083,63.794
1084,63.878
1085,63.904
1086,63.995
1087,64.011
1088,64.080
1089,64.097
1090,64.194
1091,64.294
1092,64.319
1093,64.397
1094,64.413
1095,64.424
1096,64.497
1097,64.510
1098,64.607
1099,64.704
1100,64.720
1101,64.822
1102,64.845
1103,64.928
1104,65.024
1105,65.037
1106,65.133
1107,65.154
1108,65.237
1109,65.332
1110,65.354
1111,65.438
1112,65.461
1113,65.532
1114,65.550
1115,65.574
1116,65.639
1117,65.653
1118,65.670
1119,65.742
1120,65.769
1121,65.845
1122,65.861
1123,65.954
1124,65.970
1125,66.053
1126,66.081
1127,66.144
1128,66.155
1129,66.262
