t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,0,0,33
0.116,0,10,0.0,0,0,0,33
0.219,0,10,-1.0,0,0,0,33
0.334,0,10,-4.0,0,0,0,33
0.440,0,10,-4.0,0,0,0,33
0.547,0,10,-3.0,0,0,0,33
0.658,0,10,-3.0,0,0,0,33
0.769,0,10,-1.0,0,0,0,33
0.883,0,10,-1.0,0,0,0,33
0.986,0,10,-3.0,0,0,0,33
1.098,0,10,-6.0,0,0,0,33
1.202,0,10,-5.0,0,0,0,33
1.314,0,10,0.0,0,0,0,33
1.418,0,10,-1.0,0,0,0,33
1.531,0,10,-6.0,0,0,0,33
1.634,0,10,-2.0,0,0,0,33
1.746,0,10,1.0,0,0,0,33
1.859,0,10,-4.0,0,0,0,33
1.971,0,10,-1.0,0,0,0,33
2.074,0,10,-3.0,0,0,0,33
2.187,0,10,-2.0,0,0,0,33
2.299,0,10,3.0,0,0,0,33
2.410,0,10,-3.0,0,0,0,33
2.522,0,10,-3.0,0,0,0,33
2.633,0,10,-4.0,0,0,0,33
2.746,0,10,-2.0,0,0,0,33
2.858,0,10,-5.0,0,0,0,33
2.970,0,10,0.0,0,0,0,33
3.082,0,10,-5.0,0,0,0,33
3.194,0,10,-2.0,0,0,0,33
3.306,0,10,-4.0,0,0,0,33
3.417,0,10,-3.0,0,0,0,33
3.528,0,10,-3.0,0,0,0,33
3.640,0,10,0.0,0,0,0,33
3.750,0,10,-2.0,0,0,0,33
3.861,0,10,-1.0,0,0,0,33
3.973,0,10,-8.0,0,0,0,33
4.084,0,10,-5.0,0,0,0,33
4.195,0,10,-3.0,0,0,0,33
4.308,0,10,-6.0,0,0,0,33
4.420,0,10,-3.0,0,0,0,33
4.531,0,10,-3.0,0,0,0,33
4.644,0,10,-3.0,0,0,0,33
4.755,0,10,-6.0,0,0,0,33
4.868,0,10,-5.0,0,0,0,33
4.979,0,10,-8.0,0,0,0,33
5.090,0,10,0.0,0,0,0,33
5.201,0,10,-10.0,0,0,0,33
5.305,0,10,2.0,0,0,0,33
5.419,0,10,-1.0,0,0,0,33
5.528,0,10,-7.0,0,0,0,33
5.641,0,10,-7.0,0,0,0,33
5.752,0,10,-7.0,0,0,0,33
5.862,0,10,-7.0,0,0,0,33
5.973,0,10,-1.0,0,0,0,33
6.085,0,10,-6.0,0,0,0,33
6.195,0,10,-1.0,0,0,0,33
