frame_idx,t_rel
0,0.262
1,0.294
2,0.318
3,0.331
4,0.356
5,0.373
6,0.476
7,0.492
8,0.509
9,0.621
10,0.637
11,0.645
12,0.827
13,0.843
14,0.863
15,0.875
16,0.927
17,0.939
18,0.975
19,1.075
20,1.092
21,1.113
22,1.376
23,1.421
24,1.465
25,1.511
26,1.549
27,1.591
28,1.632
29,1.673
30,1.724
31,1.767
32,1.807
33,1.861
34,1.900
35,1.974
36,2.011
37,2.056
38,2.107
39,2.157
40,2.192
41,2.240
42,2.291
43,2.339
44,3.031
45,3.080
46,3.098
47,3.306
48,3.320
49,3.334
50,3.351
51,3.385
52,3.485
53,3.498
54,3.515
55,3.592
56,3.610
57,3.642
58,3.671
59,3.701
60,3.900
61,3.914
62,3.925
63,3.943
64,3.996
65,4.028
66,4.058
67,4.098
68,4.121
69,4.212
70,4.240
71,4.306
72,4.329
73,4.404
74,4.427
75,4.444
76,4.507
77,4.625
78,4.640
79,4.656
80,4.683
81,4.716
82,4.814
83,4.832
84,4.845
85,5.026
86,5.044
87,5.059
88,5.124
89,5.138
90,5.227
91,5.242
92,5.257
93,5.333
94,5.362
95,5.445
96,5.455
97,5.475
98,5.534
99,5.548
100,5.641
101,5.660
102,5.677
103,5.743
104,5.759
105,5.776
106,5.839
107,5.853
108,5.939
109,5.957
110,5.973
111,6.043
112,6.061
113,6.075
114,6.110
115,6.178
116,6.193
117,6.264
118,6.281
119,6.350
120,6.365
121,6.375
122,6.460
123,6.475
124,6.508
125,6.559
126,6.574
127,6.666
128,6.681
129,6.803
130,6.840
131,6.891
132,6.940
133,6.987
134,7.023
135,7.085
136,7.125
137,7.158
138,7.208
139,7.255
140,7.297
141,7.347
142,7.391
143,7.421
144,7.462
145,7.491
146,7.602
147,7.661
148,7.724
149,7.776
150,7.823
151,7.920
152,7.977
153,8.024
154,8.058
155,8.097
156,8.145
157,8.193
158,8.241
159,8.283
160,8.337
161,8.375
162,8.436
163,8.478
164,8.527
165,8.574
166,8.627
167,8.668
168,8.715
169,8.747
170,8.788
171,8.949
172,8.990
173,9.036
174,9.076
175,9.123
176,9.183
177,9.223
178,9.269
179,9.328
180,9.377
181,9.421
182,9.469
183,9.529
184,9.573
185,9.621
186,9.673
187,9.721
188,9.770
189,9.808
190,9.870
191,9.913
192,9.968
193,10.017
