t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,0,-2,64
0.106,0,10,1.0,0,0,-2,64
0.212,0,10,-2.0,0,0,-2,64
0.323,0,10,-2.0,0,0,-2,64
0.436,0,10,-2.0,0,0,-2,64
0.548,0,10,-2.0,0,0,-2,64
0.660,0,10,1.0,0,0,-2,64
0.765,0,10,1.0,0,0,-2,64
0.870,0,10,-9.0,0,0,-2,64
0.979,0,10,-2.0,0,0,-2,64
1.084,0,10,2.0,0,0,-2,64
1.190,0,10,3.0,0,0,-2,64
1.300,0,10,3.0,0,0,-2,64
1.408,0,10,4.0,0,0,-2,64
1.517,0,10,5.0,0,0,-2,64
1.623,0,10,2.0,0,0,-2,64
1.734,0,10,-2.0,0,0,-2,64
1.836,0,10,-2.0,0,0,-2,64
1.948,0,10,-4.0,0,0,-2,64
2.053,0,10,-5.0,0,0,-2,64
2.157,0,10,4.0,0,0,-2,64
2.269,0,10,0.0,0,0,-2,64
2.372,0,10,0.0,0,0,-2,64
2.486,0,10,-4.0,0,0,-2,64
2.597,0,10,-4.0,0,0,-2,64
2.709,0,10,2.0,0,0,-2,64
2.819,0,10,2.0,0,0,-2,64
2.931,0,10,6.0,0,0,-2,64
3.043,0,10,2.0,0,0,-2,64
3.156,0,10,2.0,0,0,-2,64
3.266,0,10,2.0,0,0,-2,64
3.378,0,10,4.0,0,0,-2,64
3.489,0,10,-3.0,0,0,-2,64
3.601,0,10,0.0,0,0,-2,64
3.713,0,10,2.0,0,0,-2,64
3.825,0,10,2.0,0,0,-2,64
3.936,0,10,-1.0,0,0,-2,64
4.038,0,10,0.0,0,0,-2,64
4.139,0,10,0.0,0,0,-2,64
4.250,0,10,-1.0,0,0,-2,64
4.354,0,10,-1.0,0,0,-2,64
4.455,0,10,4.0,0,0,-2,64
4.566,0,10,4.0,0,0,-2,64
4.673,0,10,-1.0,0,0,-2,64
4.782,0,10,4.0,0,0,-2,64
4.885,0,10,-1.0,0,0,-2,63
4.989,0,10,-1.0,0,0,-2,63
5.101,0,10,-1.0,0,0,-2,63
5.210,0,10,3.0,0,0,-2,63
5.323,0,10,2.0,0,0,-2,63
5.435,0,10,2.0,0,0,-2,63
5.540,0,10,6.0,0,0,-2,63
5.653,0,10,8.0,0,0,-2,63
5.767,0,10,11.0,0,0,-2,63
5.873,0,10,7.0,0,0,-2,63
5.982,0,10,7.0,0,0,-2,63
6.087,0,10,-1.0,0,0,-2,63
6.188,0,10,6.0,0,0,-2,63
6.301,0,10,6.0,0,0,-2,63
6.403,0,10,3.0,0,0,-2,63
