frame_idx,t_rel
0,0.182
1,0.224
2,0.244
3,0.259
4,0.407
5,0.421
6,0.442
7,0.474
8,0.506
9,0.518
10,0.554
11,0.617
12,0.710
13,0.729
14,0.758
15,0.819
16,1.018
17,1.034
18,1.051
19,1.075
20,1.119
21,1.138
22,1.336
23,1.351
24,1.367
25,1.378
26,1.542
27,1.571
28,1.587
29,1.638
30,1.734
31,1.751
32,1.846
33,1.861
34,1.878
35,2.039
36,2.053
37,2.065
38,2.086
39,2.116
40,2.149
41,2.245
42,2.257
43,2.272
44,2.355
45,2.450
46,2.483
47,2.515
48,2.862
49,2.879
50,2.895
51,2.905
52,2.924
53,2.938
54,2.957
55,2.984
56,5.013
57,5.029
58,5.067
59,5.082
60,5.114
61,5.146
62,5.225
63,5.239
64,5.256
65,5.289
66,5.325
67,5.353
68,5.416
69,5.465
70,5.544
71,5.564
72,5.609
73,5.640
74,5.754
75,5.785
76,5.816
77,5.832
78,5.919
79,5.947
80,5.980
81,6.013
82,6.055
83,6.157
84,6.174
85,6.190
86,6.215
87,6.253
88,6.287
89,6.323
90,6.337
91,6.375
92,6.425
93,6.443
94,6.458
95,6.566
96,6.591
97,6.636
98,6.657
99,6.673
100,6.712
101,6.768
102,6.815
103,6.851
104,6.883
105,6.911
106,6.962
107,7.026
108,7.037
109,7.070
110,7.132
111,7.187
112,7.248
113,7.263
114,7.280
115,7.308
116,7.389
117,7.420
118,7.435
119,7.454
120,7.536
121,7.552
122,7.578
123,7.630
124,7.643
125,7.689
126,7.709
127,7.755
128,7.770
129,7.833
130,7.884
131,7.913
132,7.945
133,7.977
134,8.010
135,8.090
136,8.137
137,8.153
138,8.170
139,8.201
140,8.284
141,8.312
142,8.360
143,8.408
144,8.461
145,8.471
146,8.522
147,8.587
148,8.598
149,8.615
150,8.652
151,8.679
152,8.711
153,8.797
154,8.808
155,8.840
156,8.871
157,8.907
158,8.972
159,8.998
160,9.015
161,9.046
162,9.078
163,9.110
164,9.177
