t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,1,0,55
0.111,0,10,-1.999999999998,0,1,0,55
0.218,0,10,-1.999999999998,0,1,0,55
0.322,0,10,-1.999999999998,0,1,0,55
0.432,0,10,-6.0,0,1,0,55
0.546,0,10,-7.999999999998,0,1,0,55
0.656,0,10,-3.0,0,1,0,55
0.765,0,10,-10.0,0,1,0,55
0.867,0,10,-7.999999999998,0,1,0,55
0.979,0,10,-7.999999999998,0,1,0,55
1.082,0,10,-4.0,0,1,0,55
1.195,0,10,-4.0,0,1,0,55
1.298,0,10,-1.0,0,1,0,55
1.409,0,10,-1.999999999998,0,1,0,55
1.517,0,10,-1.999999999998,0,1,0,55
1.630,0,10,-4.0,0,1,0,55
1.743,0,10,-1.0,0,1,0,55
1.854,0,10,2.0,0,1,0,55
1.965,0,10,-1.0,0,1,0,55
2.077,0,10,0.0,0,1,0,55
2.188,0,10,0.0,0,1,0,55
2.300,0,10,-7.0,0,1,0,55
2.410,0,10,-7.0,0,1,0,55
2.521,0,10,-3.0,0,1,0,55
2.633,0,10,-3.0,0,1,0,55
2.743,0,10,-3.0,0,1,0,55
2.853,0,10,-4.0,0,1,0,55
2.963,0,10,-1.0,0,1,0,55
3.065,0,10,-1.0,0,1,0,55
3.177,0,10,1.000000000002,0,1,0,55
3.288,0,10,-1.999999999998,0,1,0,55
3.399,0,10,-1.999999999998,0,1,0,55
3.509,0,10,-1.999999999998,0,1,0,55
3.613,0,10,-1.999999999998,0,0,0,55
3.716,0,10,-1.999999999998,0,-2,-1,55
3.816,0,10,-1.999999999998,0,-9,-8,55
3.917,0,10,-14.0,4,-23,-25,55
4.031,0,10,9.0,11,-35,-48,55
4.134,0,10,16.0,16,-43,-63,55
4.245,0,10,16.0,16,-43,-63,55
4.355,0,32,12.999999999998,14,-50,-70,55
4.459,0,10,11.0,-47,-28,6,55
4.570,0,10,0.0,-49,-1,-3,55
4.681,0,10,-1.0,-47,0,0,55
4.791,0,10,3.0,-47,0,0,55
4.902,0,10,3.999999999998,-47,0,0,55
5.013,0,10,5.0,-47,0,0,55
5.125,0,10,3.0,-47,0,0,55
5.235,0,10,3.0,-47,0,0,54
5.348,0,10,-1.0,-47,0,0,54
5.459,0,10,6.0,-47,0,0,54
5.571,0,10,3.999999999998,-47,0,0,54
5.683,0,10,1.000000000002,-47,0,0,54
5.795,0,10,3.0,-47,0,0,54
5.909,0,10,2.0,-47,0,0,54
6.021,0,10,5.0,-47,0,0,54
6.122,0,10,3.999999999998,-47,0,0,54
6.225,0,10,-1.0,-47,0,0,54
6.332,0,10,-1.999999999998,-47,0,0,54
6.433,0,10,8.0,-47,0,0,54
6.541,0,10,2.0,-47,0,0,54
6.647,0,10,3.999999999998,-47,0,0,54
6.764,0,10,2.0,-47,0,0,54
6.874,0,10,5.0,-47,0,0,54
6.985,0,10,5.0,-47,0,0,54
7.096,0,10,3.999999999998,-47,0,0,54
7.207,0,10,5.0,-47,0,0,54
7.318,0,10,3.999999999998,-47,0,0,54
7.430,0,10,1.000000000002,-47,0,0,54
7.542,0,10,6.0,-47,0,0,54
7.653,0,10,0.0,-47,0,0,54
7.764,0,10,3.999999999998,-47,0,0,54
7.877,0,10,1.000000000002,-47,0,0,54
7.988,0,10,6.999999999998,-47,0,0,54
8.101,0,10,3.999999999998,-47,0,0,54
8.212,0,10,6.0,-47,0,0,54
8.323,0,10,6.0,-47,0,0,54
8.436,0,10,6.0,-47,0,0,54
8.546,0,10,3.999999999998,-47,0,0,54
8.658,0,10,3.999999999998,-47,0,0,54
8.773,0,10,3.999999999998,-47,0,0,54
8.882,0,10,9.0,-47,0,0,54
8.993,0,10,6.0,-47,0,0,54
9.105,0,10,9.999999999998,-47,0,0,54
9.216,0,10,2.0,-47,0,0,54
