t_rel,lr,fb,ud,yaw,height_cm,yaw_deg
0.149,0,0,0,0,0,0
0.212,0,0,0,0,0,0
0.261,0,0,0,0,0,0
0.278,0,0,0,0,0,0
0.293,0,0,0,0,0,0
0.318,0,0,0,0,0,0
0.350,0,0,0,0,0,0
0.366,0,0,0,0,0,0
0.381,0,0,0,0,0,0
0.399,0,0,0,0,0,0
0.404,0,0,0,0,0,0
0.429,0,0,0,0,0,0
0.460,0,0,0,0,0,0
0.476,0,0,0,0,0,0
0.492,0,0,0,0,0,0
0.508,0,0,0,0,0,0
0.524,0,0,0,0,0,0
0.540,0,0,0,0,0,0
0.556,0,0,0,0,0,0
0.572,0,0,0,0,0,0
0.588,0,0,0,0,0,0
0.604,0,0,0,0,0,0
0.620,0,0,0,0,0,0
0.636,0,0,0,0,0,0
0.652,0,0,0,0,0,0
0.668,0,0,0,0,0,0
0.699,0,0,0,0,0,0
0.731,0,0,0,0,0,0
0.747,0,0,0,0,0,0
0.764,0,0,0,0,0,0
0.780,0,0,0,0,0,0
0.796,0,0,0,0,0,0
0.812,0,0,0,0,0,0
0.828,0,0,0,0,0,0
0.844,0,0,0,0,0,0
0.860,0,0,0,0,0,0
0.875,0,0,0,0,0,0
0.892,0,0,0,0,0,0
0.908,0,0,0,0,0,0
0.924,0,0,0,0,0,0
0.940,0,0,0,0,0,0
0.956,0,0,0,0,0,0
0.972,0,0,0,0,0,0
0.988,0,0,0,0,0,0
1.004,0,0,0,0,0,0
1.020,0,0,0,0,0,0
1.036,0,0,0,0,0,0
1.052,0,0,0,0,0,0
1.068,0,0,0,0,0,0
1.084,0,0,0,0,0,0
1.100,0,0,0,0,0,0
1.116,0,0,0,0,0,0
1.132,0,0,0,0,0,0
1.148,0,0,0,0,0,0
1.164,0,0,0,0,0,0
1.180,0,0,0,0,0,0
1.196,0,0,0,0,0,0
1.212,0,0,0,0,0,0
1.228,0,0,0,0,0,0
1.244,0,0,0,0,0,0
1.260,0,0,0,0,0,0
1.276,0,0,0,0,0,0
1.292,0,0,0,0,0,0
1.309,0,0,0,0,0,0
1.325,0,0,0,0,0,0
1.341,0,0,0,0,0,0
1.352,0,0,0,0,0,0
1.372,0,0,0,0,0,0
1.389,0,0,0,0,0,0
1.405,0,0,0,0,0,0
1.421,0,0,0,0,0,0
1.439,0,0,0,0,0,0
1.452,0,0,0,0,0,0
1.468,0,0,0,0,0,0
1.485,0,0,0,0,0,0
1.501,0,0,0,0,0,0
1.517,0,0,0,0,0,0
1.535,0,0,0,0,0,0
1.549,0,0,0,0,0,0
1.566,0,0,0,0,0,0
1.580,0,0,0,0,0,0
1.596,0,0,0,0,0,0
1.628,0,0,0,0,0,0
1.644,0,0,0,0,0,0
1.660,0,0,0,0,0,0
1.676,0,0,0,0,0,0
1.692,0,0,0,0,0,0
1.708,0,0,0,0,0,0
1.725,0,0,0,0,0,0
1.741,0,0,0,0,0,0
1.757,0,0,0,0,0,0
1.773,0,0,0,0,0,0
1.789,0,0,0,0,0,0
1.805,0,0,0,0,0,0
1.821,0,0,0,0,0,0
1.837,0,0,0,0,0,0
1.853,0,0,0,0,0,0
1.868,0,0,0,0,0,0
1.884,0,0,0,0,0,0
1.900,0,0,0,0,0,0
1.917,0,0,0,0,0,0
1.934,0,0,0,0,0,0
1.948,0,0,0,0,0,0
1.964,0,0,0,0,0,0
1.973,0,0,0,0,0,0
1.996,0,0,0,0,0,0
2.012,0,0,0,0,0,0
2.028,0,0,0,0,0,0
2.044,0,0,0,0,0,0
2.060,0,0,0,0,0,0
2.076,0,0,0,0,0,0
2.092,0,0,0,0,0,0
2.108,0,0,0,0,0,0
2.124,0,0,0,0,0,0
2.141,0,0,0,0,0,0
2.156,0,0,0,0,0,0
2.161,0,0,0,0,0,0
2.188,0,0,0,0,0,0
2.204,0,0,0,0,0,0
2.220,0,0,0,0,0,0
2.236,0,0,0,0,0,0
2.252,0,0,0,0,0,0
2.268,0,0,0,0,0,0
2.285,0,0,0,0,0,0
2.299,0,0,0,0,0,0
2.315,0,0,0,0,0,0
2.331,0,0,0,0,0,0
2.347,0,0,0,0,0,0
2.363,0,0,0,0,0,0
2.379,0,0,0,0,0,0
2.394,0,0,0,0,0,0
2.410,0,0,0,0,0,0
2.425,0,0,0,0,0,0
2.441,0,0,0,0,0,0
2.457,0,0,0,0,0,0
2.489,0,0,0,0,0,0
2.505,0,0,0,0,0,0
2.510,0,0,0,0,0,0
2.537,0,0,0,0,0,0
2.553,0,0,0,0,0,0
2.568,0,0,0,0,0,0
2.585,0,0,0,0,0,0
2.616,0,0,0,0,0,0
2.621,0,0,0,0,0,0
2.648,0,0,0,0,0,0
2.664,0,0,0,0,0,0
2.680,0,0,0,0,0,0
2.695,0,0,0,0,0,0
2.713,0,0,0,0,0,0
2.727,0,0,0,0,0,0
2.744,0,0,0,0,0,0
2.759,0,0,0,0,0,0
2.775,0,0,0,0,0,0
2.791,0,0,0,0,0,0
2.808,0,0,0,0,0,0
2.823,0,0,0,0,0,0
2.839,0,0,0,0,0,0
2.855,0,0,0,0,0,0
2.872,0,0,0,0,0,0
2.887,0,0,0,0,0,0
2.903,0,0,0,0,0,0
2.919,0,0,0,0,0,0
2.935,0,0,0,0,0,0
2.951,0,0,0,0,0,0
2.967,0,0,0,0,0,0
2.982,0,0,0,0,0,0
2.998,0,0,0,0,0,0
3.014,0,0,0,0,0,0
3.030,0,0,0,0,0,0
3.046,0,0,0,0,0,0
3.062,0,0,0,0,0,0
3.078,0,0,0,0,0,0
3.094,0,0,0,0,0,0
3.110,0,0,0,0,0,0
3.126,0,0,0,0,0,0
3.141,0,0,0,0,0,0
3.157,0,0,0,0,0,0
3.174,0,0,0,0,0,0
3.190,0,0,0,0,0,0
3.206,0,0,0,0,0,0
