frame_idx,t_rel
0,0.245
1,0.279
2,0.297
3,0.311
4,0.331
5,0.344
6,0.370
7,0.388
8,0.419
9,0.451
10,0.512
11,0.530
12,0.623
13,0.656
14,0.723
15,0.738
16,0.850
17,0.865
18,0.926
19,0.940
20,0.957
21,1.031
22,1.050
23,1.065
24,1.083
25,1.134
26,1.151
27,1.207
28,1.224
29,1.249
30,1.450
31,1.464
32,1.476
33,1.508
34,1.544
35,1.574
36,1.614
37,1.626
38,1.645
39,1.739
40,1.774
41,1.784
42,1.851
43,1.949
44,1.963
45,2.023
46,2.038
47,2.092
48,2.277
49,2.295
50,2.311
51,2.327
52,2.372
53,2.469
54,2.478
55,2.566
56,2.577
57,2.676
58,2.767
59,2.782
60,2.877
61,2.911
62,2.975
63,3.134
64,3.149
65,3.184
66,3.216
67,3.282
68,3.297
69,3.316
70,3.389
71,3.413
72,3.497
73,3.513
74,3.703
75,3.725
76,3.736
77,3.810
78,3.827
79,3.897
80,3.910
81,3.926
82,3.999
83,4.015
84,4.198
85,4.216
86,4.232
87,4.248
88,4.311
89,4.326
90,4.417
91,4.433
92,4.615
93,4.641
94,4.656
95,4.832
96,4.860
97,4.874
98,4.898
99,4.928
100,4.943
101,5.022
102,5.042
103,5.118
104,5.139
105,5.147
106,5.228
107,5.245
108,5.324
109,5.341
110,5.438
111,5.537
112,5.552
113,5.647
114,5.679
115,5.743
116,5.758
117,5.786
118,5.821
119,5.850
120,5.945
121,5.961
122,6.042
123,6.056
124,6.152
125,6.173
126,6.247
127,6.268
128,6.461
129,6.474
130,6.484
131,6.572
132,6.586
133,6.666
134,6.678
135,6.761
136,6.776
137,6.789
