t_rel,lr,fb,ud,yaw,height_cm,yaw_deg
0.179,0,0,0,0,0,-125
0.271,0,0,0,0,0,-125
0.289,0,0,0,0,0,-125
0.306,0,0,0,0,0,-125
0.321,0,0,0,0,0,-125
0.334,0,0,0,0,0,-125
0.362,0,0,0,0,0,-125
0.378,0,0,0,0,0,-125
0.389,0,0,0,0,0,-125
0.410,0,0,0,0,0,-125
0.423,0,0,0,0,0,-125
0.443,0,0,0,0,0,-125
0.458,0,0,0,0,0,-125
0.474,0,0,0,0,0,-125
0.490,0,0,0,0,0,-125
0.506,0,0,0,0,0,-125
0.522,0,0,0,0,0,-125
0.538,0,0,0,0,0,-125
0.554,0,0,0,0,0,-125
0.570,0,0,0,0,0,-125
0.585,0,0,0,0,0,-125
0.602,0,0,0,0,0,-125
0.617,0,0,0,0,0,-125
0.630,0,0,0,0,0,-125
0.649,0,0,0,0,0,-125
0.665,0,0,0,0,0,-125
0.681,0,0,0,0,0,-125
0.697,0,0,0,0,0,-125
0.712,0,0,0,0,0,-125
0.724,0,0,0,0,0,-125
0.737,0,0,0,0,0,-125
0.760,0,0,0,0,0,-125
0.775,0,0,0,0,0,-125
0.791,0,0,0,0,0,-125
0.808,0,0,0,0,0,-125
0.823,0,0,0,0,0,-125
0.839,0,0,0,0,0,-125
0.856,0,0,0,0,0,-125
0.869,0,0,0,0,0,-125
0.887,0,0,0,0,0,-125
0.902,0,0,0,0,0,-125
0.918,0,0,0,0,0,-125
0.926,0,0,0,0,0,-125
0.950,0,0,0,0,0,-125
0.956,0,0,0,0,0,-125
0.981,0,0,0,0,0,-125
0.989,0,0,0,0,0,-125
1.004,0,0,0,0,0,-125
1.020,0,0,0,0,0,-125
1.039,0,0,0,0,0,-125
1.053,0,0,0,0,0,-125
1.074,0,0,0,0,0,-125
1.090,0,0,0,0,0,-125
1.099,0,0,0,0,0,-125
1.109,0,0,0,0,0,-125
1.117,0,0,0,0,0,-125
1.126,0,0,0,0,0,-125
1.138,0,0,0,0,0,-125
1.159,0,0,0,0,0,-125
1.170,0,0,0,0,0,-125
1.183,0,0,0,0,0,-125
1.200,0,0,0,0,0,-125
1.215,0,0,0,0,0,-125
1.223,0,0,0,0,0,-125
1.240,0,0,0,0,0,-125
1.251,0,0,0,0,0,-125
1.273,0,0,0,0,0,-125
1.290,0,0,0,0,0,-125
1.304,0,0,0,0,0,-125
1.320,0,0,0,0,0,-125
1.335,0,0,0,0,0,-125
1.351,0,0,0,0,0,-125
1.367,0,0,0,0,0,-125
1.383,0,0,0,0,0,-125
1.399,0,0,0,0,0,-125
1.415,0,0,0,0,0,-125
1.424,0,0,0,0,0,-125
1.438,0,0,0,0,0,-125
1.454,0,0,0,0,0,-125
1.470,0,0,0,0,0,-125
1.502,0,0,0,0,0,-125
1.518,0,0,0,0,0,-125
1.535,0,0,0,0,0,-125
1.550,0,0,0,0,0,-125
1.566,0,0,0,0,0,-125
1.574,0,0,0,0,0,-125
1.590,0,0,0,0,0,-125
1.607,0,0,0,0,0,-125
1.621,0,0,0,0,0,-125
1.636,0,0,0,0,0,-125
1.652,0,0,0,0,0,-125
1.663,0,0,0,0,0,-125
1.677,0,0,0,0,0,-125
1.693,0,0,0,0,0,-125
1.701,0,0,0,0,0,-125
1.717,0,0,0,0,0,-125
1.732,0,0,0,0,0,-125
1.764,0,0,0,0,0,-125
1.774,0,0,0,0,0,-125
1.796,0,0,0,0,0,-125
