t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,-125,2,-3,10
0.104,0,10,-2.000000000002,-125,2,-3,10
0.207,0,10,-3.0,-125,2,-3,10
0.321,0,10,-1.0,-125,2,-3,10
0.426,0,10,-3.0,-125,2,-3,10
0.540,0,10,-3.0,-125,2,-3,10
0.650,0,10,-4.0,-125,2,-3,10
0.761,0,10,3.999999999998,-125,2,-3,10
0.871,0,10,-5.000000000002,-125,2,-3,10
0.982,0,10,-2.000000000002,-125,2,-3,10
1.083,0,10,-2.000000000002,-125,2,-3,10
1.199,0,10,-5.000000000002,-125,2,-3,10
1.304,0,10,-6.0,-125,2,-3,10
1.415,0,10,-6.0,-125,2,-3,10
1.518,0,10,-1.0,-125,2,-3,10
1.621,0,10,-7.0,-125,2,-3,10
1.734,0,10,-7.0,-125,2,-3,10
1.843,0,10,-7.999999999998,-125,2,-3,10
1.955,0,10,-4.0,-125,2,-3,10
2.065,0,10,-1.0,-125,2,-3,10
2.176,0,10,-1.0,-125,2,-3,10
2.287,0,10,-1.0,-125,2,-3,10
2.399,0,10,-7.0,-125,2,-3,10
2.508,0,10,-5.000000000002,-125,2,-3,10
2.621,0,10,-4.0,-125,2,-3,10
2.731,0,10,-7.999999999998,-125,2,-3,10
2.842,0,10,-4.0,-125,2,-3,10
2.953,0,10,-6.0,-125,2,-3,10
3.065,0,10,-6.0,-125,2,-3,10
3.176,0,10,-9.0,-125,2,-3,10
3.282,0,10,-4.0,-125,2,-3,10
3.391,0,10,0.0,-125,2,-3,10
3.497,0,10,-5.000000000002,-125,2,-3,10
3.614,0,10,-5.000000000002,-125,2,-3,10
3.727,0,10,-4.0,-125,2,-3,10
3.835,0,10,0.0,-125,2,-3,10
3.942,0,10,-4.0,-125,2,-3,10
4.047,0,10,-3.0,-125,2,-3,10
4.159,0,10,-3.0,-125,2,-3,10
4.271,0,10,-4.0,-125,2,-3,10
4.382,0,10,-7.0,-125,2,-3,10
4.492,0,10,-6.0,-125,2,-3,10
4.604,0,10,-6.0,-125,2,-3,10
4.715,0,10,-7.999999999998,-125,2,-3,10
4.826,0,10,-1.0,-125,2,-3,10
4.937,0,10,-5.000000000002,-125,2,-3,10
5.049,0,10,-7.0,-125,2,-3,10
5.160,0,10,-12.0,-125,2,-3,10
5.273,0,10,-10.0,-125,2,-3,10
5.384,0,10,-9.0,-125,2,-3,10
5.495,0,10,-5.000000000002,-125,2,-3,10
5.606,0,10,-4.0,-125,2,-3,10
5.719,0,10,-4.0,-125,2,-3,10
5.828,0,10,-7.999999999998,-125,2,-3,10
5.941,0,10,-7.0,-125,2,-3,10
6.052,0,10,-7.999999999998,-125,2,-3,10
6.163,0,10,-4.0,-125,2,-3,10
6.274,0,10,-5.000000000002,-125,2,-3,10
6.386,0,10,-5.000000000002,-125,2,-3,10
6.497,0,10,-9.0,-125,2,-3,10
6.609,0,10,-6.0,-125,2,-3,10
6.720,0,10,-10.999999999998,-125,2,-3,10
6.832,0,10,-10.0,-125,2,-3,10
6.937,0,10,-10.0,-125,2,-3,10
7.047,0,10,-9.0,-125,2,-3,10
7.158,0,10,-10.999999999998,-125,2,-3,10
