frame_idx,t_rel
0,0.233
1,0.271
2,0.286
3,0.297
4,0.313
5,0.329
6,0.355
7,0.364
8,0.378
9,0.525
10,0.542
11,0.559
12,0.576
13,0.822
14,0.852
15,1.650
16,1.681
17,1.694
18,1.777
19,1.793
20,1.855
21,1.948
22,1.966
23,2.367
24,2.378
25,7.389
26,7.461
27,7.478
28,7.495
29,7.526
30,7.590
31,7.606
32,7.651
33,7.700
34,7.787
35,7.915
36,7.930
37,7.995
38,8.026
39,8.111
40,8.142
41,8.172
42,8.185
43,8.221
44,8.285
45,8.300
46,8.345
47,8.362
48,8.416
49,8.492
50,8.508
51,8.523
52,8.622
53,8.632
54,8.653
55,8.716
56,8.765
57,8.792
58,8.823
59,8.859
60,8.924
61,8.988
62,9.002
63,9.015
64,9.048
65,9.095
66,9.116
67,9.174
68,9.190
69,9.221
70,9.317
71,9.368
72,9.429
73,9.444
74,9.492
75,9.526
76,9.556
77,9.606
78,9.621
79,9.698
80,9.765
81,9.775
82,9.791
83,9.810
84,9.872
85,9.888
86,9.934
87,9.952
88,10.017
89,10.025
90,10.049
91,10.080
92,10.112
93,10.160
94,10.203
95,10.222
96,10.283
97,10.298
98,10.331
99,10.347
100,10.397
101,10.427
102,10.461
103,10.508
104,10.523
105,10.551
106,10.633
107,10.651
108,10.658
109,10.696
110,10.760
111,10.772
112,10.840
113,10.853
114,10.883
115,10.933
116,10.953
117,11.017
118,11.027
119,11.062
120,11.094
121,11.142
122,11.165
123,11.217
124,11.237
125,11.273
126,11.303
127,11.380
128,11.438
129,11.457
130,11.489
131,11.545
132,11.559
133,11.580
134,11.595
135,11.663
136,11.694
137,11.715
138,11.802
139,11.840
140,11.854
141,11.887
142,12.009
143,12.040
144,12.056
145,12.087
146,12.119
147,12.166
148,12.189
149,12.230
150,12.281
151,12.295
152,12.311
153,12.358
154,12.389
155,12.426
156,12.470
157,12.488
158,12.567
159,12.607
160,12.615
161,12.659
162,12.707
163,12.723
164,12.792
165,12.804
166,12.815
167,12.851
168,12.913
169,12.977
170,12.993
171,13.012
172,13.058
173,13.103
174,13.119
175,13.184
176,13.201
177,13.215
178,13.247
179,13.299
180,13.327
181,13.359
182,13.424
183,13.441
184,13.485
185,13.532
186,13.593
187,13.607
188,13.627
189,13.650
190,13.724
191,13.736
192,13.782
193,13.790
194,13.848
195,13.857
196,13.891
197,13.937
198,13.963
199,14.004
200,14.029
201,14.046
202,14.134
203,14.148
204,14.182
205,14.241
206,14.253
207,14.295
208,14.315
209,14.347
210,14.407
211,14.423
212,14.456
213,14.475
