t_rel,lr,fb,ud,yaw,height_cm,yaw_deg
0.175,0,0,0,0,0,1
0.261,0,0,0,0,0,1
0.277,0,0,0,0,0,1
0.291,0,0,0,0,0,1
0.305,0,0,0,0,0,1
0.315,0,0,0,0,0,1
0.345,0,0,0,0,0,1
0.361,0,0,0,0,0,1
0.365,0,0,0,0,0,1
0.379,0,0,0,0,0,1
0.392,0,0,0,0,0,1
0.410,0,0,0,0,0,1
0.424,0,0,0,0,0,1
0.440,0,0,0,0,0,1
0.456,0,0,0,0,0,1
0.472,0,0,0,0,0,1
0.488,0,0,0,0,0,1
0.504,0,0,0,0,0,1
0.519,0,0,0,0,0,1
0.535,0,0,0,0,0,1
0.551,0,0,0,0,0,1
0.567,0,0,0,0,0,1
0.583,0,0,0,0,0,1
0.599,0,0,0,0,0,1
0.616,0,0,0,0,0,1
0.631,0,0,0,0,0,1
0.647,0,0,0,0,0,1
0.663,0,0,0,0,0,1
0.679,0,0,0,0,0,1
0.695,0,0,0,0,0,1
0.710,0,0,0,0,0,1
0.728,0,0,0,0,0,1
0.744,0,0,0,0,0,1
0.759,0,0,0,0,0,1
0.774,0,0,0,0,0,1
0.790,0,0,0,0,0,1
0.799,0,0,0,0,0,1
0.816,0,0,0,0,0,1
0.823,0,0,0,0,0,1
0.847,0,0,0,0,0,1
0.852,0,0,0,0,0,1
0.878,0,0,0,0,0,1
0.894,0,0,0,0,0,1
0.910,0,0,0,0,0,1
0.926,0,0,0,0,0,1
0.944,0,0,0,0,0,1
0.958,0,0,0,0,0,1
0.974,0,0,0,0,0,1
0.983,0,0,0,0,0,1
0.998,0,0,0,0,0,1
1.014,0,0,0,0,0,1
1.030,0,0,0,0,0,1
1.046,0,0,0,0,0,1
1.062,0,0,0,0,0,1
1.077,0,0,0,0,0,1
1.093,0,0,0,0,0,1
1.109,0,0,0,0,0,1
1.125,0,0,0,0,0,1
1.141,0,0,0,0,0,1
1.151,0,0,0,0,0,1
1.165,0,0,0,0,0,1
1.181,0,0,0,0,0,1
1.197,0,0,0,0,0,1
1.215,0,0,0,0,0,1
1.229,0,0,0,0,0,1
1.245,0,0,0,0,0,1
1.261,0,0,0,0,0,1
1.277,0,0,0,0,0,1
1.294,0,0,0,0,0,1
1.310,0,0,0,0,0,1
1.316,0,0,0,0,0,1
1.326,0,0,0,0,0,1
1.342,0,0,0,0,0,1
1.358,0,0,0,0,0,1
1.366,0,0,0,0,0,1
1.383,0,0,0,0,0,1
1.399,0,0,0,0,0,1
1.416,0,0,0,0,0,1
1.430,0,0,0,0,0,1
1.447,0,0,0,0,0,1
1.463,0,0,0,0,0,1
1.478,0,0,0,0,0,1
1.494,0,0,0,0,0,1
1.511,0,0,0,0,0,1
1.527,0,0,0,0,0,1
1.545,0,0,0,0,0,1
1.554,0,0,0,0,0,1
1.566,0,0,0,0,0,1
1.576,0,0,0,0,0,1
1.592,0,0,0,0,0,1
1.607,0,0,0,0,0,1
1.625,0,0,0,0,0,1
1.640,0,0,0,0,0,1
1.656,0,0,0,0,0,1
1.672,0,0,0,0,0,1
1.688,0,0,0,0,0,1
1.702,0,0,0,0,0,1
1.720,0,0,0,0,0,1
1.738,0,0,0,0,0,1
1.752,0,0,0,0,0,1
1.768,0,0,0,0,0,1
