t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,6553,0.0,1,1,0,69
0.111,0,6553,0.0,1,1,0,69
0.224,0,6553,-2.000000000002,1,1,0,69
0.329,0,6553,-2.000000000002,1,1,0,69
0.440,0,6553,-2.000000000002,1,1,0,69
0.551,0,6553,-2.000000000002,1,1,0,69
0.662,0,6553,0.0,1,1,0,69
0.774,0,6553,0.0,1,1,0,69
0.878,0,6553,-2.000000000002,1,1,0,69
0.982,0,6553,-2.000000000002,1,1,0,69
1.093,0,6553,-2.000000000002,1,1,0,69
1.197,0,6553,-2.000000000002,1,1,0,69
1.310,0,6553,0.0,1,1,0,69
1.414,0,6553,0.999999999998,1,1,0,69
1.528,0,6553,0.0,1,1,0,69
1.641,0,6553,-2.000000000002,1,1,0,69
1.753,0,6553,-2.000000000002,1,1,0,69
1.863,0,6553,1.999999999998,1,1,0,69
1.975,0,6553,0.999999999998,1,1,0,69
2.085,0,6553,0.999999999998,1,1,0,69
2.197,0,6553,-5.000000000002,1,1,0,69
2.308,0,6553,-2.000000000002,1,1,0,69
2.422,0,6553,0.999999999998,1,1,0,69
2.533,0,6553,0.999999999998,1,1,0,69
2.646,0,6553,-10.000000000004,1,1,0,69
2.759,0,6553,-1.000000000002,1,1,0,69
2.871,0,6553,-1.000000000002,1,1,0,69
2.983,0,6553,-1.000000000002,1,1,0,69
3.096,0,6553,-1.000000000002,1,1,0,69
3.198,0,6553,-1.000000000002,1,1,0,69
3.311,0,6553,-1.000000000002,1,0,0,69
3.416,0,6553,-1.000000000002,1,0,0,69
3.528,0,10,-1.000000000002,0,0,0,69
3.632,0,15,34.999999999998,0,0,0,69
3.744,10,25,37.999999999998,0,0,-1,69
3.849,10,25,37.999999999998,0,0,-1,69
3.960,30,45,62.999999999998,0,-1,-1,69
4.072,30,6553,65.999999999998,0,-1,-1,69
4.185,30,6553,65.999999999998,0,-1,-1,69
4.297,40,6553,69.999999999998,0,-2,-1,69
4.409,60,6553,82.999999999998,0,-2,-2,69
4.520,60,6553,86.999999999996,1,-1,-2,69
4.633,60,6553,88.999999999998,0,-1,-1,69
4.746,70,6553,94.0,0,-1,-1,69
4.858,70,6553,94.0,0,-1,-1,69
4.971,70,6553,85.999999999998,0,-1,-1,69
5.083,70,6553,91.999999999998,0,-2,-1,69
5.195,70,6553,82.999999999998,0,-1,-1,69
5.307,70,6553,82.999999999998,0,-1,-1,69
5.419,70,6553,94.999999999998,0,-2,-1,69
5.535,70,6553,95.999999999998,0,-1,-1,69
5.645,70,6553,86.999999999996,0,-1,-1,69
5.757,70,6553,86.999999999996,0,-1,-1,69
5.869,70,6553,103.0,0,-1,-1,69
5.981,70,6553,103.0,0,-1,-1,69
6.093,80,6553,97.0,0,-1,-1,69
6.205,80,6553,92.999999999998,0,-1,-1,69
6.316,80,6553,92.999999999998,0,-1,-1,69
6.428,80,97,92.999999999998,1,-1,-1,69
6.541,80,97,92.999999999998,1,-1,-1,69
6.654,80,6553,95.999999999998,1,-1,-1,69
6.766,80,6553,90.999999999998,0,-1,-1,69
6.878,80,6553,90.999999999998,0,-1,-1,69
6.990,80,6553,91.999999999998,0,-1,-1,69
7.102,80,6553,91.999999999998,0,-1,-1,69
7.213,80,6553,90.999999999998,0,-1,-2,69
7.324,80,6553,90.999999999998,0,-1,-2,69
7.435,80,6553,86.999999999996,0,-1,-2,69
7.547,70,6553,88.999999999998,0,-1,-1,69
7.656,70,6553,84.999999999998,0,-1,-1,69
7.766,70,6553,88.999999999998,0,-1,-1,69
7.877,70,6553,97.0,0,-1,-1,69
7.989,70,6553,75.0,1,-2,-1,69
8.100,70,6553,75.0,1,-2,-1,69
8.211,70,6553,89.999999999996,0,-2,-1,69
8.323,70,6553,84.999999999998,0,-2,-1,69
8.435,70,6553,90.999999999998,0,-2,-1,69
8.548,70,6553,85.999999999998,0,-2,-1,69
8.659,70,6553,80.999999999996,1,-1,-1,69
8.771,70,6553,86.999999999996,1,-1,-1,69
8.882,70,6553,81.999999999998,0,-1,-1,69
8.995,80,6553,94.0,0,-1,-1,69
9.106,80,94,90.999999999998,0,-1,-1,69
9.217,80,6553,94.0,0,-1,-1,69
9.328,80,6553,94.999999999998,0,-1,-1,69
9.439,80,105,89.999999999996,0,-1,-1,69
9.549,90,6553,100.0,0,-1,-1,69
9.660,90,116,104.999999999998,0,-1,0,69
9.770,90,118,105.999999999996,0,-1,0,69
9.882,100,6553,110.999999999998,1,-1,-1,69
9.992,100,131,114.999999999996,1,-2,-1,69
10.104,110,144,113.999999999998,0,-1,-2,69
10.214,110,148,120.999999999998,0,-1,-2,69
10.325,110,6553,119.999999999998,1,-1,-2,69
10.435,120,153,128.999999999998,1,-1,-1,69
10.546,120,171,128.999999999998,1,-1,-2,69
10.656,120,178,128.999999999998,0,-1,-2,69
10.768,130,174,131.999999999998,0,-1,-1,69
10.878,130,186,134.999999999998,0,-1,-1,69
10.989,130,196,147.0,0,0,-1,69
11.100,140,197,144.0,0,-1,-1,69
11.212,140,208,147.999999999998,0,-1,-1,69
11.323,140,215,139.999999999996,0,-1,-1,69
11.428,150,225,147.0,0,-1,-1,69
11.536,160,227,147.0,0,-1,0,69
11.638,160,252,163.999999999998,0,-1,0,69
11.749,160,252,163.999999999998,0,-1,0,69
11.861,170,256,169.0,0,-2,0,69
11.971,170,256,169.0,0,-2,0,69
12.083,180,269,166.999999999998,0,-2,0,69
12.193,180,267,179.999999999998,1,-2,-1,69
12.305,180,283,175.999999999998,1,-2,-1,69
12.416,190,276,175.0,1,-2,-2,69
12.527,190,290,183.999999999996,1,-2,-2,69
12.639,190,292,186.999999999996,1,-2,-2,69
12.751,200,289,182.999999999998,1,-2,-2,69
12.861,200,310,188.999999999998,0,-2,-2,69
12.971,200,309,185.999999999998,0,-2,-2,69
13.082,210,321,195.999999999998,1,-2,-2,69
13.194,210,313,190.999999999998,1,-2,-2,69
13.306,220,327,201.999999999998,1,-1,-2,69
13.419,230,321,200.999999999998,0,-1,-2,69
13.524,230,334,200.999999999998,0,0,-2,69
13.632,230,334,200.999999999998,0,0,-2,69
13.740,240,368,203.0,1,0,-2,69
13.840,240,362,203.999999999998,1,0,-2,69
13.944,250,367,201.999999999998,1,0,-2,69
14.046,260,346,197.999999999998,1,0,-2,69
14.151,260,344,203.999999999998,1,0,-2,69
14.257,260,363,200.999999999998,1,0,-2,69
14.370,270,353,205.999999999996,1,0,-2,69
14.481,270,338,200.0,1,-1,-2,69
14.593,270,348,203.999999999998,1,-1,-3,69
14.704,270,346,203.0,1,-1,-3,69
14.815,270,362,197.999999999998,0,-1,-2,69
14.927,270,337,206.999999999998,0,-1,-2,69
15.040,270,351,200.0,0,-1,-2,69
15.152,270,363,198.999999999998,0,-1,-1,69
15.264,270,359,204.999999999998,0,-2,-1,69
15.375,280,378,197.0,0,-2,-1,69
15.488,280,381,203.999999999998,0,-2,0,69
15.599,280,366,194.0,0,-2,0,69
15.710,280,387,200.999999999998,0,-2,0,69
15.822,290,362,206.999999999998,0,-1,0,69
15.934,290,374,206.999999999998,1,-1,0,69
16.046,290,387,208.999999999996,1,-1,0,69
16.158,290,381,205.999999999996,0,-1,-1,69
16.270,300,400,206.999999999998,0,-1,-1,69
16.381,300,384,208.999999999996,0,-1,-1,69
16.492,300,389,214.999999999996,0,-1,-1,69
16.604,300,388,212.999999999998,1,-1,-1,69
16.717,300,404,220.999999999998,1,-1,-1,69
16.828,310,402,208.999999999996,1,-1,-1,69
16.940,310,402,209.999999999998,1,-1,-1,69
17.050,310,402,215.999999999998,1,-1,-1,69
17.163,310,402,215.999999999998,1,-1,-1,69
17.276,320,405,217.999999999998,1,0,-1,69
17.386,320,406,228.0,1,0,-1,69
17.498,330,435,220.999999999998,1,0,-1,69
17.609,330,439,217.999999999998,1,0,-1,69
17.720,340,436,228.0,1,0,-2,69
17.832,340,432,217.999999999998,1,0,-2,69
17.943,340,433,226.999999999998,1,0,-2,69
18.055,340,424,226.999999999998,0,0,-3,69
18.167,350,412,223.999999999998,0,0,-3,69
18.278,350,410,234.999999999998,0,0,-2,69
18.389,350,435,228.999999999998,0,0,-2,69
18.501,350,435,228.999999999998,0,0,-2,69
18.613,350,460,239.999999999996,1,-1,-1,69
18.726,350,430,242.999999999998,1,-1,-1,69
18.837,360,429,237.999999999998,1,-1,-1,69
18.948,360,444,241.999999999998,1,-1,0,69
19.057,360,461,233.999999999996,1,-1,0,69
19.168,360,456,248.999999999998,1,-2,-1,69
19.280,370,486,245.999999999998,1,-1,-1,69
19.392,370,486,245.999999999998,1,-1,-1,69
19.503,380,470,247.999999999998,1,0,-2,69
19.616,380,477,250.999999999998,1,1,-2,69
19.727,380,477,250.999999999998,1,1,-2,69
19.839,390,492,255.999999999996,1,2,-3,69
19.951,390,500,258.999999999996,1,2,-3,69
20.063,390,486,261.999999999996,1,2,-3,69
20.174,390,502,258.999999999996,1,2,-3,69
20.285,400,482,253.0,1,1,-3,69
20.397,400,477,265.999999999998,1,1,-3,69
20.508,400,500,269.0,1,0,-1,69
20.620,410,504,264.999999999996,0,0,-1,69
20.732,410,506,269.0,1,0,-1,69
20.844,410,542,273.999999999998,1,-1,0,69
20.955,420,522,269.0,1,-1,0,69
21.065,420,525,269.999999999998,1,-1,0,69
21.177,420,509,275.0,1,-1,0,69
21.289,430,530,278.0,1,0,-1,69
21.402,430,531,286.999999999996,1,0,-1,68
21.514,430,513,289.999999999996,1,0,-2,68
21.626,440,529,292.999999999998,1,0,-2,68
21.738,440,518,285.999999999998,1,1,-3,68
21.850,440,522,292.999999999998,1,1,-3,68
21.961,440,500,298.999999999998,1,1,-3,68
22.073,440,515,295.999999999998,1,1,-3,68
22.186,440,525,294.0,1,1,-3,68
22.298,440,550,303.999999999998,0,1,-2,68
22.412,440,550,303.999999999998,0,1,-2,68
22.522,450,558,309.999999999998,0,1,-2,68
22.634,450,565,306.999999999998,0,0,-1,68
22.746,460,574,306.999999999998,0,0,-1,68
22.859,460,567,312.999999999998,0,0,0,68
22.970,460,586,313.999999999998,0,0,0,68
23.082,470,566,315.999999999998,0,0,0,68
23.195,470,568,319.0,0,-1,0,68
23.306,480,564,319.999999999998,0,-1,-1,68
23.418,480,552,331.999999999998,0,0,-1,68
23.529,480,552,331.999999999998,0,0,-1,68
23.641,480,559,328.0,0,0,-3,68
23.754,480,553,329.999999999998,0,0,-3,68
23.866,470,538,331.999999999998,0,1,-4,68
23.978,470,544,334.999999999998,0,1,-4,68
24.089,470,548,341.999999999998,0,1,-4,68
24.201,470,598,345.999999999998,0,2,-3,68
24.314,480,583,350.0,0,2,-3,67
24.424,480,611,348.999999999998,0,1,-2,67
24.537,490,614,350.999999999998,0,1,-1,67
24.649,490,615,359.999999999998,0,1,-1,67
24.760,490,615,359.999999999998,0,1,-1,67
24.872,500,604,364.999999999996,0,0,-1,67
24.985,510,623,366.999999999998,0,0,-1,67
25.098,510,606,375.0,0,0,-1,67
25.210,520,578,376.999999999998,0,0,-2,67
25.323,520,578,376.999999999998,0,0,-2,67
25.435,520,577,375.0,1,0,-3,67
25.546,520,572,389.999999999996,1,0,-3,67
25.658,520,572,389.999999999996,1,0,-3,67
25.772,510,577,397.0,1,1,-4,67
25.883,510,598,400.999999999998,1,1,-3,67
25.994,500,604,397.999999999998,1,1,-3,67
26.105,510,622,398.999999999998,1,2,-2,67
26.215,510,637,403.0,1,2,-2,67
26.326,520,616,400.999999999998,1,1,-2,66
26.439,520,625,406.999999999998,1,1,-2,66
26.552,520,618,408.999999999996,1,0,-2,66
26.664,520,624,407.999999999998,1,0,-1,66
26.778,520,625,401.999999999998,1,0,-1,66
26.890,520,632,407.999999999998,1,1,0,66
27.002,530,640,409.999999999998,1,0,0,66
27.114,530,628,408.999999999996,1,0,0,66
27.226,530,622,415.999999999998,1,0,-1,66
27.338,530,614,408.999999999996,1,0,0,66
27.450,530,622,408.999999999996,1,0,-1,66
27.563,530,624,404.999999999998,1,0,-1,66
27.675,530,624,404.999999999998,1,0,-1,66
27.786,530,572,408.999999999996,0,0,-4,66
27.898,520,556,404.999999999998,0,0,-7,66
28.009,510,542,403.0,0,0,-8,66
28.121,490,581,409.999999999998,0,0,-8,66
28.233,490,597,405.999999999996,0,1,-8,66
28.345,490,597,405.999999999996,0,1,-8,66
28.458,490,638,416.999999999998,0,2,-7,66
28.570,500,643,422.999999999998,0,2,-6,66
28.681,500,640,422.0,0,1,-5,66
28.792,510,642,426.999999999998,0,1,-4,66
28.905,520,651,422.999999999998,0,1,-4,66
29.016,530,655,433.999999999996,0,1,-4,66
29.128,540,628,436.999999999996,0,0,-3,66
29.240,540,628,436.999999999996,0,0,-3,66
29.352,540,618,434.999999999998,0,0,-3,66
29.464,540,601,429.999999999998,0,0,-3,66
29.575,540,601,429.999999999998,0,0,-3,66
29.687,530,607,425.0,0,0,-4,66
29.798,520,593,435.999999999998,1,0,-4,66
29.910,520,586,436.999999999996,1,0,-4,66
30.022,510,573,428.0,1,0,-3,66
30.134,510,588,428.0,1,0,-3,66
30.244,500,576,431.999999999998,1,0,-4,66
30.356,500,581,431.999999999998,1,0,-4,66
30.468,500,571,438.999999999998,1,0,-4,65
30.582,490,558,439.999999999996,1,0,-2,65
30.691,490,572,444.999999999998,1,0,-1,65
30.803,490,593,444.0,1,0,0,65
30.914,490,579,450.0,1,0,0,65
31.026,490,593,453.0,1,0,-1,65
31.137,500,589,453.0,1,0,-1,65
31.249,500,577,456.999999999998,1,0,-1,65
31.361,500,590,465.999999999998,2,0,-1,65
31.473,500,596,466.999999999998,4,0,-1,65
31.585,510,594,470.999999999998,9,0,-2,65
31.697,510,609,479.999999999998,12,0,-2,65
31.808,510,614,475.999999999998,14,0,-3,65
31.920,510,609,486.999999999996,16,0,-2,65
32.032,520,618,481.999999999998,19,-1,0,65
32.144,520,613,484.999999999998,21,0,-1,65
32.255,520,619,487.999999999998,22,0,-2,65
32.367,520,610,482.999999999998,23,0,-2,65
32.478,520,609,486.999999999996,23,1,-2,65
32.590,520,619,497.0,24,1,-2,65
