t_rel,height_cm,tof_cm,baro_rel_cm,yaw_deg,pitch_deg,roll_deg,battery_pct
0.000,0,10,0.0,0,0,0,89
0.102,0,10,-4.0,0,0,0,89
0.209,0,10,0.0,0,0,0,89
0.315,0,10,-2.0,0,0,0,89
0.424,0,10,0.0,0,0,0,89
0.527,0,10,-4.0,0,0,0,89
0.639,0,10,-4.0,0,0,0,89
0.742,0,10,-4.0,0,0,0,89
0.846,0,10,-2.0,0,0,0,89
0.959,0,10,-4.0,0,0,0,88
1.062,0,10,-7.0,0,0,0,88
1.174,0,10,-2.0,0,0,0,88
1.277,0,10,-2.0,0,0,0,88
1.390,0,10,-1.0,0,0,0,88
1.493,0,10,1.0,0,0,0,88
1.597,0,10,1.0,0,0,0,88
1.710,0,10,-4.0,0,0,0,88
1.821,0,10,-4.0,0,0,0,88
1.925,0,10,-3.0,0,0,0,88
2.029,0,10,-6.0,0,0,0,88
2.142,0,10,-4.0,0,0,0,88
2.245,0,10,-2.0,0,0,0,88
2.358,0,10,-5.0,0,0,0,88
2.462,0,10,-2.0,0,0,0,88
2.573,0,10,-5.0,0,0,0,88
2.679,0,10,-2.0,0,0,0,88
2.789,0,10,-2.0,0,0,0,88
2.893,0,10,1.0,0,0,0,88
3.005,0,10,-2.0,0,0,0,88
3.109,0,10,0.0,0,0,0,88
3.212,0,10,-5.0,0,0,0,88
3.324,0,10,-1.0,0,0,0,88
3.428,0,10,-5.0,0,0,0,88
3.539,0,10,-2.0,0,0,0,88
3.643,0,10,-1.0,0,0,0,88
3.754,0,10,-2.0,0,0,0,88
3.858,0,10,-2.0,0,0,0,88
3.960,0,10,-7.0,0,0,0,88
4.063,0,10,-2.0,0,0,0,88
4.171,0,10,0.0,0,0,0,88
4.275,0,10,0.0,0,0,0,88
4.378,0,10,-3.0,0,0,0,88
4.490,0,10,-1.0,0,0,0,88
4.593,0,10,2.0,0,0,0,88
4.697,0,10,-1.0,0,0,0,88
4.808,0,10,-2.0,0,0,0,88
4.911,0,10,-3.0,0,0,0,88
5.022,0,10,-2.0,0,0,0,88
5.127,0,10,-2.0,0,0,0,88
5.239,0,10,-1.0,0,0,0,88
5.342,0,10,-2.0,0,0,0,88
5.446,0,10,3.0,0,0,0,88
5.557,0,10,-3.0,0,0,0,88
5.661,0,10,-5.0,0,0,0,88
5.772,0,10,-1.0,0,0,0,88
5.879,0,10,-5.0,0,0,0,88
5.989,0,10,-3.0,0,0,0,88
6.093,0,10,-2.0,0,0,0,88
6.197,0,10,-3.0,0,0,0,88
6.308,0,10,0.0,0,0,0,88
6.412,0,10,-1.0,0,0,0,88
6.523,0,10,-1.0,0,0,0,88
6.627,0,10,-2.0,0,0,0,88
6.739,0,10,-2.0,0,0,0,88
6.843,0,10,0.0,0,0,0,88
6.947,0,10,-3.0,0,0,0,88
7.060,0,10,-6.0,0,0,0,88
7.163,0,10,-5.0,0,0,0,88
7.275,0,10,-8.0,0,0,0,88
7.377,0,10,-3.0,0,0,0,88
7.489,0,10,-3.0,0,0,0,88
7.594,0,10,-3.0,0,0,0,88
7.695,0,10,-4.0,0,0,0,88
7.807,0,10,1.0,0,0,0,88
7.910,0,10,-4.0,0,0,0,88
8.015,0,10,0.0,0,0,0,88
8.125,0,10,-3.0,0,0,0,88
8.230,0,10,-1.0,0,0,0,88
8.341,0,10,-8.0,0,0,0,88
8.445,0,10,-3.0,0,0,0,88
8.556,0,10,-1.0,0,0,0,88
8.660,0,10,-1.0,0,0,0,88
8.764,0,10,-1.0,0,0,0,88
8.874,0,10,0.0,0,0,0,88
8.976,0,10,-5.0,0,0,0,88
9.080,0,10,-3.0,0,0,0,88
9.191,0,10,-2.0,0,0,0,88
9.294,0,10,3.0,0,0,0,88
9.396,0,10,-3.0,0,0,0,88
9.507,0,10,0.0,0,0,0,88
9.626,0,10,0.0,0,0,0,88
9.732,0,10,-3.0,0,0,0,88
9.841,0,10,-3.0,0,0,0,88
9.945,0,10,0.0,0,0,0,88
10.057,0,10,-4.0,0,0,0,88
10.158,0,10,-2.0,0,0,0,88
10.263,0,10,-3.0,0,0,0,88
10.374,0,10,-2.0,0,0,0,88
10.478,0,10,-3.0,0,0,0,88
10.589,0,10,-3.0,0,0,0,88
10.693,0,10,6.0,0,0,0,88
10.796,0,10,-2.0,0,0,0,88
10.909,0,10,-2.0,0,0,0,88
11.012,0,10,-2.0,0,0,0,88
11.123,0,10,0.0,0,0,0,88
11.227,0,10,1.0,0,0,0,88
11.339,0,10,-1.0,0,0,0,88
11.442,0,10,2.0,0,0,0,88
11.546,0,10,-2.0,0,0,0,88
11.658,0,10,-2.0,0,0,0,88
11.761,0,10,0.0,0,0,0,88
11.873,0,10,0.0,0,0,0,88
11.977,0,10,-2.0,0,0,0,88
12.080,0,10,6.0,0,0,0,88
12.194,0,10,1.0,0,0,0,88
12.297,0,10,-3.0,0,0,0,88
12.408,0,10,-1.0,0,0,0,88
12.511,0,10,-1.0,0,0,0,88
12.614,0,10,-1.0,0,0,0,88
12.728,0,10,-5.0,0,0,0,88
12.843,0,10,2.0,0,0,0,88
12.948,0,10,2.0,0,0,0,88
13.063,0,10,0.0,0,0,0,88
13.168,0,10,2.0,0,0,0,88
13.272,0,10,0.0,0,0,0,88
13.387,0,10,0.0,0,0,0,88
13.487,0,10,-1.0,0,0,0,88
13.593,0,10,-1.0,0,0,0,88
13.698,0,10,-3.0,0,0,0,88
13.813,0,10,1.0,0,0,0,88
13.923,0,10,-3.0,0,0,0,88
14.025,0,10,-3.0,0,0,0,88
14.135,0,10,1.0,0,0,0,88
14.242,0,10,-1.0,0,0,0,88
14.346,0,10,-1.0,0,0,0,88
