frame_idx,t_rel
0,0.213
1,0.251
2,0.318
3,0.333
4,0.413
5,0.425
6,0.829
7,0.851
8,0.930
9,1.036
10,1.130
11,1.146
12,1.233
13,1.251
14,1.265
15,1.330
16,1.346
17,1.449
18,1.567
19,1.664
20,1.743
21,1.757
22,1.774
23,1.838
24,1.856
25,1.953
26,1.964
27,2.063
28,2.079
29,2.162
30,2.175
31,2.364
32,2.383
33,2.396
34,2.411
35,2.495
36,2.556
37,2.576
38,2.669
39,2.765
40,2.781
41,2.796
42,2.833
43,2.893
44,2.972
45,3.006
46,3.188
47,3.215
48,3.278
49,3.294
50,3.392
51,3.483
52,3.501
53,3.517
54,3.691
55,3.723
56,3.795
57,3.806
58,3.899
59,4.000
60,4.015
61,4.207
62,4.238
63,4.298
64,4.529
65,4.542
66,4.553
67,4.621
68,4.812
69,4.827
70,4.845
71,4.872
72,4.936
73,4.956
74,5.033
75,5.068
76,33.926
77,33.950
78,33.983
79,34.002
80,34.049
81,34.066
82,34.091
83,34.171
84,34.204
85,34.238
86,34.269
87,34.304
88,34.332
89,34.403
90,34.415
91,34.485
92,34.515
93,34.578
94,34.604
95,34.632
96,34.690
97,34.702
98,34.732
99,34.792
100,34.808
101,34.841
102,34.940
103,35.015
104,35.033
105,35.086
106,35.102
107,35.130
108,35.192
109,35.215
110,35.261
111,35.281
112,35.316
113,35.329
114,35.363
