t_rel,lr,fb,ud,yaw,height_cm,yaw_deg
0.157,0,0,0,0,0,0
0.246,0,0,0,0,0,0
0.261,0,0,0,0,0,0
0.277,0,0,0,0,0,0
0.292,0,0,0,0,0,0
0.309,0,0,0,0,0,0
0.326,0,0,0,0,0,0
0.341,0,0,0,0,0,0
0.357,0,0,0,0,0,0
0.373,0,0,0,0,0,0
0.389,0,0,0,0,0,0
0.404,0,0,0,0,0,0
0.420,0,0,0,0,0,0
0.436,0,0,0,0,0,0
0.452,0,0,0,0,0,0
0.468,0,0,0,0,0,0
0.484,0,0,0,0,0,0
0.500,0,0,0,0,0,0
0.516,0,0,0,0,0,0
0.534,0,0,0,0,0,0
0.548,0,0,0,0,0,0
0.564,0,0,0,0,0,0
0.580,0,0,0,0,0,0
0.596,0,0,0,0,0,0
0.612,0,0,0,0,0,0
0.630,0,0,0,0,0,0
0.646,0,0,0,0,0,0
0.660,0,0,0,0,0,0
0.676,0,0,0,0,0,0
0.692,0,0,0,0,0,0
0.710,0,0,0,0,0,0
0.724,0,0,0,0,0,0
0.741,0,0,0,0,0,0
0.758,0,0,0,0,0,0
0.773,0,0,0,0,0,0
0.789,0,0,0,0,0,0
0.805,0,0,0,0,0,0
0.821,0,0,0,0,0,0
0.846,0,0,0,0,0,0
0.861,0,0,0,0,0,0
0.877,0,0,0,0,0,0
0.893,0,0,0,0,0,0
0.909,0,0,0,0,0,0
0.925,0,0,0,0,0,0
0.941,0,0,0,0,0,0
0.957,0,0,0,0,0,0
0.973,0,0,0,0,0,0
0.989,0,0,0,0,0,0
1.005,0,0,0,0,0,0
1.013,0,0,0,0,0,0
1.029,0,0,0,0,0,0
1.044,0,0,0,0,0,0
1.060,0,0,0,0,0,0
1.076,0,0,0,0,0,0
1.093,0,0,0,0,0,0
1.108,0,0,0,0,0,0
1.125,0,0,0,0,0,0
1.140,0,0,0,0,0,0
1.156,0,0,0,0,0,0
1.172,0,0,0,0,0,0
1.188,0,0,0,0,0,0
1.197,0,0,0,0,0,0
1.214,0,0,0,0,0,0
1.229,0,0,0,0,0,0
1.244,0,0,0,0,0,0
1.260,0,0,0,0,0,0
1.276,0,0,0,0,0,0
1.293,0,0,0,0,0,0
1.309,0,0,0,0,0,0
1.325,0,0,0,0,0,0
1.341,0,0,0,0,0,0
1.357,0,0,0,0,0,0
1.372,0,0,0,0,0,0
1.388,0,0,0,0,0,0
1.413,0,0,0,0,0,0
1.429,0,0,0,0,0,0
1.444,0,0,0,0,0,0
1.460,0,0,0,0,0,0
1.476,0,0,0,0,0,0
1.492,0,0,0,0,0,0
1.503,0,0,0,0,0,0
1.512,0,0,0,0,0,0
1.529,0,0,0,0,0,0
1.544,0,0,0,0,0,0
1.560,0,0,0,0,0,0
1.576,0,0,0,0,0,0
1.585,0,0,0,0,0,0
1.601,0,0,0,0,0,0
1.620,0,0,0,0,0,0
1.642,0,0,0,0,0,0
1.657,0,0,0,0,0,0
1.672,0,0,0,0,0,0
1.688,0,0,0,0,0,0
1.704,0,0,0,0,0,0
1.720,0,0,0,0,0,0
1.736,0,0,0,0,0,0
1.751,0,0,0,0,0,0
1.767,0,0,0,0,0,0
1.783,0,0,0,0,0,0
1.800,0,0,0,0,0,0
1.816,0,0,0,0,0,0
1.832,0,0,0,0,0,0
1.848,0,0,0,0,0,0
1.864,0,0,0,0,0,0
1.880,0,0,0,0,0,0
1.896,0,0,0,0,0,0
1.912,0,0,0,0,0,0
1.928,0,0,0,0,0,0
1.943,0,0,0,0,0,0
1.960,0,0,0,0,0,0
1.976,0,0,0,0,0,0
1.992,0,0,0,0,0,0
2.008,0,0,0,0,0,0
2.024,0,0,0,0,0,0
2.040,0,0,0,0,0,0
2.056,0,0,0,0,0,0
2.072,0,0,0,0,0,0
2.088,0,0,0,0,0,0
2.104,0,0,0,0,0,0
2.120,0,0,0,0,0,0
2.138,0,0,0,0,0,0
2.153,0,0,0,0,0,0
2.168,0,0,0,0,0,0
2.184,0,0,0,0,0,0
2.200,0,0,0,0,0,0
2.215,0,0,0,0,0,0
2.232,0,0,0,0,0,0
2.248,0,0,0,0,0,0
2.264,0,0,0,0,0,0
2.281,0,0,0,0,0,0
2.296,0,0,0,0,0,0
2.312,0,0,0,0,0,0
2.328,0,0,0,0,0,0
2.344,0,0,0,0,0,0
2.359,0,0,0,0,0,0
2.364,0,0,0,0,0,0
2.391,0,0,0,0,0,0
2.403,0,0,0,0,0,0
2.423,0,0,0,0,0,0
2.439,0,0,0,0,0,0
2.454,0,0,0,0,0,0
2.470,0,0,0,0,0,0
2.486,0,0,0,0,0,0
2.502,0,0,0,0,0,0
2.519,0,0,0,0,0,0
2.535,0,0,0,0,0,0
2.551,0,0,0,0,0,0
2.567,0,0,0,0,0,0
2.583,0,0,0,0,0,0
2.599,0,0,0,0,0,0
2.615,0,0,0,0,0,0
2.631,0,0,0,0,0,0
2.647,0,0,0,0,0,0
2.664,0,0,0,0,0,0
2.676,0,0,0,0,0,0
2.695,0,0,0,0,0,0
2.711,0,0,0,0,0,0
2.727,0,0,0,0,0,0
2.743,0,0,0,0,0,0
2.759,0,0,0,0,0,0
2.775,0,0,0,0,0,0
2.791,0,0,0,0,0,0
2.807,0,0,0,0,0,0
2.823,0,0,0,0,0,0
