image,flight,role,pair_id,tags,x,y,w,h,sqrt_area_px,coco_size,tof_cm,yaw_deg,occluder,occ_level,occlusion_frac,gsd_at_mat_mm_px,est_length_mm_at_mat_plane
S1_futsal_C1_20260717_084129_f000837.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,1.0,385.0,14.0,37.0,22.76,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000846.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,395.0,16.0,22.0,18.76,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000855.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,391.0,16.0,27.0,20.78,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000864.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,392.0,18.0,27.0,22.05,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000873.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,395.0,16.0,22.0,18.76,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000882.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,398.0,18.0,22.0,19.9,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000891.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,398.0,19.0,27.0,22.65,small,83,0,none,0,,6.09,116
S1_futsal_C1_20260717_084129_f000900.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,394.0,25.0,30.0,27.39,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000909.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,391.0,31.0,29.0,29.98,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000918.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,390.0,37.0,29.0,32.76,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000927.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,387.0,41.0,30.0,35.07,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000936.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,388.0,43.0,29.0,35.31,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000945.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,385.0,49.0,31.0,38.97,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000954.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,385.0,51.0,30.0,39.12,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000963.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,385.0,55.0,30.0,40.62,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000972.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,384.0,57.0,28.0,39.95,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000981.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,1.0,384.0,59.0,28.0,40.64,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f000990.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,1.0,386.0,59.0,28.0,40.64,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f000999.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,1.0,384.0,60.0,29.0,41.71,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001008.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,2.0,384.0,61.0,29.0,42.06,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001017.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,7.0,384.0,59.0,29.0,41.36,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001026.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,15.0,381.0,55.0,29.0,39.94,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001035.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,17.0,381.0,57.0,29.0,40.66,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001044.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,18.0,383.0,58.0,29.0,41.01,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001053.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,24.0,385.0,52.0,30.0,39.5,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001062.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,27.0,384.0,52.0,29.0,38.83,medium,84,0,none,0,,,
S1_futsal_C1_20260717_084129_f001071.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,28.0,384.0,54.0,28.0,38.88,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001080.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,27.0,381.0,55.0,28.0,39.24,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001089.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,26.0,378.0,58.0,28.0,40.3,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001098.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,25.0,377.0,58.0,28.0,40.3,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001107.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,24.0,375.0,61.0,28.0,41.33,medium,79,0,none,0,,,
S1_futsal_C1_20260717_084129_f001116.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,23.0,370.0,58.0,36.0,45.69,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001125.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,24.0,375.0,58.0,30.0,41.71,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001134.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,23.0,375.0,55.0,34.0,43.24,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001143.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,19.0,377.0,64.0,33.0,45.96,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001152.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,17.0,377.0,63.0,40.0,50.2,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001161.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,21.0,381.0,52.0,37.0,43.86,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001170.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,9.0,384.0,60.0,33.0,44.5,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001179.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,7.0,387.0,58.0,38.0,46.95,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001188.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,390.0,60.0,29.0,41.71,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001197.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,391.0,57.0,29.0,40.66,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001206.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,393.0,54.0,31.0,40.91,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001215.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,396.0,54.0,31.0,40.91,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001224.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,399.0,52.0,31.0,40.15,medium,81,0,none,0,,5.60,291
S1_futsal_C1_20260717_084129_f001233.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,401.0,52.0,32.0,40.79,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001242.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,402.0,52.0,33.0,41.42,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001251.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,49.0,33.0,40.21,medium,82,0,none,0,,,
