stem,role,frame_idx,t_rel,tof_cm,height_cm,yaw_deg,aruco_px,gsd_at_mat_mm_px,blur,tags
S1_futsal_C1_20260717_084129,C1_approach_aux,0,0.206,10,0,0,,,197,
S1_futsal_C1_20260717_084129,C1_approach_aux,9,0.358,10,0,0,,,212,
S1_futsal_C1_20260717_084129,C1_approach_aux,18,0.636,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,27,0.928,10,0,0,,,213,
S1_futsal_C1_20260717_084129,C1_approach_aux,36,1.334,10,0,0,,,220,
S1_futsal_C1_20260717_084129,C1_approach_aux,45,1.725,10,0,0,,,206,
S1_futsal_C1_20260717_084129,C1_approach_aux,54,2.091,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,63,2.556,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,72,2.957,10,0,0,,,214,
S1_futsal_C1_20260717_084129,C1_approach_aux,81,3.287,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,90,3.739,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,99,4.183,10,0,0,,,276,
S1_futsal_C1_20260717_084129,C1_approach_aux,108,4.613,10,0,0,,,277,
S1_futsal_C1_20260717_084129,C1_approach_aux,117,5.110,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,126,5.630,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,135,5.931,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,144,6.389,10,0,0,,,220,
S1_futsal_C1_20260717_084129,C1_approach_aux,153,6.868,10,0,0,,,200,
S1_futsal_C1_20260717_084129,C1_approach_aux,162,7.170,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,171,7.489,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,180,7.891,10,0,0,,,211,
S1_futsal_C1_20260717_084129,C1_approach_aux,189,8.403,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,198,8.919,10,0,0,,,211,
S1_futsal_C1_20260717_084129,C1_approach_aux,207,9.417,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,216,9.766,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,225,10.316,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,234,10.610,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,243,10.905,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,252,11.201,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,261,11.514,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,270,11.776,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,279,12.361,10,0,0,,,212,
S1_futsal_C1_20260717_084129,C1_approach_aux,288,12.901,10,0,0,,,223,
S1_futsal_C1_20260717_084129,C1_approach_aux,297,13.211,10,0,0,,,225,
S1_futsal_C1_20260717_084129,C1_approach_aux,306,14.182,10,0,0,,,214,
S1_futsal_C1_20260717_084129,C1_approach_aux,315,14.557,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,324,14.863,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,333,15.171,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,342,15.624,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,351,15.912,10,0,0,,,234,
S1_futsal_C1_20260717_084129,C1_approach_aux,360,16.500,10,0,0,,,803,
S1_futsal_C1_20260717_084129,C1_approach_aux,369,16.793,10,0,0,,,798,
S1_futsal_C1_20260717_084129,C1_approach_aux,378,17.163,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,387,17.502,10,0,0,,,220,
S1_futsal_C1_20260717_084129,C1_approach_aux,396,17.798,10,0,0,,,221,
S1_futsal_C1_20260717_084129,C1_approach_aux,405,18.261,10,0,0,,,217,
S1_futsal_C1_20260717_084129,C1_approach_aux,414,18.576,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,423,18.888,10,0,0,,,204,
S1_futsal_C1_20260717_084129,C1_approach_aux,432,19.187,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,441,19.510,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,450,19.816,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,459,20.149,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,468,20.507,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,477,20.806,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,486,21.115,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,495,21.393,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,504,21.817,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,513,22.108,10,0,0,,,215,
S1_futsal_C1_20260717_084129,C1_approach_aux,522,22.580,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,531,22.867,10,0,0,,,205,
S1_futsal_C1_20260717_084129,C1_approach_aux,540,23.300,10,0,0,,,218,
S1_futsal_C1_20260717_084129,C1_approach_aux,549,23.604,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,558,24.006,10,0,0,,,211,
S1_futsal_C1_20260717_084129,C1_approach_aux,567,24.318,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,576,24.795,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,585,25.086,10,0,0,,,213,
S1_futsal_C1_20260717_084129,C1_approach_aux,594,25.387,10,0,0,,,219,
S1_futsal_C1_20260717_084129,C1_approach_aux,603,25.788,10,0,0,,,220,
S1_futsal_C1_20260717_084129,C1_approach_aux,612,26.170,10,0,0,,,216,
S1_futsal_C1_20260717_084129,C1_approach_aux,621,26.505,10,0,0,,,220,
S1_futsal_C1_20260717_084129,C1_approach_aux,630,26.774,10,0,0,,,221,
S1_futsal_C1_20260717_084129,C1_approach_aux,639,27.092,10,0,0,,,283,
