image,flight_key,stem,role,frame_idx,t_rel,tof_cm,height_cm,yaw_deg,pitch_deg,roll_deg,battery_pct,aruco_px,gsd_at_mat_mm_px,is_anchor,segment,occ_strip_mm,occ_deployed_pct,occ_realised_pct,usable,has_car,sharpness,green_frac,quality
S3_A_hoverpairs_f000000.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,0,0.969,10,0,0,0,0,100,,,0,transitional,,,,0,1,87.9,0.0000,ok
S3_A_hoverpairs_f000006.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,6,1.369,10,0,0,0,0,100,,,0,transitional,,,,0,1,95.0,0.0000,ok
S3_A_hoverpairs_f000012.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,12,1.637,10,0,0,0,0,100,,,0,transitional,,,,0,1,95.4,0.0000,ok
S3_A_hoverpairs_f000018.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,18,1.886,10,0,0,0,0,100,,,0,transitional,,,,0,1,93.0,0.0000,ok
S3_A_hoverpairs_f000024.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,24,2.170,10,0,0,0,0,100,,,0,transitional,,,,0,1,94.8,0.0000,ok
S3_A_hoverpairs_f000030.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,30,2.429,10,0,0,0,0,100,,,0,transitional,,,,0,1,94.9,0.0000,ok
S3_A_hoverpairs_f000036.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,36,2.699,10,0,0,0,0,100,,,0,transitional,,,,0,1,91.3,0.0000,ok
S3_A_hoverpairs_f000042.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,42,2.971,10,0,0,0,0,100,,,0,transitional,,,,0,1,94.8,0.0000,ok
S3_A_hoverpairs_f000048.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,48,3.225,10,0,0,0,0,100,,,0,transitional,,,,0,1,95.3,0.0000,ok
S3_A_hoverpairs_f000054.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,54,3.494,10,0,0,0,0,100,,,0,transitional,,,,0,1,95.2,0.0000,ok
S3_A_hoverpairs_f000060.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,60,3.742,10,0,0,0,0,100,,,0,transitional,,,,0,1,93.2,0.0000,ok
S3_A_hoverpairs_f000066.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,66,4.003,10,0,0,0,0,100,,,0,transitional,,,,0,1,94.8,0.0000,ok
S3_A_hoverpairs_f000072.jpg,S3_A_hoverpairs,S3_court2_hoverpairs_20260815_091459,S3_A_hoverpairs,72,4.257,10,0,0,0,0,100,,,0,transitional,,,,0,1,94.9,0.0000,ok
