run,arm,seed,gpu,preprocess_ms,inference_ms,n_speed_lines,note
yolov8n_s42,yolov8n,42,NVIDIA A40,1.9,3.5,2,final test-split scoring pass
yolov8n_s123_s456,yolov8n,123;456,NVIDIA A40,1.3,3.5,4,final test-split scoring pass
yolov8n-cbam_s123,yolov8n-cbam,123,NVIDIA A40,1.3,3.6,2,final test-split scoring pass
yolov8n-cbam_s42,yolov8n-cbam,42,NVIDIA A40,1.3,3.6,2,final test-split scoring pass
yolov8n-cbam_s456,yolov8n-cbam,456,NVIDIA A40,1.6,3.6,2,final test-split scoring pass
yolov8n-p2-cbam_s123,yolov8n-p2-cbam,123,NVIDIA A40,1.4,6.3,2,final test-split scoring pass
yolov8n-p2-cbam_s42,yolov8n-p2-cbam,42,NVIDIA A40,1.1,6.3,2,final test-split scoring pass
yolov8n-p2-cbam_s456,yolov8n-p2-cbam,456,NVIDIA A40,1.4,6.3,2,final test-split scoring pass
yolov8n-p2_s123,yolov8n-p2,123,NVIDIA A40,1.4,6.0,2,final test-split scoring pass
yolov8n-p2_s42,yolov8n-p2,42,NVIDIA A40,1.2,6.0,2,final test-split scoring pass
yolov8n-p2_s456,yolov8n-p2,456,NVIDIA A40,1.5,6.1,2,final test-split scoring pass
fasterrcnn_s123,fasterrcnn,123,unknown,,NOT_MEASURED,0,torchvision arm - no Ultralytics speed line; timed separately on CPU at 6.29x the yolov8n baseline (FRCNN_SPEED.json)
fasterrcnn_s42,fasterrcnn,42,unknown,,NOT_MEASURED,0,torchvision arm - no Ultralytics speed line; timed separately on CPU at 6.29x the yolov8n baseline (FRCNN_SPEED.json)
fasterrcnn_s456,fasterrcnn,456,unknown,,NOT_MEASURED,0,torchvision arm - no Ultralytics speed line; timed separately on CPU at 6.29x the yolov8n baseline (FRCNN_SPEED.json)
rtdetr-l_s42,rtdetr-l,42,NVIDIA H100 80GB HBM3,1.5,7.2,2,final test-split scoring pass
rtdetr-l_s456,rtdetr-l,456,NVIDIA H100 80GB HBM3,1.5,7.1,2,final test-split scoring pass
