epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.329,1.12345,2.61048,0.99182,0.98706,0.94156,0.98995,0.72574,0.99435,0.67114,1.02841,0.00997642,0.00332547,0.00997642,0.00332547,0.00997642,0.00332547,0.00997642,0.00332547
2,279.007,1.00039,0.64945,0.95026,0.98147,0.93812,0.97824,0.67655,1.09484,0.59526,1.07221,0.0197786,0.00659288,0.0197786,0.00659288,0.0197786,0.00659288,0.0197786,0.00659288
3,409.38,1.03048,0.58493,0.96325,0.98448,0.91664,0.95217,0.68512,1.02733,0.56052,1.07229,0.0293829,0.00979429,0.0293829,0.00979429,0.0293829,0.00979429,0.0293829,0.00979429
4,539.31,0.99353,0.53865,0.95407,0.98427,0.96091,0.98584,0.72811,0.96861,0.48751,1.02343,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,669.259,0.92761,0.48691,0.93638,0.98268,0.9569,0.98294,0.71994,0.9442,0.45948,1.00956,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,797.832,0.88971,0.46079,0.92457,0.98345,0.93841,0.97186,0.70874,0.98658,0.46889,1.03262,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,926.937,0.85772,0.44377,0.91676,0.99074,0.9417,0.96678,0.71182,0.98561,0.45133,1.03873,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1055.34,0.84617,0.43079,0.91219,0.97961,0.968,0.98551,0.74493,0.86322,0.40378,0.99189,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1183.49,0.82722,0.42137,0.90722,0.98092,0.95525,0.97737,0.73642,0.91232,0.4072,1.02135,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1311.21,0.81127,0.40778,0.89733,0.98259,0.96107,0.98065,0.74347,0.85342,0.39564,0.98856,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
