tag,slice,n,found,recall,recall_any_class
M_v8n_baseline_s42,size:<12,993,83,0.0836,0.0836
M_v8n_baseline_s42,size:12-20,1149,768,0.6684,0.6693
M_v8n_baseline_s42,size:20-32,1748,1646,0.9416,0.9422
M_v8n_baseline_s42,size:32+,277,272,0.9819,0.9819
M_v8n_baseline_s42,occ:OCCLUDED,395,353,0.8937,
M_v8n_baseline_s42,occ:LIGHT,47,36,0.7660,
M_v8n_baseline_s42,occ:BYPASSED,239,236,0.9874,
M_v8n_baseline_s42,occ:AMBIGUOUS,500,417,0.8340,
M_v8n_baseline_s42,class:rc_car,2329,1634,0.7016,
M_v8n_baseline_s42,class:atv_sherp,927,538,0.5804,
M_v8n_baseline_s42,class:truck_peterbilt,911,597,0.6553,
M_v8n_baseline_s42,pred_budget,2659,3523,1.3249,0.25
M_v8n_baseline_s42,halluc_fullyocc,159,3,0.0189,0.25
M_v8n_baseline_s123,size:<12,993,93,0.0937,0.0957
M_v8n_baseline_s123,size:12-20,1149,796,0.6928,0.6928
M_v8n_baseline_s123,size:20-32,1748,1628,0.9314,0.9314
M_v8n_baseline_s123,size:32+,277,270,0.9747,0.9747
M_v8n_baseline_s123,occ:OCCLUDED,395,339,0.8582,
M_v8n_baseline_s123,occ:LIGHT,47,32,0.6809,
M_v8n_baseline_s123,occ:BYPASSED,239,236,0.9874,
M_v8n_baseline_s123,occ:AMBIGUOUS,500,430,0.8600,
M_v8n_baseline_s123,class:rc_car,2329,1644,0.7059,
M_v8n_baseline_s123,class:atv_sherp,927,560,0.6041,
M_v8n_baseline_s123,class:truck_peterbilt,911,583,0.6400,
M_v8n_baseline_s123,pred_budget,2659,3522,1.3246,0.25
M_v8n_baseline_s123,halluc_fullyocc,159,12,0.0755,0.25
M_v8n_baseline_s456,size:<12,993,78,0.0785,0.0876
M_v8n_baseline_s456,size:12-20,1149,736,0.6406,0.6414
M_v8n_baseline_s456,size:20-32,1748,1579,0.9033,0.9033
M_v8n_baseline_s456,size:32+,277,270,0.9747,0.9747
M_v8n_baseline_s456,occ:OCCLUDED,395,349,0.8835,
M_v8n_baseline_s456,occ:LIGHT,47,32,0.6809,
M_v8n_baseline_s456,occ:BYPASSED,239,235,0.9833,
M_v8n_baseline_s456,occ:AMBIGUOUS,500,420,0.8400,
M_v8n_baseline_s456,class:rc_car,2329,1577,0.6771,
M_v8n_baseline_s456,class:atv_sherp,927,535,0.5771,
M_v8n_baseline_s456,class:truck_peterbilt,911,551,0.6048,
M_v8n_baseline_s456,pred_budget,2659,3543,1.3325,0.25
M_v8n_baseline_s456,halluc_fullyocc,159,3,0.0189,0.25
