study,model,preset,seed,imgsz,batch,epochs,train_frames,test_frames,train_min,gpu,slice,n,mAP50,mAP50_95,precision,recall
M,fasterrcnn,baseline,123,1280,24,100,10153,2659,215.5,NVIDIA H100 80GB HBM3,ALL,,0.6380,,,0.6563
M,fasterrcnn,baseline,123,1280,24,100,10153,2659,215.5,NVIDIA H100 80GB HBM3,class:rc_car,2329,0.6130,,,0.6685
M,fasterrcnn,baseline,123,1280,24,100,10153,2659,215.5,NVIDIA H100 80GB HBM3,class:atv_sherp,927,0.5813,,,0.5653
M,fasterrcnn,baseline,123,1280,24,100,10153,2659,215.5,NVIDIA H100 80GB HBM3,class:truck_peterbilt,911,0.7197,,,0.7179
M,fasterrcnn,baseline,42,1280,24,100,10153,2659,133.0,NVIDIA H100 80GB HBM3,ALL,,0.6813,,,0.6926
M,fasterrcnn,baseline,42,1280,24,100,10153,2659,133.0,NVIDIA H100 80GB HBM3,class:rc_car,2329,0.6574,,,0.6990
M,fasterrcnn,baseline,42,1280,24,100,10153,2659,133.0,NVIDIA H100 80GB HBM3,class:atv_sherp,927,0.6247,,,0.6117
M,fasterrcnn,baseline,42,1280,24,100,10153,2659,133.0,NVIDIA H100 80GB HBM3,class:truck_peterbilt,911,0.7617,,,0.7585
M,fasterrcnn,baseline,456,1280,24,100,10153,2659,191.4,NVIDIA H100 80GB HBM3,ALL,,0.6525,,,0.6695
M,fasterrcnn,baseline,456,1280,24,100,10153,2659,191.4,NVIDIA H100 80GB HBM3,class:rc_car,2329,0.6388,,,0.6775
M,fasterrcnn,baseline,456,1280,24,100,10153,2659,191.4,NVIDIA H100 80GB HBM3,class:atv_sherp,927,0.5836,,,0.5761
M,fasterrcnn,baseline,456,1280,24,100,10153,2659,191.4,NVIDIA H100 80GB HBM3,class:truck_peterbilt,911,0.7350,,,0.7442
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,ALL,,0.5660,0.3269,0.8272,0.4892
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,class:rc_car,,0.6407,0.3461,,
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,class:atv_sherp,,0.5060,0.3063,,
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,class:truck_peterbilt,,0.5514,0.3284,,
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,size_band:12-20,1149,,,,
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,size_band:20-32,1748,,,,
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,size_band:32+,277,,,,
M,rtdetr-l,baseline,42,1280,24,100,10153,2659,520.0,NVIDIA H100 80GB HBM3,size_band:<12,993,,,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,ALL,,0.5041,0.3110,0.6752,0.4554
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,class:rc_car,,0.5850,0.3266,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,class:atv_sherp,,0.4439,0.2951,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,class:truck_peterbilt,,0.4834,0.3113,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,size_band:12-20,1149,,,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,size_band:20-32,1748,,,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,size_band:32+,277,,,,
M,rtdetr-l,baseline,456,1280,24,100,10153,2659,445.5,NVIDIA H100 80GB HBM3,size_band:<12,993,,,,
