tag,slice,n,found,recall,recall_any_class
M_yolov8n-p2-cbam_baseline_s123,size:<12,993,105,0.1057,0.1057
M_yolov8n-p2-cbam_baseline_s123,size:12-20,1149,737,0.6414,0.6432
M_yolov8n-p2-cbam_baseline_s123,size:20-32,1748,1619,0.9262,0.9262
M_yolov8n-p2-cbam_baseline_s123,size:32+,277,269,0.9711,0.9711
M_yolov8n-p2-cbam_baseline_s123,occ:OCCLUDED,395,346,0.8759,
M_yolov8n-p2-cbam_baseline_s123,occ:LIGHT,47,33,0.7021,
M_yolov8n-p2-cbam_baseline_s123,occ:BYPASSED,239,237,0.9916,
M_yolov8n-p2-cbam_baseline_s123,occ:AMBIGUOUS,500,425,0.8500,
M_yolov8n-p2-cbam_baseline_s123,class:rc_car,2329,1634,0.7016,
M_yolov8n-p2-cbam_baseline_s123,class:atv_sherp,927,591,0.6375,
M_yolov8n-p2-cbam_baseline_s123,class:truck_peterbilt,911,505,0.5543,
