epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.719,2.00206,5.64285,2.44276,0.87625,0.77428,0.8147,0.44144,1.843,2.35881,2.12108,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,440.679,1.26765,1.10284,1.40627,0.91015,0.75157,0.86733,0.46557,1.68662,1.71878,1.90293,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,653.099,1.20978,0.81166,1.34014,0.85077,0.83936,0.89941,0.53813,1.47134,1.03085,1.74975,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,863.428,1.12291,0.65259,1.28038,0.86538,0.82706,0.88485,0.49306,1.61258,1.04144,1.88577,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1073.45,1.05876,0.57916,1.23308,0.90535,0.78614,0.85213,0.52909,1.60896,0.89905,1.79562,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1283.9,1.01103,0.54407,1.20175,0.90628,0.79176,0.88492,0.59133,1.33639,0.78108,1.58969,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1493.88,0.98259,0.51962,1.18404,0.86936,0.84669,0.89063,0.5549,1.50121,0.70642,1.73133,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1703.4,0.96583,0.50206,1.17479,0.88357,0.79166,0.86298,0.55169,1.43827,0.68492,1.66753,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2021.72,0.93544,0.48586,1.15723,0.93157,0.82713,0.90799,0.5866,1.39302,0.70564,1.66217,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2306.27,0.92256,0.4719,1.1442,0.9392,0.77913,0.88358,0.60361,1.29974,0.67069,1.55339,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2515.85,0.90713,0.46295,1.14134,0.89484,0.81836,0.88682,0.58903,1.40252,0.68975,1.63251,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2724.95,0.89261,0.45351,1.13583,0.91034,0.7966,0.87135,0.56288,1.49592,0.74177,1.76288,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2935.38,0.8902,0.45052,1.12812,0.91409,0.791,0.8899,0.5908,1.33934,0.67231,1.59127,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3146.6,0.87045,0.43712,1.11254,0.91132,0.7827,0.88658,0.60909,1.25963,0.67708,1.51304,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3358.24,0.8598,0.42815,1.10141,0.83379,0.88983,0.90552,0.61194,1.28198,0.59905,1.56761,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3568.31,0.85861,0.4248,1.10309,0.82911,0.88346,0.8976,0.60915,1.2985,0.66073,1.60048,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3778.2,0.83845,0.41796,1.09404,0.82651,0.86382,0.89178,0.61016,1.24919,0.67478,1.51032,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3988.08,0.84064,0.41584,1.09343,0.87688,0.87087,0.90045,0.61221,1.31203,0.59145,1.59931,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4199.33,0.83065,0.41229,1.08799,0.91397,0.7701,0.87086,0.6001,1.318,0.63849,1.57764,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4411.67,0.83158,0.40951,1.08402,0.84294,0.82337,0.86357,0.60492,1.29084,0.66407,1.57942,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4621.67,0.82286,0.40439,1.08248,0.90515,0.80011,0.89178,0.60866,1.30512,0.64036,1.59299,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4832.9,0.81448,0.39962,1.07567,0.84863,0.86718,0.8995,0.62004,1.26955,0.61334,1.5459,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5045.04,0.80821,0.39856,1.07485,0.87172,0.86792,0.9034,0.6217,1.25009,0.57174,1.5639,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5255.47,0.80598,0.39446,1.07218,0.93792,0.78956,0.89344,0.6248,1.2317,0.595,1.50437,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5466.61,0.80695,0.39081,1.07674,0.8397,0.87845,0.89186,0.61373,1.29641,0.61428,1.54532,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5677.53,0.79178,0.38384,1.06475,0.92724,0.80528,0.89922,0.60415,1.28633,0.59032,1.54856,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5886.44,0.79143,0.38295,1.06176,0.90316,0.77262,0.8623,0.60459,1.29545,0.6311,1.57199,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6097.21,0.78896,0.38445,1.06434,0.85729,0.89491,0.90586,0.62315,1.22892,0.58301,1.50523,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6307.15,0.78302,0.3764,1.06239,0.85897,0.8576,0.89751,0.62375,1.22869,0.57741,1.52268,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6516.51,0.76963,0.37415,1.05146,0.90121,0.81266,0.89263,0.62873,1.23033,0.57958,1.51264,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
