tag,slice,n,found,recall,recall_any_class
M4_yolov8n-p2_augmented_s456,size:<12,993,89,0.0896,0.0896
M4_yolov8n-p2_augmented_s456,size:12-20,1149,749,0.6519,0.6527
M4_yolov8n-p2_augmented_s456,size:20-32,1748,1587,0.9079,0.9079
M4_yolov8n-p2_augmented_s456,size:32+,277,266,0.9603,0.9603
M4_yolov8n-p2_augmented_s456,occ:OCCLUDED,395,339,0.8582,
M4_yolov8n-p2_augmented_s456,occ:LIGHT,47,39,0.8298,
M4_yolov8n-p2_augmented_s456,occ:BYPASSED,239,236,0.9874,
M4_yolov8n-p2_augmented_s456,occ:AMBIGUOUS,500,416,0.8320,
M4_yolov8n-p2_augmented_s456,class:rc_car,2329,1676,0.7196,
M4_yolov8n-p2_augmented_s456,class:atv_sherp,927,537,0.5793,
M4_yolov8n-p2_augmented_s456,class:truck_peterbilt,911,478,0.5247,
M4_yolov8n-p2_augmented_s456,pred_budget,2659,3304,1.2426,0.25
M4_yolov8n-p2_augmented_s456,halluc_fullyocc,159,12,0.0755,0.25
M4_yolov8n-p2_augmented_s456_tiled2,size:<12,993,103,0.1037,0.1037
M4_yolov8n-p2_augmented_s456_tiled2,size:12-20,1149,714,0.6214,0.6214
M4_yolov8n-p2_augmented_s456_tiled2,size:20-32,1748,1604,0.9176,0.9176
M4_yolov8n-p2_augmented_s456_tiled2,size:32+,277,250,0.9025,0.9025
M4_yolov8n-p2_augmented_s456_tiled2,pred_budget,2659,3161,1.1888,0.25
M4_yolov8n-p2_augmented_s456_tiled2,halluc_fullyocc,159,13,0.0818,0.25
