epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,147.278,1.26396,2.80618,1.02606,0.86173,0.84919,0.89605,0.54482,1.46626,1.46465,1.16225,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,273.383,1.13117,0.72382,0.99871,0.86526,0.78826,0.86042,0.51033,1.49511,0.98279,1.1586,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,399.164,1.16053,0.65953,1.0141,0.92713,0.81901,0.91194,0.51139,1.59822,1.00292,1.18772,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,524.201,1.09943,0.59467,0.99608,0.86721,0.81251,0.89294,0.52358,1.48722,0.8042,1.13954,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,648.631,1.04159,0.54121,0.97454,0.91904,0.80497,0.88527,0.55022,1.4596,0.73911,1.14698,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,776.564,0.99359,0.50901,0.96365,0.93721,0.8265,0.89334,0.58565,1.32936,0.79078,1.11796,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,917.915,0.96073,0.49103,0.95043,0.88307,0.84475,0.89801,0.56065,1.41983,0.74067,1.12787,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1045.88,0.93302,0.47213,0.94279,0.90694,0.8539,0.91879,0.58628,1.38055,0.65048,1.11482,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1185.33,0.91274,0.46255,0.93615,0.90529,0.8766,0.91684,0.58818,1.34431,0.61283,1.10278,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1317.5,0.90025,0.44967,0.93191,0.8826,0.84781,0.91202,0.62377,1.24816,0.68437,1.07297,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1445.84,0.88029,0.43949,0.92788,0.87959,0.85421,0.90307,0.58203,1.3179,0.64255,1.09401,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1571.04,0.8763,0.43299,0.92557,0.95325,0.7812,0.90096,0.60786,1.25889,0.63249,1.08053,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1696.86,0.86643,0.42878,0.92187,0.90204,0.86004,0.90574,0.61353,1.27853,0.64098,1.08529,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1823,0.84543,0.41793,0.91513,0.88799,0.86835,0.90849,0.61065,1.31542,0.6115,1.09865,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1948.79,0.83702,0.41182,0.90716,0.93832,0.81623,0.90376,0.61158,1.31675,0.61711,1.12078,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2073.5,0.83055,0.40796,0.90938,0.87178,0.86718,0.90723,0.62034,1.2441,0.62904,1.08284,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2197.52,0.81546,0.40011,0.90609,0.86012,0.88938,0.92445,0.63733,1.17863,0.58718,1.03168,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2322.63,0.81796,0.40173,0.90737,0.87102,0.88929,0.91116,0.62273,1.21907,0.58646,1.06318,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2446.42,0.79827,0.39087,0.90111,0.85813,0.87468,0.91297,0.62578,1.21953,0.62113,1.07112,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2570.74,0.80436,0.3906,0.90107,0.9052,0.81637,0.90171,0.61638,1.25275,0.63987,1.08002,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
