tag,slice,n,found,recall,recall_any_class
M4_yolov8n_augmented_s456,size:<12,993,30,0.0302,0.0302
M4_yolov8n_augmented_s456,size:12-20,1149,726,0.6319,0.6327
M4_yolov8n_augmented_s456,size:20-32,1748,1637,0.9365,0.9365
M4_yolov8n_augmented_s456,size:32+,277,269,0.9711,0.9711
M4_yolov8n_augmented_s456,occ:OCCLUDED,395,302,0.7646,
M4_yolov8n_augmented_s456,occ:LIGHT,47,36,0.7660,
M4_yolov8n_augmented_s456,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_augmented_s456,occ:AMBIGUOUS,500,442,0.8840,
M4_yolov8n_augmented_s456,class:rc_car,2329,1695,0.7278,
M4_yolov8n_augmented_s456,class:atv_sherp,927,474,0.5113,
M4_yolov8n_augmented_s456,class:truck_peterbilt,911,493,0.5412,
M4_yolov8n_augmented_s456,pred_budget,2659,3501,1.3167,0.25
M4_yolov8n_augmented_s456,halluc_fullyocc,159,14,0.0881,0.25
M4_yolov8n_augmented_s456_tiled2,size:<12,993,117,0.1178,0.1178
M4_yolov8n_augmented_s456_tiled2,size:12-20,1149,711,0.6188,0.6188
M4_yolov8n_augmented_s456_tiled2,size:20-32,1748,1638,0.9371,0.9371
M4_yolov8n_augmented_s456_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8n_augmented_s456_tiled2,pred_budget,2659,3322,1.2493,0.25
M4_yolov8n_augmented_s456_tiled2,halluc_fullyocc,159,6,0.0377,0.25
