tag,slice,n,found,recall,recall_any_class
M4_yolov8n_baseline_s42,size:<12,993,66,0.0665,0.0715
M4_yolov8n_baseline_s42,size:12-20,1149,652,0.5674,0.5674
M4_yolov8n_baseline_s42,size:20-32,1748,1604,0.9176,0.9182
M4_yolov8n_baseline_s42,size:32+,277,269,0.9711,0.9711
M4_yolov8n_baseline_s42,occ:OCCLUDED,395,354,0.8962,
M4_yolov8n_baseline_s42,occ:LIGHT,47,37,0.7872,
M4_yolov8n_baseline_s42,occ:BYPASSED,239,238,0.9958,
M4_yolov8n_baseline_s42,occ:AMBIGUOUS,500,429,0.8580,
M4_yolov8n_baseline_s42,class:rc_car,2329,1616,0.6939,
M4_yolov8n_baseline_s42,class:atv_sherp,927,503,0.5426,
M4_yolov8n_baseline_s42,class:truck_peterbilt,911,472,0.5181,
M4_yolov8n_baseline_s42,pred_budget,2659,3407,1.2813,0.25
M4_yolov8n_baseline_s42,halluc_fullyocc,159,18,0.1132,0.25
M4_yolov8n_baseline_s42_tiled2,size:<12,993,82,0.0826,0.0826
M4_yolov8n_baseline_s42_tiled2,size:12-20,1149,686,0.5970,0.5970
M4_yolov8n_baseline_s42_tiled2,size:20-32,1748,1628,0.9314,0.9314
M4_yolov8n_baseline_s42_tiled2,size:32+,277,255,0.9206,0.9206
M4_yolov8n_baseline_s42_tiled2,pred_budget,2659,3169,1.1918,0.25
M4_yolov8n_baseline_s42_tiled2,halluc_fullyocc,159,7,0.0440,0.25
