epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.021,1.09713,2.47692,0.99354,0.83218,0.8675,0.91021,0.61055,1.23145,1.05717,1.07471,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,271.648,0.99008,0.64749,0.95562,0.86692,0.82849,0.90305,0.60432,1.23699,0.9161,1.07153,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,398.762,1.01985,0.58114,0.96821,0.88952,0.82628,0.89862,0.57077,1.37158,0.79893,1.13317,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,523.787,0.97289,0.52658,0.95479,0.88057,0.88282,0.91346,0.61311,1.2659,0.68337,1.0994,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,650.179,0.9063,0.48357,0.9354,0.85232,0.85666,0.8996,0.61469,1.21569,0.68735,1.07407,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,774.684,0.86408,0.45432,0.9228,0.89363,0.86411,0.90241,0.61908,1.25744,0.65808,1.12529,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,899.435,0.84146,0.43422,0.9136,0.86953,0.896,0.92814,0.63479,1.18551,0.63157,1.04746,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1024.42,0.82038,0.42169,0.91101,0.90442,0.86514,0.91065,0.62278,1.23215,0.63186,1.06043,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1148.79,0.80849,0.41309,0.90689,0.91137,0.8554,0.91394,0.61682,1.26508,0.60842,1.07213,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1273.11,0.78763,0.39767,0.9011,0.89375,0.86304,0.90636,0.62598,1.23166,0.60929,1.08768,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1397.69,0.77421,0.39349,0.89843,0.88543,0.8233,0.89074,0.62408,1.21436,0.62374,1.08306,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1522.79,0.77133,0.38871,0.89705,0.90252,0.84421,0.89271,0.62144,1.22512,0.60735,1.08212,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1647.39,0.76497,0.38123,0.89468,0.87471,0.86706,0.89515,0.6216,1.26276,0.64572,1.12698,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1772.72,0.75696,0.37768,0.89049,0.86455,0.81485,0.84923,0.60124,1.28364,0.68678,1.13845,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1897.16,0.74251,0.3707,0.8827,0.86028,0.87433,0.89797,0.62494,1.21169,0.59998,1.06817,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2021.6,0.74371,0.36866,0.88744,0.8835,0.88906,0.91498,0.63752,1.18148,0.56765,1.05225,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2149.28,0.73206,0.36205,0.88167,0.88896,0.88202,0.92279,0.64157,1.14857,0.5636,1.03797,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2375.16,0.73434,0.35968,0.88295,0.90149,0.87003,0.91193,0.63381,1.20491,0.59989,1.07444,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2502.56,0.72113,0.35564,0.8811,0.90639,0.84458,0.90628,0.63299,1.19241,0.59237,1.06905,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2628.24,0.72522,0.35425,0.88044,0.87683,0.87895,0.91202,0.633,1.17836,0.58638,1.04712,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2754.49,0.71831,0.34973,0.87904,0.8955,0.86138,0.91412,0.63302,1.18004,0.55593,1.05447,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2879.35,0.71582,0.35009,0.87856,0.89539,0.87308,0.90518,0.63637,1.16581,0.58818,1.04908,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3004.5,0.71186,0.3476,0.877,0.87841,0.89866,0.91833,0.63868,1.15884,0.5527,1.05074,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3129.61,0.70602,0.34294,0.8747,0.86877,0.85604,0.88489,0.62344,1.19781,0.62944,1.08423,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3254.05,0.71316,0.34362,0.87889,0.88155,0.88763,0.92195,0.63918,1.17249,0.52495,1.04894,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3379.76,0.70102,0.34053,0.87458,0.89398,0.89259,0.91908,0.64028,1.14183,0.5323,1.05193,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3504.42,0.69527,0.33407,0.87228,0.90444,0.83731,0.89808,0.63106,1.18955,0.56638,1.06415,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3628.86,0.6922,0.33539,0.87149,0.90166,0.88661,0.92856,0.64614,1.13897,0.52226,1.04035,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3753.54,0.69169,0.33234,0.87346,0.90236,0.89367,0.90903,0.62437,1.21603,0.55138,1.06807,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3878.82,0.67993,0.32823,0.87076,0.90367,0.8697,0.90397,0.63276,1.19245,0.56506,1.06446,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4002.76,0.68811,0.32907,0.87211,0.90824,0.90216,0.92724,0.64317,1.15044,0.51393,1.04597,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4127.26,0.68255,0.32804,0.86775,0.8925,0.84715,0.89682,0.63158,1.2071,0.54401,1.07877,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4252.44,0.6859,0.32894,0.87012,0.89468,0.86824,0.89959,0.62926,1.18783,0.55031,1.06952,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4376.7,0.6745,0.32505,0.86681,0.88443,0.9066,0.92148,0.64272,1.14329,0.55096,1.05248,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4501.2,0.67397,0.3232,0.86724,0.88619,0.87383,0.90142,0.63191,1.20295,0.57471,1.08498,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4625.81,0.67526,0.32368,0.86836,0.89488,0.88157,0.91478,0.63784,1.18029,0.54448,1.07002,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4751.25,0.66609,0.31828,0.86647,0.90428,0.87442,0.91752,0.64071,1.14785,0.53159,1.04437,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4875.26,0.66563,0.31858,0.86217,0.90439,0.88872,0.92327,0.64195,1.14188,0.52789,1.05652,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
