tag,slice,n,found,recall,recall_any_class
M4_yolov8s_augmented_s123,size:<12,993,78,0.0785,0.0785
M4_yolov8s_augmented_s123,size:12-20,1149,717,0.6240,0.6240
M4_yolov8s_augmented_s123,size:20-32,1748,1553,0.8884,0.8884
M4_yolov8s_augmented_s123,size:32+,277,267,0.9639,0.9639
M4_yolov8s_augmented_s123,occ:OCCLUDED,395,339,0.8582,
M4_yolov8s_augmented_s123,occ:LIGHT,47,34,0.7234,
M4_yolov8s_augmented_s123,occ:BYPASSED,239,239,1.0000,
M4_yolov8s_augmented_s123,occ:AMBIGUOUS,500,427,0.8540,
M4_yolov8s_augmented_s123,class:rc_car,2329,1595,0.6848,
M4_yolov8s_augmented_s123,class:atv_sherp,927,534,0.5761,
M4_yolov8s_augmented_s123,class:truck_peterbilt,911,486,0.5335,
M4_yolov8s_augmented_s123,pred_budget,2659,3234,1.2162,0.25
M4_yolov8s_augmented_s123,halluc_fullyocc,159,9,0.0566,0.25
M4_yolov8s_augmented_s123_tiled2,size:<12,993,116,0.1168,0.1168
M4_yolov8s_augmented_s123_tiled2,size:12-20,1149,749,0.6519,0.6519
M4_yolov8s_augmented_s123_tiled2,size:20-32,1748,1579,0.9033,0.9033
M4_yolov8s_augmented_s123_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8s_augmented_s123_tiled2,pred_budget,2659,3260,1.2260,0.25
M4_yolov8s_augmented_s123_tiled2,halluc_fullyocc,159,8,0.0503,0.25
