epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,223.793,1.22979,1.82578,0.97726,0.90771,0.81737,0.91194,0.55774,1.45761,0.82663,1.0797,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,435.186,1.06106,0.58448,0.92491,0.90638,0.81132,0.9061,0.57236,1.33665,0.78959,1.07442,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,646.293,1.11528,0.62811,0.95246,0.87296,0.80411,0.8538,0.46975,1.6525,0.85851,1.25649,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,856.693,1.06172,0.57437,0.94811,0.88698,0.80401,0.89007,0.56076,1.41644,0.882,1.1686,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1066.62,0.99417,0.51949,0.93547,0.89153,0.81748,0.8758,0.47218,1.70829,0.91696,1.24506,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1276.51,0.95572,0.4919,0.93199,0.95626,0.77721,0.87532,0.55222,1.43713,0.71656,1.14018,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1486.19,0.93153,0.47634,0.92669,0.90895,0.79123,0.85087,0.54505,1.50997,0.7679,1.20693,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2774.75,0.90193,0.45892,0.92126,0.91645,0.82915,0.90954,0.59551,1.33135,0.65675,1.09582,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2983.62,0.88203,0.44073,0.91834,0.88305,0.87063,0.91513,0.60589,1.27836,0.64978,1.08394,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3192.41,0.85879,0.43179,0.90382,0.94701,0.78988,0.90258,0.60798,1.25849,0.6865,1.07751,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3401.86,0.84695,0.4226,0.90344,0.92394,0.80132,0.88604,0.61656,1.28244,0.64181,1.10756,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3611.32,0.83596,0.41206,0.9053,0.90448,0.85439,0.90237,0.60787,1.28447,0.62875,1.09092,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
