split,scene,image,flight,family,venue,tof_cm,boxes
train,S1,S1_futsal_C1_20260717_084129_f000666.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f000675.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f000684.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f000693.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f000702.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f000711.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f000720.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,77,0
train,S1,S1_futsal_C1_20260717_084129_f000729.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f000738.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f000747.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f000756.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f000765.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f000774.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f000783.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f000792.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f000801.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,84,0
train,S1,S1_futsal_C1_20260717_084129_f000810.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f000819.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f000828.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f000837.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f000846.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f000855.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000864.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
